year,rsdt
2015,340.6344637783534
2016,340.5704755280067
2017,340.54303444571207
2018,340.53510249584286
2019,340.53372794149215
2020,340.55192967377496
2021,340.615113753891
2022,340.69277602763304
2023,340.7372519006453
2024,340.7633172720625
2025,340.71207045011755
2026,340.6626428532697
2027,340.6132404293359
2028,340.6011600186378
2029,340.5600531762242
2030,340.54216028138717
2031,340.5246179077679
2032,340.5365624119258
2033,340.5711654010937
2034,340.6458994181187
2035,340.6546860372822
2036,340.696917646816
2037,340.6537312649034
2038,340.65365797298614
2039,340.60580724299626
2040,340.56839818867223
2041,340.52070988121824
2042,340.5097496116261
2043,340.51500733136544
2044,340.54727444153576
2045,340.60978290254275
2046,340.65806281498203
2047,340.71159866091716
2048,340.72567496987057
2049,340.67305252554723
2050,340.6061807223459
2051,340.5727708914831
2052,340.5500776006776
2053,340.51990900571485
2054,340.5283200430252
2055,340.5690417979885
2056,340.62791508332106
2057,340.6214457352361
2058,340.63025722385896
2059,340.6359904656392
2060,340.602386396991
2061,340.5583262854573
2062,340.528745513535
2063,340.518461134546
2064,340.5227218455062
2065,340.5272670935503
2066,340.5828800866001
2067,340.6327619066962
2068,340.66911138883586
2069,340.64970182039997
2070,340.6188947057417
2071,340.57474807714493
2072,340.5612651755459
2073,340.53750336478447
2074,340.5144047319996
2075,340.5049462521956
2076,340.50335006865225
2077,340.50784572089503
2078,340.54306126212737
2079,340.58108004333553
2080,340.61585152507877
2081,340.6103084753793
2082,340.60888370253303
2083,340.5809048457475
2084,340.57530596028846
2085,340.525064680259
2086,340.501765828571
2087,340.4998156177236
2088,340.51110879257294
2089,340.5358014865027
2090,340.5900880197762
2091,340.62975860302936
2092,340.68993479823956
2093,340.6605137346497
2094,340.6171177611224
2095,340.58258169349966
2096,340.54970217248353
2097,340.5281180353194
2098,340.51520561189875
2099,340.5338781030333
2100,340.58977538793823
