year,rsdt
2015,340.63479759439724
2016,340.57080889973207
2017,340.5433680250628
2018,340.53543616845553
2019,340.53406164196997
2020,340.55226306531694
2021,340.6154474176382
2022,340.69310983810004
2023,340.73758579907303
2024,340.7636508750606
2025,340.71240423256677
2026,340.66297660549543
2027,340.6135742305963
2028,340.6014934237126
2029,340.5603867860828
2030,340.5424939220183
2031,340.5249516015788
2032,340.53689576634395
2033,340.57149903804253
2034,340.64623317516475
2035,340.65501985891984
2036,340.69725117041406
2037,340.6540649500318
2038,340.6539917363548
2039,340.6061410152286
2040,340.56873158078986
2041,340.52104343402885
2042,340.51008324725024
2043,340.51534101256544
2044,340.5476078321068
2045,340.6101165308851
2046,340.65839660654325
2047,340.71193255021836
2048,340.72600854792233
2049,340.67338623589177
2050,340.6065144352677
2051,340.573104652052
2052,340.5504109811577
2053,340.5202425454307
2054,340.52865370672004
2055,340.5693755046914
2056,340.628248543036
2057,340.6217793997733
2058,340.63059096942516
2059,340.6363242567708
2060,340.60271982179336
2061,340.5586598876761
2062,340.52907916566744
2063,340.51879481825966
2064,340.5230552120278
2065,340.5276006798597
2066,340.58321377677413
2067,340.6330957218134
2068,340.66944487801555
2069,340.6500355233572
2070,340.61922845065624
2071,340.57508181769424
2072,340.56159857483874
2073,340.5378369396431
2074,340.5147383665143
2075,340.5052799338901
2076,340.50368342455505
2077,340.50817927731873
2078,340.5433949445164
2079,340.58141381751
2080,340.6161849715619
2081,340.610642118087
2082,340.60921739842905
2083,340.5812386121675
2084,340.57563936760954
2085,340.5253982125018
2086,340.5020994399836
2087,340.5001492804958
2088,340.51144214690305
2089,340.5361350517044
2090,340.5904216903767
2091,340.63009242029
2092,340.69026832136996
2093,340.6608474372901
2094,340.61745147544536
2095,340.5829154466195
2096,340.55003554178705
2097,340.52845158825846
2098,340.51553923371705
2099,340.53421182153465
2100,340.59010993640624
