year,rsdt
2015,340.2693814212329
2016,340.1926594773384
2017,340.1723221452269
2018,340.1596992388163
2019,340.1602147768622
2020,340.1688305162404
2021,340.2309352927012
2022,340.3078342385488
2023,340.36159199753854
2024,340.37365471826837
2025,340.33419967024287
2026,340.2909326004655
2027,340.24521057965006
2028,340.21414636063247
2029,340.1908149614726
2030,340.17107635916096
2031,340.15231390130026
2032,340.1546443573416
2033,340.1890823991331
2034,340.2655654698202
2035,340.2740821315817
2036,340.3189785892016
2037,340.2758916985499
2038,340.27441556747635
2039,340.2355970408818
2040,340.1904655561055
2041,340.15080783791734
2042,340.1377136230469
2043,340.14161000709015
2044,340.1620236749518
2045,340.22791338358843
2046,340.278262120077
2047,340.33346816807574
2048,340.3399643989459
2049,340.2958289577536
2050,340.23632971358626
2051,340.2042563242455
2052,340.17110679312924
2053,340.1459998561911
2054,340.1520802955105
2055,340.1930741819617
2056,340.24091470796765
2057,340.24471017497854
2058,340.25193832606476
2059,340.26332690095245
2060,340.22647044560676
2061,340.18330604866765
2062,340.1572354251391
2063,340.1461410731485
2064,340.1429217612906
2065,340.1513575723726
2066,340.2018467733305
2067,340.2536080974422
2068,340.28283139581544
2069,340.27658014166843
2070,340.2443861033819
2071,340.20109470315174
2072,340.1858982033926
2073,340.16548796353277
2074,340.14220104478807
2075,340.13307227565815
2076,340.1238837255191
2077,340.1329218616224
2078,340.1649858030554
2079,340.2058036072614
2080,340.23172038875214
2081,340.2299770407481
2082,340.23417901862155
2083,340.21186832793774
2084,340.19380785798376
2085,340.155890394237
2086,340.1313894611515
2087,340.1272518628264
2088,340.1304059590379
2089,340.1582004494863
2090,340.2133264829034
2091,340.2472616117294
2092,340.3015573161922
2093,340.2887460368953
2094,340.24856467051046
2095,340.20505128625325
2096,340.171330282133
2097,340.15611170938575
2098,340.14287134457936
2099,340.1580956864031
2100,340.1911444677065
