year,rsdt
1850,340.236752277531
1851,340.22744057015194
1852,340.2255826767177
1853,340.20704864083905
1854,340.17981425246154
1855,340.16342790159456
1856,340.1588051155822
1857,340.1706981084118
1858,340.2028760100064
1859,340.23035980642663
1860,340.250809677333
1861,340.246171005458
1862,340.223286751525
1863,340.20920644263697
1864,340.19505874424766
1865,340.18493986782954
1866,340.17936434811105
1867,340.17098313423054
1868,340.18966800219386
1869,340.2234878331015
1870,340.22569730575776
1871,340.2467842833637
1872,340.2350529082833
1873,340.2174433459974
1874,340.20194334265307
1875,340.17119107181077
1876,340.1578175165881
1877,340.14883732207835
1878,340.1377274186643
1879,340.1398901534407
1880,340.1672085696704
1881,340.20494250989935
1882,340.19519385768945
1883,340.19102323349205
1884,340.2357893434289
1885,340.20638411012413
1886,340.17661266588186
1887,340.15657055998497
1888,340.14802137401
1889,340.14590211633134
1890,340.1527252615314
1891,340.20149243498497
1892,340.241721291738
1893,340.2747379668771
1894,340.3114236073951
1895,340.27654711579623
1896,340.22455009564965
1897,340.1957751966502
1898,340.17918057376386
1899,340.16226689586904
1900,340.15163482247965
1901,340.13408244929894
1902,340.1386615073844
1903,340.1740338051156
1904,340.23799095676367
1905,340.2092260073309
1906,340.2570773190015
1907,340.230284892043
1908,340.24528925647473
1909,340.21525820379384
1910,340.1899819570044
1911,340.15539927025355
1912,340.1422089877194
1913,340.14516250401323
1914,340.1720801784567
1915,340.2486823095034
1916,340.31082387427756
1917,340.35126802627354
1918,340.35872225826733
1919,340.2931069570045
1920,340.2367878116973
1921,340.1988421714469
1922,340.1646614806293
1923,340.15641203579844
1924,340.17191270802124
1925,340.21266655072776
1926,340.2659342726616
1927,340.312354351723
1928,340.2841235017124
1929,340.268755518247
1930,340.26666853395227
1931,340.2251877876177
1932,340.19341990849745
1933,340.17963047811435
1934,340.1952621668985
1935,340.2464247612104
1936,340.35723910397047
1937,340.36316361100705
1938,340.34519519544625
1939,340.3364615662457
1940,340.3025126418022
1941,340.2704930135648
1942,340.23431588786923
1943,340.1983987886612
1944,340.20958318840974
1945,340.2766037196329
1946,340.3102654444028
1947,340.3977089241759
1948,340.4276628050086
1949,340.39644123234166
1950,340.33278574486303
1951,340.24878991531995
1952,340.2440469820205
1953,340.21925057189105
1954,340.21972915440386
1955,340.27197758922836
1956,340.38982911828447
1957,340.49571073349205
1958,340.50800505337645
1959,340.4495228388538
1960,340.40712890624997
1961,340.31440279189854
1962,340.24984289718
1963,340.2279058587061
1964,340.217762401006
1965,340.2234779671447
1966,340.27207884069986
1967,340.33485968602844
1968,340.36657137936106
1969,340.3710626471532
1970,340.3741621461633
1971,340.3217270106485
1972,340.31656076091605
1973,340.26101776541094
1974,340.23414448777294
1975,340.23484990368144
1976,340.22620623862906
1977,340.28502556787777
1978,340.3730399353863
1979,340.4460933319509
1980,340.43271108130887
1981,340.4378495725867
1982,340.35303996883033
1983,340.34854401888913
1984,340.25213355495504
1985,340.21947665279856
1986,340.2231494642284
1987,340.24489144103165
1988,340.3319274066246
1989,340.4495524367241
1990,340.426259330854
1991,340.4259629341021
1992,340.3830844826894
1993,340.2889527203285
1994,340.2345217352044
1995,340.22274788634417
1996,340.1992654878799
1997,340.2316222308433
1998,340.3224560881314
1999,340.38840934021835
2000,340.43617955037996
2001,340.4183775183273
2002,340.42561879615255
2003,340.3080627441406
2004,340.2554449212061
2005,340.2059174838131
2006,340.19284216475813
2007,340.1711807041952
2008,340.16609622485015
2009,340.16643501177225
2010,340.20913679567093
2011,340.27537599328446
2012,340.30384621816137
2013,340.3186413908658
2014,340.3380667072453
