year,rsdt
1850,340.2833960128157
1851,340.27252239070526
1852,340.28043012227096
1853,340.25136141842364
1854,340.22425077255457
1855,340.2074733786387
1856,340.2120589582887
1857,340.21464066178834
1858,340.2477037403682
1859,340.27535484000424
1860,340.30564993244326
1861,340.2922939352793
1862,340.26810854559074
1863,340.25384228850066
1864,340.24947116799547
1865,340.2290321663634
1866,340.2233397601402
1867,340.21480119261025
1868,340.24333981030605
1869,340.26871597081015
1870,340.2716799383294
1871,340.29238640772155
1872,340.29082850626065
1873,340.2627138738763
1874,340.2462306192476
1875,340.2155943152023
1876,340.21084502755775
1877,340.19272929152396
1878,340.181321737211
1879,340.1838577897581
1880,340.22068096840223
1881,340.2491213445794
1882,340.2411619421554
1883,340.2355990475171
1884,340.289540580854
1885,340.25263028079513
1886,340.2199346672999
1887,340.20013645119866
1888,340.2016760421126
1889,340.1898034500749
1890,340.19660226482233
1891,340.24636539825025
1892,340.29672065630353
1893,340.319200489619
1894,340.358256217225
1895,340.3215066988174
1896,340.28081155019265
1897,340.2388078245398
1898,340.2242321275685
1899,340.2061615408283
1900,340.19556115555434
1901,340.1779306072078
1902,340.1820726368525
1903,340.2180807871361
1904,340.291984077349
1905,340.2542684476669
1906,340.30127137066563
1907,340.27589253464794
1908,340.3010442864405
1909,340.2588980060734
1910,340.23485609080694
1911,340.1994110525471
1912,340.19467079476135
1913,340.1889743752676
1914,340.21597231512203
1915,340.29390568145334
1916,340.36504341020975
1917,340.39732139273866
1918,340.40495881381094
1919,340.3410050901648
1920,340.2887496321169
1921,340.2428378170484
1922,340.20843530942307
1923,340.2008590071169
1924,340.22473997351244
1925,340.25639339081226
1926,340.31243102191246
1927,340.3590174008722
1928,340.3374116244382
1929,340.3120709144905
1930,340.31382228903567
1931,340.2698875949807
1932,340.2465130531624
1933,340.2241094719874
1934,340.2393241150738
1935,340.2910650383936
1936,340.4125357849957
1937,340.4112298834813
1938,340.3898093863709
1939,340.38529913915346
1940,340.35531867040345
1941,340.31610767939316
1942,340.27935423132493
1943,340.2427991057095
1944,340.2621131374412
1945,340.32246879682145
1946,340.355471759953
1947,340.4444923714416
1948,340.48403169814856
1949,340.44530873755883
1950,340.37994008521514
1951,340.2935367113923
1952,340.29775850478916
1953,340.2637056533604
1954,340.2639191091877
1955,340.317388330747
1956,340.4434860438517
1957,340.54517011250533
1958,340.5581297992026
1959,340.49629842679786
1960,340.4629643688463
1961,340.36070673694354
1962,340.29481025591286
1963,340.27248376297626
1964,340.27065346077694
1965,340.26761181975064
1966,340.3176076392605
1967,340.3795803122325
1968,340.42140410958905
1969,340.41824917727956
1970,340.42201220368685
1971,340.3662833435895
1972,340.37122627153786
1973,340.30637248836155
1974,340.27883526527717
1975,340.27939319349315
1976,340.2788796620826
1977,340.3293738796287
1978,340.41867558727523
1979,340.49552771163314
1980,340.4889324867562
1981,340.48568650337114
1982,340.4010871782695
1983,340.39694322559933
1984,340.3052287062553
1985,340.2635194543289
1986,340.26775788607654
1987,340.28897504414596
1988,340.3858252956442
1989,340.49795498782635
1990,340.47538084265307
1991,340.47108346599424
1992,340.4405877100278
1993,340.3358361649186
1994,340.27834890705265
1995,340.26731868378107
1996,340.252094091128
1997,340.27560157253316
1998,340.36731533938894
1999,340.43461429125637
2000,340.4929665761451
2001,340.463742776113
2002,340.47499055209227
2003,340.3539494762682
2004,340.31010098392017
2005,340.24927919988755
2006,340.23752909621146
2007,340.21501907975704
2008,340.21879598539164
2009,340.2101320867669
2010,340.25341169801476
2011,340.3206945968001
2012,340.35747856244654
2013,340.3646459292059
2014,340.38432090445735
