year,rsdt
1850,340.2563984910103
1851,340.24552119006853
1852,340.25385407748286
1853,340.2243666557416
1854,340.19726629387844
1855,340.18046456950987
1856,340.1854518942637
1857,340.1876435580319
1858,340.2206989445098
1859,340.24833056306187
1860,340.27899964215
1861,340.26529423961904
1862,340.2410913754815
1863,340.22682637253854
1864,340.2228054098886
1865,340.20200479585833
1866,340.1963350478917
1867,340.1877597756581
1868,340.21665599248183
1869,340.241671627515
1870,340.24463768527926
1871,340.2653400577911
1872,340.2641033015838
1873,340.235678058781
1874,340.21919120893085
1875,340.1885608411815
1876,340.1840970810145
1877,340.1656884598405
1878,340.15428232689425
1879,340.1568224763217
1880,340.1939094438944
1881,340.22206797142553
1882,340.21410070968
1883,340.2085439185573
1884,340.2627487391642
1885,340.2255475606003
1886,340.1928690035049
1887,340.17308658965646
1888,340.1748744180758
1889,340.16272884003104
1890,340.1695192937981
1891,340.21929037015735
1892,340.2698423620772
1893,340.2921038901969
1894,340.3311585308754
1895,340.29442280808536
1896,340.25392347361947
1897,340.21170445272367
1898,340.19712549497007
1899,340.1790706268728
1900,340.16846999076944
1901,340.15083609803077
1902,340.1549616565443
1903,340.1909852746415
1904,340.2654246709118
1905,340.22715688209007
1906,340.27414801610655
1907,340.2487816379495
1908,340.27445737237804
1909,340.23178242722605
1910,340.20772788687924
1911,340.1722933834547
1912,340.168073178644
1913,340.1618489304634
1914,340.1888477900257
1915,340.26677346425515
1916,340.3383932035263
1917,340.3701616679152
1918,340.3778077844071
1919,340.313863759498
1920,340.2620636404377
1921,340.21569439613654
1922,340.18128946382694
1923,340.1737282112853
1924,340.1980462061216
1925,340.22923793008874
1926,340.2852684543557
1927,340.33184689038416
1928,340.310683158979
1929,340.284903581175
1930,340.2866556245986
1931,340.2427078874144
1932,340.219769454329
1933,340.19694598472284
1934,340.212170911815
1935,340.26387278935687
1936,340.38572864271185
1937,340.38402383882703
1938,340.3626062680597
1939,340.35810112104025
1940,340.32851570860976
1941,340.28892596519154
1942,340.25215512628426
1943,340.21561220770013
1944,340.2352717987479
1945,340.29525296982024
1946,340.32826429393197
1947,340.41728908591074
1948,340.4571406116224
1949,340.4180945827536
1950,340.35273052894905
1951,340.2663244796126
1952,340.27084735191033
1953,340.23650487612366
1954,340.23671381702167
1955,340.29016405915564
1956,340.41655281798484
1957,340.5179425801316
1958,340.5308927353114
1959,340.4690377849422
1960,340.43598666256423
1961,340.33346900417376
1962,340.26757687085296
1963,340.2452599094339
1964,340.243668480442
1965,340.2403909761612
1966,340.2903509270655
1967,340.3523223458904
1968,340.3943747324486
1969,340.3909967291845
1970,340.39474169587436
1971,340.3390245411494
1972,340.34417741331333
1973,340.2791217960723
1974,340.2515740381528
1975,340.2521438389608
1976,340.2518343154698
1977,340.3021120672356
1978,340.3913834245238
1979,340.4682469198148
1980,340.4618198342519
1981,340.4584139889233
1982,340.3737993632277
1983,340.36966903895546
1984,340.2781224917059
1985,340.23624117080476
1986,340.2404724121093
1987,340.26168480441993
1988,340.3586715907266
1989,340.4706372404752
1990,340.4480813222388
1991,340.4437798486996
1992,340.41341753397904
1993,340.3085644029591
1994,340.25107956977735
1995,340.24002259136876
1996,340.22491087194993
1997,340.24829645026216
1998,340.34000168891805
1999,340.40727647755244
2000,340.46572800727733
2001,340.43641859080685
2002,340.44767614913314
2003,340.3266446884365
2004,340.2828389206978
2005,340.22195860980304
2006,340.21022539530713
2007,340.18770124879603
2008,340.1915101769852
2009,340.1827987879923
2010,340.2260826633401
2011,340.29335076319023
2012,340.3301714335403
2013,340.33731171072344
2014,340.35696319162025
