year,rsdt
2015,340.29861249531785
2016,340.2346057630565
2017,340.2070130230629
2018,340.1993088813677
2019,340.19806200837434
2020,340.21671050607347
2021,340.27968039316676
2022,340.3575052339737
2023,340.40142772099733
2024,340.42736699352525
2025,340.37598743177443
2026,340.3273637327429
2027,340.2768596492401
2028,340.26584330519586
2029,340.22415629347705
2030,340.2061825268888
2031,340.1888021390732
2032,340.2010680316245
2033,340.2352775678243
2034,340.31020867334655
2035,340.3188350311697
2036,340.3607062352846
2037,340.3188131254013
2038,340.3182902296929
2039,340.26963124732447
2040,340.23299451854126
2041,340.18486160905394
2042,340.1738953472817
2043,340.1792358398437
2044,340.2119745123876
2045,340.2744280253371
2046,340.32221169667696
2047,340.375619046982
2048,340.38918122592037
2049,340.33734691045055
2050,340.2696000608679
2051,340.23650755163743
2052,340.2139833215165
2053,340.18401447452914
2054,340.1924505364405
2055,340.2332480234642
2056,340.2922747050246
2057,340.2855033142926
2058,340.2939256641962
2059,340.3001645440924
2060,340.2656067730629
2061,340.2223583482716
2062,340.1929660744863
2063,340.1827077369167
2064,340.186921252943
2065,340.1915082539598
2066,340.2472229840004
2067,340.2969613689266
2068,340.33330337315385
2069,340.31345097790023
2070,340.28298858224525
2071,340.2388972870291
2072,340.225580001204
2073,340.20178966783493
2074,340.17847039209653
2075,340.16898519437603
2076,340.16759626832726
2077,340.1721002448095
2078,340.2073669433593
2079,340.24446335883994
2080,340.28008807456655
2081,340.27478746388056
2082,340.2733630872753
2083,340.24473684650576
2084,340.2397081348994
2085,340.18932077068166
2086,340.16585200061536
2087,340.16389879200557
2088,340.17523954208576
2089,340.19992725947134
2090,340.2537957178403
2091,340.2939223198041
2092,340.35391201907646
2093,340.32443295831547
2094,340.2805410724796
2095,340.24662475585933
2096,340.21381668717896
2097,340.1923307235927
2098,340.1792095863656
2099,340.1978340880512
2100,340.2409601080908
