year,rsdt
1850,340.3984082009383
1851,340.39840870650085
1852,340.4075866553175
1853,340.39840869906527
1854,340.39840866689156
1855,340.39840907233196
1856,340.4075766023568
1857,340.39840885029514
1858,340.39840894543914
1859,340.3984095985547
1860,340.40756721282565
1861,340.3984094039738
1862,340.3984096835439
1863,340.398409872785
1864,340.40755786471607
1865,340.3984093095237
1866,340.39840980002583
1867,340.3984109579097
1868,340.4075480509701
1869,340.39840934133133
1870,340.39841026959857
1871,340.3984109676546
1872,340.4075389894229
1873,340.39841024971054
1874,340.39841054857567
1875,340.39841141530155
1876,340.4075293083118
1877,340.3984105114674
1878,340.39841108906364
1879,340.3984120873164
1880,340.40751983891744
1881,340.39841104223984
1882,340.39841127543923
1883,340.39841229297014
1884,340.40751044690836
1885,340.39841089205703
1886,340.3984122565784
1887,340.39841220961694
1888,340.4075010091407
1889,340.39841125597803
1890,340.39841216129054
1891,340.39841343274156
1892,340.40749123290084
1893,340.3984123979347
1894,340.3984123676891
1895,340.39841328839736
1896,340.40748103456406
1897,340.3984127546033
1898,340.3984132092337
1899,340.3984139999398
1900,340.3984146462973
1901,340.3984157073569
1902,340.3984174031217
1903,340.3984184376957
1904,340.4070796205594
1905,340.3984164057907
1906,340.39841786363684
1907,340.3984188182758
1908,340.40706988554257
1909,340.39841677667846
1910,340.3984176011097
1911,340.39841978171006
1912,340.4070608141516
1913,340.3984171352556
1914,340.39841892119836
1915,340.3984201486358
1916,340.40705075565523
1917,340.39841702301453
1918,340.39841947072006
1919,340.398420954362
1920,340.40704163329127
1921,340.39841805314194
1922,340.398418989022
1923,340.3984206359888
1924,340.40703189537703
1925,340.3984183235558
1926,340.39841978753566
1927,340.39842166882136
1928,340.40702245544287
1929,340.3984184649124
1930,340.39842006705527
1931,340.3984218807315
1932,340.40701255312115
1933,340.3984193535619
1934,340.3984210666498
1935,340.3984220346801
1936,340.40700317565614
1937,340.398418883616
1938,340.39842157525055
1939,340.3984224044514
1940,340.4069926406538
1941,340.3984197700709
1942,340.3984213988826
1943,340.3984235267345
1944,340.4069841271394
1945,340.3984202351877
1946,340.39842111509637
1947,340.39842330149236
1948,340.40697341460157
1949,340.3984203470645
1950,340.3984214489926
1951,340.39842361355613
1952,340.4069634166259
1953,340.3984202394447
1954,340.39842190549444
1955,340.39842370690405
1956,340.4069541810619
1957,340.3984204020987
1958,340.39842238711276
1959,340.3984232976132
1960,340.4069443833819
1961,340.39842115480906
1962,340.3984226369929
1963,340.3984234222021
1964,340.4069340842679
1965,340.398421501466
1966,340.3984225569707
1967,340.3984240001323
1968,340.406924647573
1969,340.39842141775046
1970,340.3984226800641
1971,340.39842396632343
1972,340.4069142988027
1973,340.39842165082683
1974,340.39842296135834
1975,340.3984239752927
1976,340.40690489940187
1977,340.398420454872
1978,340.39842288856363
1979,340.3984244661592
1980,340.40689459221227
1981,340.39842117738
1982,340.39842314223483
1983,340.3984244931855
1984,340.40688479666926
1985,340.3984212704505
1986,340.3984233900255
1987,340.3984245957222
1988,340.4068744592341
1989,340.3984211613673
1990,340.3984232402481
1991,340.39842515409
1992,340.40686451249536
1993,340.39842195422517
1994,340.39842347515054
1995,340.3984245204811
1996,340.40685496297795
1997,340.398422267651
1998,340.3984233220361
1999,340.3984250576648
2000,340.40684449649234
2001,340.39842173502143
2002,340.39842279009076
2003,340.39842491248794
2004,340.40683516528884
2005,340.39842166632747
2006,340.3984224673009
2007,340.3984255354373
2008,340.40682455059095
2009,340.3984217279157
