year,rsdt
2015,340.47135964791005
2016,340.4071612893104
2017,340.3797094962092
2018,340.3720283272942
2019,340.37078604917974
2020,340.38928959076367
2021,340.4524403683155
2022,340.53031148609324
2023,340.57425664339473
2024,340.60007511313233
2025,340.5487892896723
2026,340.50016114326417
2027,340.4496391078238
2028,340.43848195668727
2029,340.39689651615157
2030,340.37892034687536
2031,340.36153582467745
2032,340.37372200318464
2033,340.40803037523193
2034,340.48301273876996
2035,340.491635120578
2036,340.5334645660516
2037,340.49161933035197
2038,340.4910935635474
2039,340.4424146211101
2040,340.40571056436767
2041,340.3576030027835
2042,340.3466444270921
2043,340.3519790047275
2044,340.38471627782843
2045,340.44724186518516
2046,340.4950501806276
2047,340.5485004979053
2048,340.56202917954954
2049,340.51019235578354
2050,340.4424110766899
2051,340.40929242817947
2052,340.3867645199459
2053,340.35678433417735
2054,340.36523259309826
2055,340.40605899945524
2056,340.4651376620537
2057,340.45835472930037
2058,340.466769720022
2059,340.47300886497464
2060,340.438478955814
2061,340.39515430361126
2062,340.3657557095592
2063,340.35550233702827
2064,340.35977862971157
2065,340.3643107604619
2066,340.4200529611987
2067,340.46982847096757
2068,340.506254124359
2069,340.4863106414876
2070,340.4558421832888
2071,340.4117165463309
2072,340.3984987286841
2073,340.3746057591374
2074,340.35128729244957
2075,340.3417958025516
2076,340.34053035067507
2077,340.3449099289038
2078,340.3802028950652
2079,340.4173178412841
2080,340.45311102220774
2081,340.44764297406897
2082,340.4462365110506
2083,340.41759915011204
2084,340.41272075596294
2085,340.3621563833698
2086,340.3386824116462
2087,340.33672720697894
2088,340.3482511259834
2089,340.3727840303669
2090,340.4266822701899
2091,340.4668244819938
2092,340.5270411745725
2093,340.4973468836466
2094,340.4534233720809
2095,340.41951434021564
2096,340.38689804807984
2097,340.3651867148107
2098,340.35206631234496
2099,340.3707117112449
2100,340.4138180203738
