year,rsdt
1850,341.80498943491193
1851,341.8049887599592
1852,341.8049892051759
1853,341.80498757818486
1854,341.80498768418875
1855,341.80498855730843
1856,341.80498773195166
1857,341.80498765761325
1858,341.8049881373107
1859,341.80498687790464
1860,341.8049873338561
1861,341.80498765415706
1862,341.804986767755
1863,341.80498727298385
1864,341.8049872567152
1865,341.80498612247055
1866,341.8049867124278
1867,341.8049868798848
1868,341.80498578410925
1869,341.8049862038718
1870,341.80498705792877
1871,341.80498537169103
1872,341.8049854812342
1873,341.8049869783402
1874,341.804985233638
1875,341.80498537304834
1876,341.8049863181109
1877,341.8049846907976
1878,341.8049852927619
1879,341.8049862195113
1880,341.80498482602974
1881,341.8049856168856
1882,341.8049854734643
1883,341.80498421898767
1884,341.8049857661046
1885,341.8049853963164
1886,341.8049840756915
1887,341.80498434079226
1888,341.804985432465
1889,341.8049844920795
1890,341.80498433480966
1891,341.80498522264844
1892,341.80498471264343
1893,341.80498383635984
1894,341.8049843107875
1895,341.8049842574888
1896,341.8049834127611
1897,341.8049836105541
1898,341.8049843990848
1899,341.8049841465935
1900,341.80498357342225
1901,341.80498358817357
1902,341.8049846202716
1903,341.8049836574608
1904,341.80498319336107
1905,341.80498417377873
1906,341.80498314690965
1907,341.8049825723679
1908,341.80498360186635
1909,341.8049834544058
1910,341.80498281045413
1911,341.80498287314674
1912,341.8049835945066
1913,341.8049822477248
1914,341.804982330057
1915,341.8049833684118
1916,341.8049823928982
1917,341.8049823993942
1918,341.80498368079515
1919,341.80498180601944
1920,341.80498199732074
1921,341.8049831469559
1922,341.80498143029706
1923,341.8049821995593
1924,341.8049824040496
1925,341.8049810665298
1926,341.80498150630575
1927,341.80498231925355
1928,341.8049806911246
1929,341.80498115227425
1930,341.8049829498199
1931,341.80498135128994
1932,341.80498074662034
1933,341.80498238512104
1934,341.8049802661823
1935,341.80498095644094
1936,341.8049820665473
1937,341.8049803517725
1938,341.80498147397185
1939,341.80498078501495
1940,341.8049806190656
1941,341.80498111664485
1942,341.8049807643889
1943,341.8049809736554
1944,341.80497990123513
1945,341.8049802952335
1946,341.80498123543134
1947,341.8049804150845
1948,341.8049793464713
1949,341.8049803489726
1950,341.80498066524274
1951,341.80497943690494
1952,341.8049798013944
1953,341.80498075574064
1954,341.8049791104802
1955,341.8049802996943
1956,341.80498064257256
1957,341.80497907817556
1958,341.80498026906787
1959,341.80498074761744
1960,341.80497886139773
1961,341.8049796468068
1962,341.80498084146245
1963,341.8049798182045
1964,341.80497929252886
1965,341.8049798896771
1966,341.80498042858727
1967,341.8049786758836
1968,341.8049792421416
1969,341.80497981047785
1970,341.80497883553363
1971,341.80497916743775
1972,341.8049799094809
1973,341.8049786066742
1974,341.8049787887651
1975,341.8049799281934
1976,341.80497855586606
1977,341.80497974538474
1978,341.8049789851756
1979,341.80497986863753
1980,341.8049793146486
1981,341.80497748971106
1982,341.8049789530328
1983,341.80497894865334
1984,341.80497839182266
1985,341.8049785228371
1986,341.804978680233
1987,341.80497903746215
1988,341.8049782493247
1989,341.8049785135735
1990,341.8049788192347
1991,341.8049783203831
1992,341.8049791151748
1993,341.8049780746575
1994,341.80497835679853
1995,341.8049781613635
1996,341.80497781165445
1997,341.8049786307803
1998,341.8049770006649
1999,341.8049786034597
