year,rsdt
1850,341.81646058535125
1851,341.81048549995484
1852,341.8001108486182
1853,341.77652135792533
1854,341.75432917763777
1855,341.7434895926007
1856,341.7470904480231
1857,341.76973647980884
1858,341.8001878919826
1859,341.82437296259445
1860,341.8327098182874
1861,341.8187734408117
1862,341.7998419244626
1863,341.7858488691239
1864,341.7732965318122
1865,341.7648126840954
1866,341.7576089420776
1867,341.76291967779184
1868,341.7900301084494
1869,341.80881897481254
1870,341.82071338473423
1871,341.8255785432833
1872,341.81056641021365
1873,341.79310280110667
1874,341.76953670824264
1875,341.74717021885226
1876,341.7356705045716
1877,341.7254207020954
1878,341.7209133186515
1879,341.7358385369067
1880,341.7686081432134
1881,341.78357247675365
1882,341.7765169360033
1883,341.7964738355968
1884,341.8049964581769
1885,341.7747686225828
1886,341.748841985693
1887,341.7347847762564
1888,341.7294304711713
1889,341.7314484536637
1890,341.75978920319795
1891,341.8052636092671
1892,341.84202085373124
1893,341.87781420372886
1894,341.87907290516205
1895,341.8352402445963
1896,341.79376679206655
1897,341.7701926299939
1898,341.753626968886
1899,341.7393672687841
1900,341.72516959382205
1901,341.7183553844707
1902,341.7385457383616
1903,341.7892337437745
1904,341.80730354387987
1905,341.8167231114933
1906,341.82725219798925
1907,341.8222308555657
1908,341.81430015919204
1909,341.7855675260999
1910,341.7555693860733
1911,341.73106910705843
1912,341.7257751636041
1913,341.74071205456175
1914,341.79309147700206
1915,341.8636807850296
1916,341.91590053197007
1917,341.9407197802549
1918,341.91235188236095
1919,341.849638725417
1920,341.80066145765676
1921,341.76453401436197
1922,341.74323025270036
1923,341.7467137516238
1924,341.77518487253013
1925,341.8239555816107
1926,341.87504478594167
1927,341.883098007352
1928,341.8601509130139
1929,341.8527105520515
1930,341.8307574755384
1931,341.79242910366787
1932,341.76938766299907
1933,341.7701542736284
1934,341.80393798107866
1935,341.88669920777573
1936,341.94684014919113
1937,341.93983865657833
1938,341.92665904662374
1939,341.9048525543827
1940,341.87021293146114
1941,341.8362987058158
1942,341.79964469790764
1943,341.78665062489046
1944,341.8266663539654
1945,341.8776763780971
1946,341.93896765945345
1947,341.99941821883885
1948,341.99960935551974
1949,341.9516252450088
1950,341.8754141837078
1951,341.82993311112784
1952,341.8151865069191
1953,341.8024948807566
1954,341.8293302857066
1955,341.91493114418176
1956,342.02903343736205
1957,342.09166833393215
1958,342.06829079563016
1959,342.0158006866379
1960,341.9468622625582
1961,341.8666118361668
1962,341.8223619454179
1963,341.80590246012713
1964,341.80353973338015
1965,341.83144391897656
1966,341.888039138377
1967,341.9359407146281
1968,341.9550866096098
1969,341.95950767133763
1970,341.93341437397464
1971,341.9037846206537
1972,341.8736212444889
1973,341.8314504413394
1974,341.8178586335533
1975,341.81358324432085
1976,341.8384411457275
1977,341.91305509705745
1978,341.99649492147563
1979,342.02705389144955
1980,342.0220909313342
1981,341.98186766390796
1982,341.9375303144696
1983,341.88602586764523
1984,341.8190522535094
1985,341.80430683763393
1986,341.8169539147572
1987,341.8719855092191
1988,341.97678635123793
1989,342.0264190451904
1990,342.01384172231917
1991,341.99171766340515
1992,341.9230689242493
1993,341.8460838465739
1994,341.8117930811279
1995,341.79411958336243
1996,341.7980171873269
1997,341.8599841871504
1998,341.9399313369852
1999,341.99852033081345
2000,342.012956761965
2001,342.00829296230575
2002,341.9536448213014
2003,341.8667861906714
2004,341.81412281974025
2005,341.7821584077019
2006,341.7649247285518
2007,341.7511310956344
2008,341.7486062488637
2009,341.77037322429
2010,341.8257547281897
2011,341.87365766375194
2012,341.89596037938804
2013,341.9134392119107
2014,341.8939543665314
