year,rsdt
2015,341.8287707095118
2016,341.78288027724784
2017,341.7691545150194
2018,341.76448256341854
2019,341.76889096831076
2020,341.8097206284094
2021,341.8844276314669
2022,341.94572798001406
2023,341.97711008909374
2024,341.96448707542675
2025,341.91800273375173
2026,341.8684096975936
2027,341.83351078238616
2028,341.8068241160149
2029,341.78124744978845
2030,341.7634684681112
2031,341.75662377459565
2032,341.77997831011385
2033,341.8388647068075
2034,341.8807759489499
2035,341.90233102058966
2036,341.90187950127375
2037,341.8842090096322
2038,341.86016018450243
2039,341.8133366124933
2040,341.7706431220457
2041,341.7452359148745
2042,341.7423595628506
2043,341.7571466901967
2044,341.80470807380794
2045,341.8643379857148
2046,341.91541727913284
2047,341.9453380766073
2048,341.9260172000284
2049,341.87008603612213
2050,341.81975596571897
2051,341.787558131393
2052,341.7610203108804
2053,341.7541316908069
2054,341.7787838007252
2055,341.82472746899833
2056,341.85103402993064
2057,341.8562507463209
2058,341.86354692650315
2059,341.8455301507119
2060,341.8065549986839
2061,341.77363644247777
2062,341.7536170511001
2063,341.74656531580047
2064,341.75100348682747
2065,341.78520542017344
2066,341.83813276170395
2067,341.8773702255895
2068,341.8858775856254
2069,341.86473068567335
2070,341.82713218944934
2071,341.79416637965915
2072,341.77547047429306
2073,341.7559981053091
2074,341.73966463296176
2075,341.73008241393626
2076,341.73152042816264
2077,341.75548072087463
2078,341.7922418485154
2079,341.82472016003226
2080,341.8393884425587
2081,341.8399247556592
2082,341.82516407040447
2083,341.80427823205304
2084,341.7762816916884
2085,341.74340970301375
2086,341.730729108233
2087,341.7313998135481
2088,341.7494423930015
2089,341.79309617256314
2090,341.84024473559873
2091,341.8863113853906
2092,341.90177795130234
2093,341.86927744953834
2094,341.8301616271285
2095,341.79229936872395
2096,341.7649638505693
2097,341.75168411936636
2098,341.75455793911476
2099,341.7852221304919
2100,341.8321101694125
