year,rsdt
2015,340.48937737772013
2016,340.41854970535087
2017,340.39904189901574
2018,340.39033159679883
2019,340.38961682231616
2020,340.4000600703083
2021,340.47079861635365
2022,340.54902271442
2023,340.59383629041906
2024,340.61072907180767
2025,340.56778557047255
2026,340.51709915660837
2027,340.47057295756804
2028,340.4481601535631
2029,340.41592046526046
2030,340.3979109025008
2031,340.3803953126787
2032,340.3846891622799
2033,340.42688709609826
2034,340.5019302346259
2035,340.51043046833223
2036,340.54518981042725
2037,340.5095302117632
2038,340.5083447104578
2039,340.4623728955456
2040,340.4156829943067
2041,340.3765241480061
2042,340.36571730214627
2043,340.37085310438795
2044,340.39553831020083
2045,340.46568919705516
2046,340.5138311457978
2047,340.56806765152294
2048,340.5735656668517
2049,340.52713941230303
2050,340.46260028968027
2051,340.42905487133305
2052,340.3972818225535
2053,340.37540008307934
2054,340.38434346304905
2055,340.4255687177106
2056,340.47446711858066
2057,340.47826114602896
2058,340.48561234155005
2059,340.49190680711956
2060,340.45034810350734
2061,340.41341128128397
2062,340.3847437905302
2063,340.37419576621994
2064,340.3706205616183
2065,340.38338570213926
2066,340.43855394093333
2067,340.48872893246886
2068,340.516881014429
2069,340.5057698049603
2070,340.474543184983
2071,340.43046180410283
2072,340.4096668775587
2073,340.39313258723024
2074,340.37002431458984
2075,340.36063705948953
2076,340.35134983525967
2077,340.3638021027296
2078,340.39845595878427
2079,340.43804338314345
2080,340.46379200942476
2081,340.4654131801716
2082,340.4648289408766
2083,340.43747643808325
2084,340.42264663881696
2085,340.38095856791375
2086,340.3575744682212
2087,340.355674593106
2088,340.3590381786712
2089,340.39171993725444
2090,340.44655414093256
2091,340.4849909918229
2092,340.5379891020917
2093,340.5161580423881
2094,340.47322809092276
2095,340.437458984156
2096,340.39766976129397
2097,340.38359152342866
2098,340.3709441352596
2099,340.39027544138014
2100,340.432401320645
