year,rsdt
1850,340.4159888918589
1851,340.4159888918589
1852,340.4159888918589
1853,340.4159888918589
1854,340.4159888918589
1855,340.4159888918589
1856,340.4159888918589
1857,340.4159888918589
1858,340.4159888918589
1859,340.4159888918589
1860,340.4159888918589
1861,340.4159888918589
1862,340.4159888918589
1863,340.4159888918589
1864,340.4159888918589
1865,340.4159888918589
1866,340.4159888918589
1867,340.4159888918589
1868,340.4159888918589
1869,340.4159888918589
1870,340.4159888918589
1871,340.4159888918589
1872,340.4159888918589
1873,340.4159888918589
1874,340.4159888918589
1875,340.4159888918589
1876,340.4159888918589
1877,340.4159888918589
1878,340.4159888918589
1879,340.4159888918589
1880,340.4159888918589
1881,340.4159888918589
1882,340.4159888918589
1883,340.4159888918589
1884,340.4159888918589
1885,340.4159888918589
1886,340.4159888918589
1887,340.4159888918589
1888,340.4159888918589
1889,340.4159888918589
1890,340.4159888918589
1891,340.4159888918589
1892,340.4159888918589
1893,340.4159888918589
1894,340.4159888918589
1895,340.4159888918589
1896,340.4159888918589
1897,340.4159888918589
1898,340.4159888918589
1899,340.4159888918589
1900,340.4159888918589
1901,340.4159888918589
1902,340.4159888918589
1903,340.4159888918589
1904,340.4159888918589
1905,340.4159888918589
1906,340.4159888918589
1907,340.4159888918589
1908,340.4159888918589
1909,340.4159888918589
1910,340.4159888918589
1911,340.4159888918589
1912,340.4159888918589
1913,340.4159888918589
1914,340.4159888918589
1915,340.4159888918589
1916,340.4159888918589
1917,340.4159888918589
1918,340.4159888918589
1919,340.4159888918589
1920,340.4159888918589
1921,340.4159888918589
1922,340.4159888918589
1923,340.4159888918589
1924,340.4159888918589
1925,340.4159888918589
1926,340.4159888918589
1927,340.4159888918589
1928,340.4159888918589
1929,340.4159888918589
1930,340.4159888918589
1931,340.4159888918589
1932,340.4159888918589
1933,340.4159888918589
1934,340.4159888918589
1935,340.4159888918589
1936,340.4159888918589
1937,340.4159888918589
1938,340.4159888918589
1939,340.4159888918589
1940,340.4159888918589
1941,340.4159888918589
1942,340.4159888918589
1943,340.4159888918589
1944,340.4159888918589
1945,340.4159888918589
1946,340.4159888918589
1947,340.4159888918589
1948,340.4159888918589
1949,340.4159888918589
1950,340.4159888918589
1951,340.4159888918589
1952,340.4159888918589
1953,340.4159888918589
1954,340.4159888918589
1955,340.4159888918589
1956,340.4159888918589
1957,340.4159888918589
1958,340.4159888918589
1959,340.4159888918589
1960,340.4159888918589
1961,340.4159888918589
1962,340.4159888918589
1963,340.4159888918589
1964,340.4159888918589
1965,340.4159888918589
1966,340.4159888918589
1967,340.4159888918589
1968,340.4159888918589
1969,340.4159888918589
1970,340.4159888918589
1971,340.4159888918589
1972,340.4159888918589
1973,340.4159888918589
1974,340.4159888918589
1975,340.4159888918589
1976,340.4159888918589
1977,340.4159888918589
1978,340.4159888918589
1979,340.4159888918589
1980,340.4159888918589
1981,340.4159888918589
1982,340.4159888918589
1983,340.4159888918589
1984,340.4159888918589
1985,340.4159888918589
1986,340.4159888918589
1987,340.4159888918589
1988,340.4159888918589
1989,340.4159888918589
1990,340.4159888918589
1991,340.4159888918589
1992,340.4159888918589
1993,340.4159888918589
1994,340.4159888918589
1995,340.4159888918589
1996,340.4159888918589
1997,340.4159888918589
1998,340.4159888918589
1999,340.4159888918589
2000,340.4159888918589
