year,rsdt
1850,340.2820575034782
1851,340.2820575034782
1852,340.2820575034782
1853,340.2820575034782
1854,340.2820575034782
1855,340.2820575034782
1856,340.2820575034782
1857,340.2820575034782
1858,340.2820575034782
1859,340.2820575034782
1860,340.2820575034782
1861,340.2820575034782
1862,340.2820575034782
1863,340.2820575034782
1864,340.2820575034782
1865,340.2820575034782
1866,340.2820575034782
1867,340.2820575034782
1868,340.2820575034782
1869,340.2820575034782
1870,340.2820575034782
1871,340.2820575034782
1872,340.2820575034782
1873,340.2820575034782
1874,340.2820575034782
1875,340.2820575034782
1876,340.2820575034782
1877,340.2820575034782
1878,340.2820575034782
1879,340.2820575034782
1880,340.2820575034782
1881,340.2820575034782
1882,340.2820575034782
1883,340.2820575034782
1884,340.2820575034782
1885,340.2820575034782
1886,340.2820575034782
1887,340.2820575034782
1888,340.2820575034782
1889,340.2820575034782
1890,340.2820575034782
1891,340.2820575034782
1892,340.2820575034782
1893,340.2820575034782
1894,340.2820575034782
1895,340.2820575034782
1896,340.2820575034782
1897,340.2820575034782
1898,340.2820575034782
1899,340.2820575034782
1900,340.2820575034782
1901,340.2820575034782
1902,340.2820575034782
1903,340.2820575034782
1904,340.2820575034782
1905,340.2820575034782
1906,340.2820575034782
1907,340.2820575034782
1908,340.2820575034782
1909,340.2820575034782
1910,340.2820575034782
1911,340.2820575034782
1912,340.2820575034782
1913,340.2820575034782
1914,340.2820575034782
1915,340.2820575034782
1916,340.2820575034782
1917,340.2820575034782
1918,340.2820575034782
1919,340.2820575034782
1920,340.2820575034782
1921,340.2820575034782
1922,340.2820575034782
1923,340.2820575034782
1924,340.2820575034782
1925,340.2820575034782
1926,340.2820575034782
1927,340.2820575034782
1928,340.2820575034782
1929,340.2820575034782
1930,340.2820575034782
1931,340.2820575034782
1932,340.2820575034782
1933,340.2820575034782
1934,340.2820575034782
1935,340.2820575034782
1936,340.2820575034782
1937,340.2820575034782
1938,340.2820575034782
1939,340.2820575034782
1940,340.2820575034782
1941,340.2820575034782
1942,340.2820575034782
1943,340.2820575034782
1944,340.2820575034782
1945,340.2820575034782
1946,340.2820575034782
1947,340.2820575034782
1948,340.2820575034782
1949,340.2820575034782
1950,340.2820575034782
1951,340.2820575034782
1952,340.2820575034782
1953,340.2820575034782
1954,340.2820575034782
1955,340.2820575034782
1956,340.2820575034782
1957,340.2820575034782
1958,340.2820575034782
1959,340.2820575034782
1960,340.2820575034782
1961,340.2820575034782
1962,340.2820575034782
1963,340.2820575034782
1964,340.2820575034782
1965,340.2820575034782
1966,340.2820575034782
1967,340.2820575034782
1968,340.2820575034782
1969,340.2820575034782
1970,340.2820575034782
1971,340.2820575034782
1972,340.2820575034782
1973,340.2820575034782
1974,340.2820575034782
1975,340.2820575034782
1976,340.2820575034782
1977,340.2820575034782
1978,340.2820575034782
1979,340.2820575034782
1980,340.2820575034782
1981,340.2820575034782
1982,340.2820575034782
1983,340.2820575034782
1984,340.2820575034782
1985,340.2820575034782
1986,340.2820575034782
1987,340.2820575034782
1988,340.2820575034782
1989,340.2820575034782
1990,340.2820575034782
1991,340.2820575034782
1992,340.2820575034782
1993,340.2820575034782
1994,340.2820575034782
1995,340.2820575034782
1996,340.2820575034782
1997,340.2820575034782
1998,340.2820575034782
1999,340.2820575034782
2000,340.2820575034782
2001,340.2820575034782
2002,340.2820575034782
2003,340.2820575034782
2004,340.2820575034782
2005,340.2820575034782
2006,340.2820575034782
2007,340.2820575034782
2008,340.2820575034782
2009,340.2820575034782
2010,340.2820575034782
2011,340.2820575034782
2012,340.2820575034782
2013,340.2820575034782
2014,340.2820575034782
2015,340.2820575034782
2016,340.2820575034782
2017,340.2820575034782
2018,340.2820575034782
2019,340.2820575034782
2020,340.2820575034782
2021,340.2820575034782
