year,rsdt
1850,340.2243279444028
1851,340.2243279444028
1852,340.21840736702694
1853,340.2243279444028
1854,340.2243279444028
1855,340.2243279444028
1856,340.21840736702694
1857,340.2243279444028
1858,340.2243279444028
1859,340.2243279444028
1860,340.21840736702694
1861,340.2243279444028
1862,340.2243279444028
1863,340.2243279444028
1864,340.21840736702694
1865,340.2243279444028
1866,340.2243279444028
1867,340.2243279444028
1868,340.21840736702694
1869,340.2243279444028
1870,340.2243279444028
1871,340.2243279444028
1872,340.21840736702694
1873,340.2243279444028
1874,340.2243279444028
1875,340.2243279444028
1876,340.21840736702694
1877,340.2243279444028
1878,340.2243279444028
1879,340.2243279444028
1880,340.21840736702694
1881,340.2243279444028
1882,340.2243279444028
1883,340.2243279444028
1884,340.21840736702694
1885,340.2243279444028
1886,340.2243279444028
1887,340.2243279444028
1888,340.21840736702694
1889,340.2243279444028
1890,340.2243279444028
1891,340.2243279444028
1892,340.21840736702694
1893,340.2243279444028
1894,340.2243279444028
1895,340.2243279444028
1896,340.21840736702694
1897,340.2243279444028
1898,340.2243279444028
1899,340.2243279444028
1900,340.2243279444028
1901,340.2243279444028
1902,340.2243279444028
1903,340.2243279444028
1904,340.21840736702694
1905,340.2243279444028
1906,340.2243279444028
1907,340.2243279444028
1908,340.21840736702694
1909,340.2243279444028
1910,340.2243279444028
1911,340.2243279444028
1912,340.21840736702694
1913,340.2243279444028
1914,340.2243279444028
1915,340.2243279444028
1916,340.21840736702694
1917,340.2243279444028
1918,340.2243279444028
1919,340.2243279444028
1920,340.21840736702694
1921,340.2243279444028
1922,340.2243279444028
1923,340.2243279444028
1924,340.21840736702694
1925,340.2243279444028
1926,340.2243279444028
1927,340.2243279444028
1928,340.21840736702694
1929,340.2243279444028
1930,340.2243279444028
1931,340.2243279444028
1932,340.21840736702694
1933,340.2243279444028
1934,340.2243279444028
1935,340.2243279444028
1936,340.21840736702694
1937,340.2243279444028
1938,340.2243279444028
1939,340.2243279444028
1940,340.21840736702694
1941,340.2243279444028
1942,340.2243279444028
1943,340.2243279444028
1944,340.21840736702694
1945,340.2243279444028
1946,340.2243279444028
1947,340.2243279444028
1948,340.21840736702694
1949,340.2243279444028
1950,340.2243279444028
1951,340.2243279444028
1952,340.21840736702694
1953,340.2243279444028
1954,340.2243279444028
1955,340.2243279444028
1956,340.21840736702694
1957,340.2243279444028
1958,340.2243279444028
1959,340.2243279444028
1960,340.21840736702694
1961,340.2243279444028
1962,340.2243279444028
1963,340.2243279444028
1964,340.21840736702694
1965,340.2243279444028
1966,340.2243279444028
1967,340.2243279444028
1968,340.21840736702694
1969,340.2243279444028
1970,340.2243279444028
1971,340.2243279444028
1972,340.21840736702694
1973,340.2243279444028
1974,340.2243279444028
1975,340.2243279444028
1976,340.21840736702694
1977,340.2243279444028
1978,340.2243279444028
1979,340.2243279444028
1980,340.21840736702694
1981,340.2243279444028
1982,340.2243279444028
1983,340.2243279444028
1984,340.21840736702694
1985,340.2243279444028
1986,340.2243279444028
1987,340.2243279444028
1988,340.21840736702694
1989,340.2243279444028
1990,340.2243279444028
1991,340.2243279444028
1992,340.21840736702694
1993,340.2243279444028
1994,340.2243279444028
1995,340.2243279444028
1996,340.21840736702694
1997,340.2243279444028
1998,340.2243279444028
1999,340.2243279444028
2000,340.21840736702694
2001,340.2243279444028
2002,340.2243279444028
2003,340.2243279444028
2004,340.21840736702694
2005,340.2243279444028
2006,340.2243279444028
2007,340.2243279444028
2008,340.21840736702694
2009,340.2243279444028
2010,340.2243279444028
2011,340.2243279444028
2012,340.21840736702694
2013,340.2243279444028
2014,340.2243279444028
2015,340.2243279444028
2016,340.21840736702694
2017,340.2243279444028
2018,340.2243279444028
2019,340.2243279444028
