year,rsdt
2015,340.29707432577055
2016,340.2225894457673
2017,340.2031711526113
2018,340.19435257585076
2019,340.2376929714255
2020,340.2039837562875
2021,340.27459265303935
2022,340.35254616933327
2023,340.39770081402503
2024,340.4144905821918
2025,340.3715668142658
2026,340.321304781143
2027,340.274366906571
2028,340.2520817168771
2029,340.22011802359805
2030,340.2019674222763
2031,340.1844059356271
2032,340.18861970248287
2033,340.23058680704196
2034,340.3057544446971
2035,340.3144489445099
2036,340.34942902865475
2037,340.3135332499465
2038,340.3120734227847
2039,340.26655156383777
2040,340.21984737866546
2041,340.180598261585
2042,340.1697022320473
2043,340.1748240013645
2044,340.1993279444028
2045,340.2694255672089
2046,340.31771524507707
2047,340.3716456583101
2048,340.37737936777614
2049,340.3311041845035
2050,340.26661017430973
2051,340.23313013364185
2052,340.20160070968
2053,340.17936501698955
2054,340.1882003993204
2055,340.22947989685895
2056,340.27837850492296
2057,340.2818348505726
2058,340.28968606191137
2059,340.2957374050192
2060,340.25469686429796
2061,340.2173275464201
2062,340.18878173828125
2063,340.1782070212168
2064,340.1746614639073
2065,340.18727534045905
2066,340.24225054179146
2067,340.2924533791738
2068,340.320627123689
2069,340.309840790213
2070,340.2786406216556
2071,340.2345164677868
2072,340.2137796480361
2073,340.1972406256689
2074,340.17405362063886
2075,340.1646459292059
2076,340.1553763611676
2077,340.16772787015725
2078,340.20242409902073
2079,340.24178032025895
2080,340.2680689145441
2081,340.2691812593643
2082,340.26898210081333
2083,340.24144387441135
2084,340.2266730321596
2085,340.185162604345
2086,340.16163806654
2087,340.1596334379014
2088,340.16301670858303
2089,340.1955681787779
2090,340.2504969766695
2091,340.2889107482074
2092,340.34176869849637
2093,340.32020481057367
2094,340.2774828767123
2095,340.2414777363816
2096,340.201721693065
2097,340.1876407989083
2098,340.1749553523651
2099,340.1940783356967
2100,340.2359276340432
