year,rsdt
1850,341.5977807449967
1851,341.5977807449967
1852,341.6064785055918
1853,341.5977807449967
1854,341.5977807449967
1855,341.5977807449967
1856,341.6064785055918
1857,341.5977807449967
1858,341.5977807449967
1859,341.5977807449967
1860,341.6064785055918
1861,341.5977807449967
1862,341.5977807449967
1863,341.5977807449967
1864,341.6064785055918
1865,341.5977807449967
1866,341.5977807449967
1867,341.5977807449967
1868,341.6064785055918
1869,341.5977807449967
1870,341.5977807449967
1871,341.5977807449967
1872,341.6064785055918
1873,341.5977807449967
1874,341.5977807449967
1875,341.5977807449967
1876,341.6064785055918
1877,341.5977807449967
1878,341.5977807449967
1879,341.5977807449967
1880,341.6064785055918
1881,341.5977807449967
1882,341.5977807449967
1883,341.5977807449967
1884,341.6064785055918
1885,341.5977807449967
1886,341.5977807449967
1887,341.5977807449967
1888,341.6064785055918
1889,341.5977807449967
1890,341.5977807449967
1891,341.5977807449967
1892,341.6064785055918
1893,341.5977807449967
1894,341.5977807449967
1895,341.5977807449967
1896,341.6064785055918
1897,341.5977807449967
1898,341.5977807449967
1899,341.5977807449967
1900,341.5977807449967
1901,341.5977807449967
1902,341.5977807449967
1903,341.5977807449967
1904,341.6064785055918
1905,341.5977807449967
1906,341.5977807449967
1907,341.5977807449967
1908,341.6064785055918
1909,341.5977807449967
1910,341.5977807449967
1911,341.5977807449967
1912,341.6064785055918
1913,341.5977807449967
1914,341.5977807449967
1915,341.5977807449967
1916,341.6064785055918
1917,341.5977807449967
1918,341.5977807449967
1919,341.5977807449967
1920,341.6064785055918
1921,341.5977807449967
1922,341.5977807449967
1923,341.5977807449967
1924,341.6064785055918
1925,341.5977807449967
1926,341.5977807449967
1927,341.5977807449967
1928,341.6064785055918
1929,341.5977807449967
1930,341.5977807449967
1931,341.5977807449967
1932,341.6064785055918
1933,341.5977807449967
1934,341.5977807449967
1935,341.5977807449967
1936,341.6064785055918
1937,341.5977807449967
1938,341.5977807449967
1939,341.5977807449967
1940,341.6064785055918
1941,341.5977807449967
1942,341.5977807449967
1943,341.5977807449967
1944,341.6064785055918
1945,341.5977807449967
1946,341.5977807449967
1947,341.5977807449967
1948,341.6064785055918
1949,341.5977807449967
1950,341.5977807449967
1951,341.5977807449967
1952,341.6064785055918
1953,341.5977807449967
1954,341.5977807449967
1955,341.5977807449967
1956,341.6064785055918
1957,341.5977807449967
1958,341.5977807449967
1959,341.5977807449967
1960,341.6064785055918
1961,341.5977807449967
1962,341.5977807449967
1963,341.5977807449967
1964,341.6064785055918
1965,341.5977807449967
1966,341.5977807449967
1967,341.5977807449967
1968,341.6064785055918
1969,341.5977807449967
1970,341.5977807449967
1971,341.5977807449967
1972,341.6064785055918
1973,341.5977807449967
1974,341.5977807449967
1975,341.5977807449967
1976,341.6064785055918
1977,341.5977807449967
1978,341.5977807449967
1979,341.5977807449967
1980,341.6064785055918
1981,341.5977807449967
1982,341.5977807449967
1983,341.5977807449967
1984,341.6064785055918
1985,341.5977807449967
1986,341.5977807449967
1987,341.5977807449967
1988,341.6064785055918
1989,341.5977807449967
1990,341.5977807449967
1991,341.5977807449967
1992,341.6064785055918
1993,341.5977807449967
1994,341.5977807449967
1995,341.5977807449967
1996,341.6064785055918
1997,341.5977807449967
1998,341.5977807449967
1999,341.5977807449967
2000,341.6064785055918
2001,341.5977807449967
2002,341.5977807449967
2003,341.5977807449967
2004,341.6064785055918
2005,341.5977807449967
2006,341.5977807449967
2007,341.5977807449967
2008,341.6064785055918
2009,341.5977807449967
2010,341.5977807449967
2011,341.5977807449967
2012,341.6064785055918
2013,341.5977807449967
2014,341.5977807449967
2015,341.5977807449967
2016,341.6064785055918
2017,341.5977807449967
2018,341.5977807449967
2019,341.5977807449967
2020,341.6064785055918
2021,341.5977807449967
2022,341.5977807449967
2023,341.5977807449967
2024,341.6064785055918
2025,341.5977807449967
2026,341.5977807449967
2027,341.5977807449967
2028,341.6064785055918
2029,341.5977807449967
2030,341.5977807449967
2031,341.5977807449967
2032,341.6064785055918
2033,341.5977807449967
2034,341.5977807449967
2035,341.5977807449967
2036,341.6064785055918
2037,341.5977807449967
2038,341.5977807449967
2039,341.5977807449967
2040,341.6064785055918
2041,341.5977807449967
2042,341.5977807449967
2043,341.5977807449967
2044,341.6064785055918
2045,341.5977807449967
2046,341.5977807449967
2047,341.5977807449967
2048,341.6064785055918
2049,341.5977807449967
2050,341.5977807449967
2051,341.5977807449967
2052,341.6064785055918
2053,341.5977807449967
2054,341.5977807449967
2055,341.5977807449967
2056,341.6064785055918
2057,341.5977807449967
2058,341.5977807449967
2059,341.5977807449967
2060,341.6064785055918
2061,341.5977807449967
2062,341.5977807449967
2063,341.5977807449967
2064,341.6064785055918
2065,341.5977807449967
2066,341.5977807449967
2067,341.5977807449967
2068,341.6064785055918
2069,341.5977807449967
2070,341.5977807449967
2071,341.5977807449967
2072,341.6064785055918
2073,341.5977807449967
2074,341.5977807449967
2075,341.5977807449967
2076,341.6064785055918
2077,341.5977807449967
2078,341.5977807449967
2079,341.5977807449967
2080,341.6064785055918
2081,341.5977807449967
2082,341.5977807449967
2083,341.5977807449967
2084,341.6064785055918
2085,341.5977807449967
2086,341.5977807449967
2087,341.5977807449967
2088,341.6064785055918
2089,341.5977807449967
2090,341.5977807449967
2091,341.5977807449967
2092,341.6064785055918
2093,341.5977807449967
2094,341.5977807449967
2095,341.5977807449967
2096,341.6064785055918
2097,341.5977807449967
2098,341.5977807449967
2099,341.5977807449967
2100,341.5977807449967
2101,341.5977807449967
2102,341.5977807449967
2103,341.5977807449967
2104,341.6064785055918
2105,341.5977807449967
2106,341.5977807449967
2107,341.5977807449967
2108,341.6064785055918
2109,341.5977807449967
2110,341.5977807449967
2111,341.5977807449967
2112,341.6064785055918
2113,341.5977807449967
2114,341.5977807449967
2115,341.5977807449967
2116,341.6064785055918
2117,341.5977807449967
2118,341.5977807449967
2119,341.5977807449967
2120,341.6064785055918
2121,341.5977807449967
2122,341.5977807449967
2123,341.5977807449967
2124,341.6064785055918
2125,341.5977807449967
2126,341.5977807449967
2127,341.5977807449967
2128,341.6064785055918
2129,341.5977807449967
2130,341.5977807449967
2131,341.5977807449967
2132,341.6064785055918
2133,341.5977807449967
2134,341.5977807449967
2135,341.5977807449967
2136,341.6064785055918
2137,341.5977807449967
2138,341.5977807449967
2139,341.5977807449967
2140,341.6064785055918
2141,341.5977807449967
2142,341.5977807449967
2143,341.5977807449967
2144,341.6064785055918
