year,rsdt
2015,341.67093539303295
2016,341.60676587248497
2017,341.5789515665133
2018,341.57126364511987
2019,341.57000280928935
2020,341.5888859160959
2021,341.65193238976883
2022,341.7301703466128
2023,341.7741259431186
2024,341.8004197212115
2025,341.74871859615797
2026,341.69976998943173
2027,341.64910838505995
2028,341.63829989498606
2029,341.59618847990686
2030,341.5781549323095
2031,341.5607121715807
2032,341.5732806480094
2033,341.607406574406
2034,341.6826381735606
2035,341.6911639487907
2036,341.73361749518403
2037,341.6912065897903
2038,341.6907744107181
2039,341.6418481278093
2040,341.605398266936
2041,341.55677874839466
2042,341.54577210308753
2043,341.55112396658285
2044,341.5843285965593
2045,341.64670878371146
2046,341.6947042386826
2047,341.74825773892337
2048,341.7622356258027
2049,341.70991177493573
2050,341.6419442790828
2051,341.60863421714464
2052,341.5863912504013
2053,341.5559470816834
2054,341.5644555496843
2055,341.6053963439105
2056,341.6651286085991
2057,341.6579083168343
2058,341.66634621816144
2059,341.6725889441085
2060,341.6383178710937
2061,341.59442130310896
2062,341.5649484294735
2063,341.5546625006688
2064,341.559359699406
2065,341.56352045764663
2066,341.619449312393
2067,341.66935901380566
2068,341.70624740809603
2069,341.6859492053725
2070,341.6553402417327
2071,341.6111304714255
2072,341.5982380070098
2073,341.5738238609
2074,341.5504516601563
2075,341.540906096158
2076,341.54010018126604
2077,341.5440433031892
2078,341.5794708670002
2079,341.6167395186751
2080,341.65298896685033
2081,341.6472015798908
2082,341.64572904403894
2083,341.6169136778949
2084,341.61253603582514
2085,341.561356134284
2086,341.53778594552654
2087,341.5358232053992
2088,341.5478691205587
2089,341.5720219860339
2090,341.6261120939908
2091,341.6664521517819
2092,341.72722878652075
2093,341.69703561443174
2094,341.6528623816085
2095,341.6189288413688
2096,341.5866309597067
2097,341.5643627428028
2098,341.5512212047838
2099,341.5699120090432
2100,341.6130645333904
2101,341.6644190122003
2102,341.6609829837329
2103,341.6590286881957
2104,341.6461853863441
2105,341.5954723619435
2106,341.57159866960075
2107,341.5519200155179
2108,341.5587205024614
2109,341.56259163634417
2110,341.60342549363224
2111,341.6883995578714
2112,341.7000698977954
2113,341.69702976174557
2114,341.6484380852686
2115,341.63385561590326
2116,341.6007355154377
2117,341.5701858311483
2118,341.55626714000965
2119,341.556716208262
2120,341.6041570794093
2121,341.65572242214256
2122,341.7197349234803
2123,341.6825208690068
2124,341.7008223024133
2125,341.6390869976723
2126,341.5922758755619
2127,341.56986150872217
2128,341.5592390504602
2129,341.555809710777
2130,341.59471184717466
2131,341.69643203526323
2132,341.720198707058
2133,341.7308059483358
2134,341.6979651882223
2135,341.64747774307034
2136,341.5960352231379
2137,341.5693845147956
2138,341.5512296493739
2139,341.54258481378423
2140,341.55769511183644
2141,341.5894689272528
2142,341.63174655862053
2143,341.6371541062447
2144,341.655079379147
2145,341.63942728957085
2146,341.60338728395226
2147,341.59891558085405
2148,341.58337059543555
2149,341.56143840633035
2150,341.55514099957196
2151,341.55624130458045
2152,341.60072732167697
2153,341.6611849014073
2154,341.7133162825075
2155,341.7109593221586
2156,341.7096410463934
2157,341.6684388043129
2158,341.6214549443493
2159,341.5832087268568
2160,341.57119416537347
2161,341.56490319657
2162,341.60010810747536
2163,341.67102276527714
2164,341.7485912584279
2165,341.7186367923266
2166,341.7292605883455
2167,341.66290366812933
2168,341.62412535785
2169,341.58131630257384
2170,341.5618399006047
2171,341.55693986448523
2172,341.58568591810257
2173,341.63823016441034
2174,341.67396390732017
2175,341.70515028026
2176,341.7163133595088
2177,341.6754050058861
2178,341.6295890912618
2179,341.60184802747756
2180,341.579769437607
2181,341.55302684209124
2182,341.5366737679259
2183,341.53029358746255
2184,341.54643696824166
2185,341.56532183085403
2186,341.63033622846206
2187,341.64025820379385
2188,341.66799533791743
2189,341.6728270648277
2190,341.6278433185734
2191,341.58933582044625
2192,341.5725773223459
2193,341.5553139882545
2194,341.55141049737796
2195,341.5681622230843
2196,341.63490859776323
2197,341.68705594833585
2198,341.72223778293557
2199,341.7068325094981
2200,341.6787729759739
2201,341.6286825937767
2202,341.6081714368847
2203,341.5920079897528
2204,341.57332471037563
2205,341.5546546413474
2206,341.5426598117776
2207,341.5548605722924
2208,341.59977534045913
2209,341.6303084700075
2210,341.6615149093
2211,341.6610362431774
2212,341.66658893741976
2213,341.6270629882813
2214,341.61014312326085
2215,341.5649251023384
2216,341.54768083128215
2217,341.53671415146084
2218,341.54141318961365
2219,341.5765682690764
2220,341.6390405106218
2221,341.6710948369274
2222,341.7299301356486
2223,341.704714673186
2224,341.6690995725866
2225,341.6231991284514
2226,341.5761936971586
2227,341.5647863100653
2228,341.55396001110336
2229,341.5658511645173
2230,341.6150172403414
2231,341.64764220355306
2232,341.6641730321597
2233,341.6746516815603
2234,341.65095566004925
2235,341.6305338820366
2236,341.5930126451466
2237,341.5660652056132
2238,341.55418149347173
2239,341.55693242321274
2240,341.59067700529755
2241,341.64224970569353
2242,341.6962412376926
2243,341.70309372993364
2244,341.7047161781624
2245,341.6554183332887
2246,341.61441366117293
2247,341.5968597830158
2248,341.5770668343322
2249,341.5515949406036
2250,341.5386904363763
2251,341.53702183553617
2252,341.5651758481378
2253,341.59714572854233
2254,341.64403527664814
2255,341.65076168530607
2256,341.67195468014233
2257,341.6542360906732
2258,341.62370847937177
2259,341.6022935841181
2260,341.56945115180866
2261,341.54057934904745
2262,341.54187780928936
2263,341.549968562714
2264,341.600137120077
2265,341.64986497016804
2266,341.6949879267444
2267,341.73644350652825
2268,341.6998596191406
2269,341.65675893287136
2270,341.6097654577804
2271,341.5821464643086
2272,341.5638207004495
2273,341.55477612639123
2274,341.5867851361836
2275,341.6338681573736
2276,341.67514690242405
2277,341.6657603642712
2278,341.6583781203178
2279,341.63389282226564
2280,341.5969033437232
2281,341.56449016414274
2282,341.5554463425728
2283,341.55067774106385
2284,341.58203777156456
2285,341.6294451151808
2286,341.68734657601135
2287,341.70700374237475
2288,341.7138623381314
2289,341.6382810827804
2290,341.6229938663848
2291,341.5876154651381
2292,341.5664288246468
2293,341.54070760648546
2294,341.55378468134626
2295,341.6056415714629
2296,341.65964882210505
2297,341.69948304058755
2298,341.70208890732016
2299,341.6635612592305
2300,341.6635612592305
