year,rsdt
2015,340.424633284961
2016,340.33163948750115
2017,340.3353365269913
2018,340.3267122022239
2019,340.3262696854179
2020,340.3134722920557
2021,340.4061607214378
2022,340.4828519532855
2023,340.5272029876264
2024,340.5211385169815
2025,340.5014410862105
2026,340.4518170498472
2027,340.405781257436
2028,340.36073983004553
2029,340.35206200914047
2030,340.3341072454536
2031,340.31680198529267
2032,340.29812945199416
2033,340.36260837234937
2034,340.43686714853936
2035,340.4448832973874
2036,340.45671693500543
2037,340.4440370303557
2038,340.44309353075283
2039,340.3975513560282
2040,340.32870506356267
2041,340.31321701679707
2042,340.30239481935683
2043,340.30742544462504
2044,340.30871655537453
2045,340.40096170522054
2046,340.44837248318726
2047,340.50154968614197
2048,340.4842580095429
2049,340.46168836992433
2050,340.39784887941096
2051,340.36494311397615
2052,340.31063584043596
2053,340.31199035370804
2054,340.3206468189413
2055,340.3611550675998
2056,340.38663482245784
2057,340.41293751158025
2058,340.42053550423543
2059,340.4270171983233
2060,340.3627894707052
2061,340.3494185407181
2062,340.3212757790829
2063,340.3108269629143
2064,340.28432123036947
2065,340.3196019218005
2066,340.37395381984686
2067,340.42333998049753
2068,340.4281882563122
2069,340.44039955635805
2070,340.4098321955864
2071,340.3660184539294
2072,340.3226120665215
2073,340.32939584400077
2074,340.30666548561055
2075,340.2974001026414
2076,340.26506861709044
2077,340.3004006798316
2078,340.3344231058226
2079,340.3734748401994
2080,340.37622801005307
2081,340.4003303590732
2082,340.4002748026083
2083,340.37272815483806
2084,340.3356388852309
2085,340.317272743503
2086,340.29418363685556
2087,340.2922693308124
2088,340.27276455313125
2089,340.3280308941709
2090,340.3820697445065
2091,340.4199572577169
2092,340.4492152130259
2093,340.45068305730723
2094,340.40845341582195
2095,340.37324014472387
2096,340.310916164502
2097,340.32011599969076
2098,340.30752252292734
2099,340.3263185719271
2100,340.36758302194147
