year,rsdt
1850,340.23790458783714
1851,340.22779290186213
1852,340.20301563837756
1853,340.20739135742184
1854,340.1801690924657
1855,340.1637459532855
1856,340.13617955037995
1857,340.1710097221479
1858,340.20315518313896
1859,340.23067267430974
1860,340.2282632070045
1861,340.24654632986403
1862,340.2236897507759
1863,340.2095764996254
1864,340.172490200931
1865,340.1852910290025
1866,340.17975405340326
1867,340.1713421547249
1868,340.1670434403093
1869,340.22378130351024
1870,340.22601527383887
1871,340.2471133715486
1872,340.2124627100278
1873,340.217904621281
1874,340.2022813770869
1875,340.17158830198525
1876,340.1352005631956
1877,340.14916131006527
1878,340.13808075369224
1879,340.14021748581973
1880,340.1445916162778
1881,340.2052112318065
1882,340.1955074780608
1883,340.191353993873
1884,340.21319404497547
1885,340.2067694677065
1886,340.17699434463293
1887,340.1569175406678
1888,340.12542557389776
1889,340.1462521905768
1890,340.1530318586794
1891,340.2017706884096
1892,340.2191579322293
1893,340.27508051624034
1894,340.3117834639876
1895,340.2769256173748
1896,340.20213715017655
1897,340.19608321516483
1898,340.1794599977258
1899,340.162647738522
1900,340.15195178724315
1901,340.13452089910635
1902,340.13893340646405
1903,340.17426205987795
1904,340.21540184543557
1905,340.2094882912832
1906,340.2574503859429
1907,340.23052986876604
1908,340.22271185051903
1909,340.21555033644586
1910,340.19036664570854
1911,340.1557721699754
1912,340.1196180369756
1913,340.14546709452594
1914,340.17232624210726
1915,340.2489189252462
1916,340.2881849315068
1917,340.35159494060355
1918,340.35908696422837
1919,340.29356597482337
1920,340.21414728034034
1921,340.1992078807256
1922,340.1649810372967
1923,340.1567441339362
1924,340.1492761063249
1925,340.21316712261876
1926,340.26608961967577
1927,340.31262198670265
1928,340.26148196703764
1929,340.2691279163099
1930,340.266969696463
1931,340.2255817570099
1932,340.1708460977633
1933,340.1799763718696
1934,340.1955427613977
1935,340.24673896685044
1936,340.3344634591717
1937,340.3636334981004
1938,340.3454335669949
1939,340.3368285296715
1940,340.27989920002136
1941,340.2708333890732
1942,340.2347091883829
1943,340.1988532079409
1944,340.1869402323684
1945,340.27685170630883
1946,340.3105895159996
1947,340.39787355187815
1948,340.4052597254923
1949,340.3965899741813
1950,340.3333063831068
1951,340.2492004394531
1952,340.2214952442744
1953,340.2195767337329
1954,340.2200230428617
1955,340.2722201412671
1956,340.3670900109696
1957,340.49603430343006
1958,340.5085710081335
1959,340.4498142190176
1960,340.38454171794734
1961,340.3149016915935
1962,340.2502277531036
1963,340.22824707031253
1964,340.1951834900738
1965,340.2237859856592
1966,340.27235291363434
1967,340.3351089268515
1968,340.3439575195312
1969,340.3713422383348
1970,340.374456954329
1971,340.3220749110391
1972,340.2940037557523
1973,340.2614063001659
1974,340.2344586098031
1975,340.23518885782323
1976,340.20356662697986
1977,340.28518852338397
1978,340.3734187714041
1979,340.4461907373716
1980,340.41014847428835
1981,340.43823350880245
1982,340.3534810941513
1983,340.34911047530505
1984,340.229721027531
1985,340.21973609401755
1986,340.2234832345623
1987,340.2451456148331
1988,340.3092133822507
1989,340.44967969084445
1990,340.4267986976937
1991,340.426204984482
1992,340.3605217084493
1993,340.2894537102686
1994,340.234858599101
1995,340.2231074084974
1996,340.17663917018945
1997,340.2318578432684
1998,340.3225474736462
1999,340.3887326593269
2000,340.4134098418771
2001,340.4186238328071
2002,340.4260996361302
2003,340.3085673293022
2004,340.23291107595776
2005,340.2062652169841
2006,340.1932567857716
2007,340.1714883046607
2008,340.14351488923376
2009,340.166748882973
2010,340.2094623722442
2011,340.27551386584975
2012,340.28125459853914
2013,340.31894113200985
2014,340.3383173694349
