year,rsdt
2015,340.27992160744867
2016,340.1870700783926
2017,340.19088109682684
2018,340.18233124197343
2019,340.18156178095575
2020,340.16891671794735
2021,340.26167552373175
2022,340.3383350947132
2023,340.3824400183273
2024,340.37643248675613
2025,340.3568851000641
2026,340.3072960422464
2027,340.2611698516427
2028,340.2163044132599
2029,340.2074819068386
2030,340.1897295390089
2031,340.1723603549069
2032,340.15372908082725
2033,340.218250682256
2034,340.29236558888056
2035,340.3004588505993
2036,340.3121739217679
2037,340.29949215405605
2038,340.29849184637203
2039,340.2531973224796
2040,340.1843091990849
2041,340.1685012608358
2042,340.1578903407267
2043,340.1630398684986
2044,340.16438205666736
2045,340.2564582720195
2046,340.3039061663902
2047,340.3567783303456
2048,340.3398228475492
2049,340.31702186898
2050,340.25337591301906
2051,340.2204099890304
2052,340.1662500668878
2053,340.1675236950182
2054,340.1761793998823
2055,340.2168343321917
2056,340.2421589890572
2057,340.2684732515518
2058,340.2760582492776
2059,340.28226828379167
2060,340.2184174838132
2061,340.20495388083265
2062,340.17666366786176
2063,340.1662588459171
2064,340.1397926644103
2065,340.17528327001276
2066,340.229567770762
2067,340.2788805817905
2068,340.28366331335616
2069,340.29591858746255
2070,340.2652866311269
2071,340.2216811924764
2072,340.1782749959867
2073,340.1849229786494
2074,340.1621000943119
2075,340.1528119648973
2076,340.12071424510384
2077,340.15593186469926
2078,340.19014775524397
2079,340.22898802038736
2080,340.23181194148657
2081,340.25602333382386
2082,340.25566849381954
2083,340.22830902517654
2084,340.1910660417113
2085,340.1729362592305
2086,340.14972400404
2087,340.1478727157801
2088,340.1283418838292
2089,340.1834545396779
2090,340.2376046794734
2091,340.2754818432951
2092,340.3045292266428
2093,340.3061528454088
2094,340.26388683580376
2095,340.2287705512896
2096,340.16631068399505
2097,340.1756273243526
2098,340.1630840144745
2099,340.181999394665
2100,340.2233204462757
