year,rsdt
2015,340.27956450997965
2016,340.1867591335349
2017,340.1905568580105
2018,340.18199412724744
2019,340.1812326927708
2020,340.16860853221317
2021,340.2613348137843
2022,340.33798142524614
2023,340.38211661560894
2024,340.37610206081445
2025,340.3566387855843
2026,340.3069960502729
2027,340.26080389153464
2028,340.2159806761023
2029,340.20721527517657
2030,340.1893800500321
2031,340.1720783390411
2032,340.1533295931881
2033,340.21787677921657
2034,340.2920485405073
2035,340.3001402972496
2036,340.3118580439319
2037,340.29917928617294
2038,340.2981223746522
2039,340.25287090980845
2040,340.1839701613335
2041,340.1682105495505
2042,340.1575663527397
2043,340.1626828546394
2044,340.16406818546665
2045,340.2561024286976
2046,340.30363585589686
2047,340.35646897407423
2048,340.3394859000428
2049,340.31666100907006
2050,340.2530977432042
2051,340.2200728743044
2052,340.1659045911815
2053,340.1671902591235
2054,340.1758896083047
2055,340.2165008962971
2056,340.24184093736625
2057,340.2681577081549
2058,340.27572556587114
2059,340.28193769063034
2060,340.21804500214046
2061,340.2046647581335
2062,340.1762778086205
2063,340.16592482475386
2064,340.1394749471586
2065,340.1749717398866
2066,340.22918375093644
2067,340.278558516829
2068,340.2833854779806
2069,340.2955949339148
2070,340.26494541952053
2071,340.2213433252622
2072,340.17797165962116
2073,340.18461128130355
2074,340.1617683306132
2075,340.15247643875745
2076,340.1203756254013
2077,340.15559784353593
2078,340.1898109749572
2079,340.2286650357181
2080,340.2314779203232
2081,340.2557222549229
2082,340.2553984341556
2083,340.2279806058701
2084,340.190740047089
2085,340.1725749812714
2086,340.149445917835
2087,340.1475843455693
2088,340.1280148022796
2089,340.18311591997536
2090,340.2372468295162
2091,340.2751975699647
2092,340.30420816499895
2093,340.30584215138055
2094,340.2635432831229
2095,340.22848184663957
2096,340.1660437178938
2097,340.17527649761877
2098,340.1627188068547
2099,340.18166202910953
2100,340.22295891748706
