year,rsdt
1850,340.224203867455
1851,340.224203867455
1852,340.21828119983405
1853,340.224203867455
1854,340.224203867455
1855,340.224203867455
1856,340.21828119983405
1857,340.224203867455
1858,340.224203867455
1859,340.224203867455
1860,340.21828119983405
1861,340.224203867455
1862,340.224203867455
1863,340.224203867455
1864,340.21828119983405
1865,340.224203867455
1866,340.224203867455
1867,340.224203867455
1868,340.21828119983405
1869,340.224203867455
1870,340.224203867455
1871,340.224203867455
1872,340.21828119983405
1873,340.224203867455
1874,340.224203867455
1875,340.224203867455
1876,340.21828119983405
1877,340.224203867455
1878,340.224203867455
1879,340.224203867455
1880,340.21828119983405
1881,340.224203867455
1882,340.224203867455
1883,340.224203867455
1884,340.21828119983405
1885,340.224203867455
1886,340.224203867455
1887,340.224203867455
1888,340.21828119983405
1889,340.224203867455
1890,340.224203867455
1891,340.224203867455
1892,340.21828119983405
1893,340.224203867455
1894,340.224203867455
1895,340.224203867455
1896,340.21828119983405
1897,340.224203867455
1898,340.224203867455
1899,340.224203867455
1900,340.224203867455
1901,340.224203867455
1902,340.224203867455
1903,340.224203867455
1904,340.21828119983405
1905,340.224203867455
1906,340.224203867455
1907,340.224203867455
1908,340.21828119983405
1909,340.224203867455
1910,340.224203867455
1911,340.224203867455
1912,340.21828119983405
1913,340.224203867455
1914,340.224203867455
1915,340.224203867455
1916,340.21828119983405
1917,340.224203867455
1918,340.224203867455
1919,340.224203867455
1920,340.21828119983405
1921,340.224203867455
1922,340.224203867455
1923,340.224203867455
1924,340.21828119983405
1925,340.224203867455
1926,340.224203867455
1927,340.224203867455
1928,340.21828119983405
1929,340.224203867455
1930,340.224203867455
1931,340.224203867455
1932,340.21828119983405
1933,340.224203867455
1934,340.224203867455
1935,340.224203867455
1936,340.21828119983405
1937,340.224203867455
1938,340.224203867455
1939,340.224203867455
1940,340.21828119983405
1941,340.224203867455
1942,340.224203867455
1943,340.224203867455
1944,340.21828119983405
1945,340.224203867455
1946,340.224203867455
1947,340.224203867455
1948,340.21828119983405
1949,340.224203867455
1950,340.224203867455
1951,340.224203867455
1952,340.21828119983405
1953,340.224203867455
1954,340.224203867455
1955,340.224203867455
1956,340.21828119983405
1957,340.224203867455
1958,340.224203867455
1959,340.224203867455
1960,340.21828119983405
1961,340.224203867455
1962,340.224203867455
1963,340.224203867455
1964,340.21828119983405
1965,340.224203867455
1966,340.224203867455
1967,340.224203867455
1968,340.21828119983405
1969,340.224203867455
1970,340.224203867455
1971,340.224203867455
1972,340.21828119983405
1973,340.224203867455
1974,340.224203867455
1975,340.224203867455
1976,340.21828119983405
1977,340.224203867455
1978,340.224203867455
1979,340.224203867455
1980,340.21828119983405
1981,340.224203867455
1982,340.224203867455
1983,340.224203867455
1984,340.21828119983405
1985,340.224203867455
1986,340.224203867455
1987,340.224203867455
1988,340.21828119983405
1989,340.224203867455
1990,340.224203867455
1991,340.224203867455
1992,340.21828119983405
1993,340.224203867455
1994,340.224203867455
1995,340.224203867455
1996,340.21828119983405
1997,340.224203867455
1998,340.224203867455
1999,340.224203867455
2000,340.21828119983405
2001,340.224203867455
2002,340.224203867455
2003,340.224203867455
2004,340.21828119983405
2005,340.224203867455
2006,340.224203867455
2007,340.224203867455
2008,340.21828119983405
2009,340.224203867455
2010,340.224203867455
2011,340.224203867455
2012,340.21828119983405
2013,340.224203867455
2014,340.224203867455
