year,rsdt
2015,340.30056386451196
2016,340.2344670543932
2017,340.2085006922892
2018,340.19757824205374
2019,340.1947595883722
2020,340.2161229799872
2021,340.2747158938891
2022,340.35427254454726
2023,340.4039299115742
2024,340.42544304834655
2025,340.37470042607555
2026,340.32529865421657
2027,340.2775204175139
2028,340.2669023069617
2029,340.2222520802119
2030,340.20275101335085
2031,340.18864361488653
2032,340.19792238000326
2033,340.2325700315711
2034,340.31070397781997
2035,340.3169777230041
2036,340.3634399414062
2037,340.31518445994755
2038,340.3136474609375
2039,340.2734565630351
2040,340.2317377795912
2041,340.18441128665455
2042,340.17340138056505
2043,340.1752939720676
2044,340.2111255384471
2045,340.2702141748715
2046,340.3193284962275
2047,340.3780627943066
2048,340.3877571837543
2049,340.3340092071115
2050,340.27069777397264
2051,340.2370467512575
2052,340.21605023945847
2053,340.1821661962221
2054,340.1894686764234
2055,340.2330534634525
2056,340.28776905634635
2057,340.28380620250965
2058,340.29399832111517
2059,340.2989530380458
2060,340.2670916831657
2061,340.2194392792166
2062,340.1910925460188
2063,340.1847863602311
2064,340.1875540955426
2065,340.1899209218482
2066,340.2458348104398
2067,340.292860475305
2068,340.33169856659345
2069,340.31134651915664
2070,340.2808995077055
2071,340.2408103629334
2072,340.2250529250054
2073,340.20005041671124
2074,340.17884212128104
2075,340.1682523544521
2076,340.169069723887
2077,340.1694968027611
2078,340.2030354539009
2079,340.24533273357235
2080,340.27710337181617
2081,340.272297062286
2082,340.27343390477847
2083,340.24515782186427
2084,340.2392959385702
2085,340.18680620585405
2086,340.16471808446596
2087,340.16583853943706
2088,340.17553836352204
2089,340.19857763002994
2090,340.25298286333475
2091,340.28959016146723
2092,340.35210997699056
2093,340.32120436576946
2094,340.2800921714469
2095,340.2464298614084
2096,340.21317456389124
2097,340.1906824399347
2098,340.1805881447988
2099,340.1985804727633
2100,340.2414354298213
