year,rsdt
2015,340.44534131646634
2016,340.3790365037825
2017,340.35320797215604
2018,340.34228048532475
2019,340.3394616555144
2020,340.3606482737274
2021,340.4194333921955
2022,340.4990263874
2023,340.54869485336843
2024,340.57006820410356
2025,340.5194784055197
2026,340.47004764193053
2027,340.4222575968074
2028,340.4114579126636
2029,340.3669327019761
2030,340.34744745392624
2031,340.3333587016285
2032,340.3424521035744
2033,340.3772952025428
2034,340.4554545893603
2035,340.4617487403315
2036,340.508041731515
2037,340.45992312275484
2038,340.45841850264367
2039,340.41820097756215
2040,340.37628489402465
2041,340.32909708087385
2042,340.31808174975276
2043,340.3199840093779
2044,340.3556785140054
2045,340.41493530718157
2046,340.46409028685514
2047,340.5228480504838
2048,340.53238519834423
2049,340.478790197845
2050,340.4154508121499
2051,340.3817717146038
2052,340.3605907345317
2053,340.3268875346774
2054,340.33417582039965
2055,340.37777691225807
2056,340.4323288675023
2057,340.4285591126171
2058,340.43874347302284
2059,340.44370420517697
2060,340.4116497193842
2061,340.36415716673116
2062,340.3357805614262
2063,340.3294864625904
2064,340.33209953341986
2065,340.33464207781026
2066,340.3906051079481
2067,340.4376283878014
2068,340.4763093635833
2069,340.4561342440054
2070,340.4256699463336
2071,340.3855297768532
2072,340.36964789943306
2073,340.3447904467423
2074,340.3235610955063
2075,340.31296191323855
2076,340.31361145582844
2077,340.3142101517236
2078,340.3477550599003
2079,340.3900816879868
2080,340.42168908683226
2081,340.41705618453653
2082,340.41818609021857
2083,340.3899087832016
2084,340.3838762601443
2085,340.3315408563481
2086,340.30942922063747
2087,340.31055739996293
2088,340.32009057144967
2089,340.34333368867794
2090,340.39774828726325
2091,340.4343653385298
2092,340.4967524461959
2093,340.4659832203773
2094,340.42488021112956
2095,340.39119472102453
2096,340.35772122846885
2097,340.3354062022478
2098,340.3253226779199
2099,340.34328703636555
