year,rsdt
1850,340.2516513772207
1851,340.24214678202594
1852,340.25316830987805
1853,340.21900852151117
1854,340.19200506340974
1855,340.17788035771616
1856,340.1821218830265
1857,340.18815616973455
1858,340.2164480549016
1859,340.24443986448523
1860,340.2791717111248
1861,340.26199926088935
1862,340.23916324981275
1863,340.22700596639555
1864,340.2185821115154
1865,340.19968127943065
1866,340.19077516320624
1867,340.1824292326627
1868,340.2173599034139
1869,340.2387534781678
1870,340.24069840940706
1871,340.26437177266155
1872,340.2597000749144
1873,340.23513409340217
1874,340.2171095756635
1875,340.18409850238123
1876,340.1845452295591
1877,340.16037781597817
1878,340.1495148959225
1879,340.1555234308112
1880,340.1911645340593
1881,340.22198419440275
1882,340.20877652102956
1883,340.2043971231539
1884,340.2638268039651
1885,340.22175226080907
1886,340.191644454329
1887,340.1732537256528
1888,340.17053297905073
1889,340.159297744542
1890,340.16336059570307
1891,340.2142875775899
1892,340.26930291162773
1893,340.29126010006416
1894,340.32657186429793
1895,340.2946304112264
1896,340.250185530153
1897,340.21244055343
1898,340.1936872090379
1899,340.1750654664758
1900,340.1667584144906
1901,340.145726034086
1902,340.1497802734375
1903,340.1900314540079
1904,340.2630301697614
1905,340.22552991893195
1906,340.27143186804363
1907,340.24368311215756
1908,340.27258434556927
1909,340.2304905721586
1910,340.2052861461901
1911,340.1721334379013
1912,340.1645963485927
1913,340.1584680008562
1914,340.18310730816563
1915,340.26229206241976
1916,340.33764255471425
1917,340.36691526648116
1918,340.37395119863015
1919,340.31087345489084
1920,340.26197977980524
1921,340.2161824265571
1922,340.1782703138378
1923,340.16995306145657
1924,340.1950417714576
1925,340.2251768347335
1926,340.27889329048054
1927,340.33016482836575
1928,340.31036811724096
1929,340.2856698650204
1930,340.2804008588399
1931,340.2394900805329
1932,340.21918100853486
1933,340.19392641668446
1934,340.209191142043
1935,340.26268837288626
1936,340.3806965867134
1937,340.3788690436376
1938,340.35927868150685
1939,340.3523525290293
1940,340.3302898250214
1941,340.28458728529
1942,340.2486515410959
1943,340.21514290587544
1944,340.233588231753
1945,340.294072232181
1946,340.32539748100385
1947,340.4131748983305
1948,340.4542606719553
1949,340.40899541149395
1950,340.34743844646295
1951,340.2662140310627
1952,340.26831397487695
1953,340.2355702857448
1954,340.2322834171661
1955,340.28726146123176
1956,340.41798798025474
1957,340.513217121281
1958,340.52630598512417
1959,340.46829323964573
1960,340.4307008508134
1961,340.3290726335082
1962,340.26274221759945
1963,340.242621852927
1964,340.24394338947457
1965,340.2363449305704
1966,340.28616734334867
1967,340.3531666376819
1968,340.3922226161173
1969,340.38913975545796
1970,340.3900873053564
1971,340.3356103348405
1972,340.34203048078984
1973,340.2723222288367
1974,340.24802396591394
1975,340.25295401795273
1976,340.2492720930543
1977,340.3009035711419
1978,340.38778109615794
1979,340.46222726482233
1980,340.46208362318066
1981,340.45353318305865
1982,340.36923476963824
1983,340.36639211994327
1984,340.2735885829142
1985,340.2337638123395
1986,340.23588791938676
1987,340.2593483284728
1988,340.3589826191942
1989,340.4645763658498
1990,340.44330527945743
1991,340.4468492481806
1992,340.4088235097389
1993,340.30681093816884
1994,340.2488194295805
1995,340.234760106753
1996,340.22218561041836
1997,340.24205079797196
1998,340.3358413487265
1999,340.4080902517659
2000,340.46117737652503
2001,340.4354232161013
2002,340.44295135916093
2003,340.3231624237479
2004,340.2833619836258
2005,340.21956728582506
2006,340.20594766695206
2007,340.187327178537
2008,340.18575723726457
2009,340.18016767109907
2010,340.22372871294414
2011,340.2894941774133
2012,340.3306129769103
2013,340.3314433058647
2014,340.35242317931295
