year,rsdt
2015,340.2727095930544
2016,340.20107848284994
2017,340.1823314091931
2018,340.1748307737586
2019,340.1735852385221
2020,340.18357694442955
2021,340.2540731351669
2022,340.33068003197235
2023,340.3737896644906
2024,340.391836338827
2025,340.34906323576627
2026,340.30120389755456
2027,340.25126392939313
2028,340.231983257973
2029,340.1993366398223
2030,340.1815816800888
2031,340.1644486100707
2032,340.16820344271724
2033,340.2102311643835
2034,340.28437683941564
2035,340.29221659621146
2036,340.3258216335349
2037,340.2923477799925
2038,340.2922999551852
2039,340.24399606365046
2040,340.20008779029325
2041,340.160502729024
2042,340.14968077777183
2043,340.1549894986087
2044,340.1790503096907
2045,340.2488631575075
2046,340.29605520588075
2047,340.3483696088399
2048,340.35396527852095
2049,340.3110171801423
2050,340.2441778313623
2051,340.2115154945687
2052,340.18112659193065
2053,340.159711696677
2054,340.1680052874839
2055,340.2081569723886
2056,340.25864826359157
2057,340.2597067636986
2058,340.2679504394531
2059,340.27440503264125
2060,340.23200474569245
2061,340.1975652825343
2062,340.1684969131261
2063,340.15844241625643
2064,340.15447538192956
2065,340.1671042246361
2066,340.22196237224426
2067,340.27096189734056
2068,340.29939081897476
2069,340.2872837850492
2070,340.257285591021
2071,340.21380431292806
2072,340.1927474348512
2073,340.1772183352954
2074,340.1541906069403
2075,340.1448086673266
2076,340.13535866933324
2077,340.14787254856054
2078,340.1826840753425
2079,340.21922306426586
2080,340.24638847455583
2081,340.24921883360975
2082,340.2478979659407
2083,340.2193760702055
2084,340.20668033965643
2085,340.1649461720088
2086,340.1417579964415
2087,340.1398389006314
2088,340.14313814346104
2089,340.1754369448309
2090,340.2284962275256
2091,340.268153026006
2092,340.3188929727632
2093,340.2982986241171
2094,340.2547599060895
2095,340.22168278106267
2096,340.18098286667913
2097,340.16803388203664
2098,340.1550334773651
2099,340.17332479398544
2100,340.21551329730306
