year,rsdt
1850,340.23074708703444
1851,340.22000239124037
1852,340.21852743070417
1853,340.1992863903307
1854,340.17263434423154
1855,340.1561066927975
1856,340.1514128384525
1857,340.163069382759
1858,340.19553749398
1859,340.2224373595355
1860,340.24318956349
1861,340.23941943024937
1862,340.2156890451091
1863,340.2016659253264
1864,340.18824730442
1865,340.1772557088774
1866,340.1717463245131
1867,340.16336001043453
1868,340.18206862358204
1869,340.2161046694403
1870,340.21830026286926
1871,340.23910271631524
1872,340.2286048366598
1873,340.21028199914383
1874,340.19413577563137
1875,340.1640387548159
1876,340.1501985732823
1877,340.1414136076627
1878,340.130153290213
1879,340.13266400898976
1880,340.1595824359214
1881,340.1969418878425
1882,340.188829813918
1883,340.18320162002357
1884,340.22757200476246
1885,340.2002750762522
1886,340.16811531798476
1887,340.14865973485655
1888,340.141027915641
1889,340.1384407775043
1890,340.14517688489934
1891,340.19432423212754
1892,340.2343704014609
1893,340.26592507558325
1894,340.304812747485
1895,340.26859122498394
1896,340.2193604351723
1897,340.1867392344018
1898,340.1723974776594
1899,340.15465121334546
1900,340.1441354411922
1901,340.12666835001073
1902,340.1307651467519
1903,340.16639972843535
1904,340.2307555316246
1905,340.20145012842465
1906,340.2486284647902
1907,340.2230768909193
1908,340.23965671487053
1909,340.20654497538527
1910,340.18302470168027
1911,340.14796267992824
1912,340.1345402129709
1913,340.1376411333476
1914,340.16436608719505
1915,340.24129747364617
1916,340.30302801262843
1917,340.34324951171874
1918,340.3511049871575
1919,340.28773544520544
1920,340.2276458322185
1921,340.1907943098512
1922,340.1567138671875
1923,340.14938655487475
1924,340.16428272822134
1925,340.2039760641856
1926,340.2591774300353
1927,340.30561824432795
1928,340.2753415460456
1929,340.25886631795805
1930,340.2611468589469
1931,340.2177402444082
1932,340.1860959405768
1933,340.1723925446811
1934,340.1875316045055
1935,340.2385054078821
1936,340.3498510909407
1937,340.3567243184129
1938,340.3354290687874
1939,340.33132474716393
1940,340.29352784875323
1941,340.26333593081125
1942,340.2270174209385
1943,340.19080986127466
1944,340.2014970335242
1945,340.2698704549711
1946,340.30144644959336
1947,340.3890326513003
1948,340.4205685968268
1949,340.3902747585349
1950,340.3263531410531
1951,340.2406098666256
1952,340.23669793115903
1953,340.2116836338827
1954,340.2119610512093
1955,340.26465203272153
1956,340.37951359160957
1957,340.48880431292804
1958,340.5014798099047
1959,340.4402834539544
1960,340.3993680771083
1961,340.30757379401217
1962,340.24230873421453
1963,340.2202598258241
1964,340.20995976696275
1965,340.215571071677
1966,340.26484308112157
1967,340.325689111997
1968,340.3584342224957
1969,340.36398190014984
1970,340.36761014755456
1971,340.31274154872114
1972,340.3088941600225
1973,340.25372423145865
1974,340.2264654290187
1975,340.2272268634953
1976,340.21813254160423
1977,340.2768043831603
1978,340.3645809643889
1979,340.4400336278628
1980,340.4244275236783
1981,340.4302389066513
1982,340.3461377287564
1983,340.34326339094605
1984,340.24330736970245
1985,340.211420681052
1986,340.2156495812822
1987,340.23663898624784
1988,340.323465091235
1989,340.44216166457085
1990,340.41998725786596
1991,340.41519415868476
1992,340.3769349816728
1993,340.2827056466717
1994,340.22593551008663
1995,340.2151457486087
1996,340.1915647741867
1997,340.22338808660635
1998,340.3139737899989
1999,340.38036632799117
2000,340.4304807062018
2001,340.4087833770334
2002,340.41979437005034
2003,340.3002010815764
2004,340.2485967766749
2005,340.1968346164651
2006,340.18543341649723
2007,340.16317556720895
2008,340.1585321295751
2009,340.15844107849955
2010,340.2012569897795
2011,340.26762528092894
2012,340.29548766253754
2013,340.311179048721
2014,340.3300947633508
