year,rsdt
2015,340.2727095930544
2016,340.201075890946
2017,340.1823314091931
2018,340.1748307737586
2019,340.1735826466182
2020,340.18357694442955
2021,340.25407054326297
2022,340.33068270748606
2023,340.3737871561965
2024,340.39184127180533
2025,340.3490658276702
2026,340.3011989645762
2027,340.25125356177756
2028,340.2319857662671
2029,340.1993340479184
2030,340.1815841883829
2031,340.1644486100707
2032,340.1682008508134
2033,340.21022865608944
2034,340.28437408029214
2035,340.2922191881153
2036,340.325819041631
2037,340.29234527169837
2038,340.29230513899296
2039,340.24399606365046
2040,340.20008779029325
2041,340.160502729024
2042,340.14968077777183
2043,340.1549894986087
2044,340.1790529015946
2045,340.2488631575075
2046,340.2960526139768
2047,340.348367016936
2048,340.35396527852095
2049,340.31101968843643
2050,340.24418301517017
2051,340.2115180028628
2052,340.1811240836365
2053,340.159706596479
2054,340.1680053710937
2055,340.20815446409455
2056,340.2586508554955
2057,340.2597066800888
2058,340.2679504394531
2059,340.27441021644904
2060,340.23200984589045
2061,340.1975652825343
2062,340.16849950502996
2063,340.15844241625643
2064,340.15448315764127
2065,340.16710681654
2066,340.2219649641482
2067,340.27096189734056
2068,340.29938580238655
2069,340.287283868659
2070,340.2572856746308
2071,340.2138017210242
2072,340.1927422510434
2073,340.1772210108091
2074,340.1541906069403
2075,340.1448060754227
2076,340.13535866933324
2077,340.1478829161762
2078,340.1826789751445
2079,340.21922055597173
2080,340.24638847455583
2081,340.2492162417058
2082,340.2478927821329
2083,340.21937598659565
2084,340.20668293156035
2085,340.16494600478916
2086,340.1417579964415
2087,340.1398363923373
2088,340.14314073536497
2089,340.1754369448309
2090,340.2284962275256
2091,340.2681504341021
2092,340.3188929727632
2093,340.29830104880136
2094,340.2547599060895
2095,340.22168286467246
2096,340.18098052560464
2097,340.16802886544843
2098,340.1550334773651
2099,340.17332479398544
2100,340.2155183138912
