year,rsdt
2015,340.2789684556935
2016,340.2073321616813
2017,340.18857263016366
2018,340.1810588679901
2019,340.17983599101024
2020,340.18982033925516
2021,340.2603166136023
2022,340.33691331001177
2023,340.38002545082406
2024,340.39807739257816
2025,340.3552991057095
2026,340.3074526434075
2027,340.2575020568012
2028,340.2382265691888
2029,340.20557259337545
2030,340.1878171319831
2031,340.17068448001396
2032,340.1744316205586
2033,340.21648216770114
2034,340.2906149668236
2035,340.29847295055646
2036,340.3320805797838
2037,340.298588666524
2038,340.2985433500107
2039,340.25023703379173
2040,340.2063388772206
2041,340.1667462074593
2042,340.15592684811105
2043,340.1612354853382
2044,340.1853036540828
2045,340.2550991946704
2046,340.3022981826573
2047,340.35461584639864
2048,340.36021402437393
2049,340.3172706917541
2050,340.25041370130566
2051,340.2177562974903
2052,340.1873651373876
2053,340.1659446402772
2054,340.174256541631
2055,340.2143874913046
2056,340.26489726027404
2057,340.26594514193596
2058,340.2741913259846
2059,340.28065595234904
2060,340.23825583261987
2061,340.2038240615636
2062,340.1747429834653
2063,340.164685393033
2064,340.1607234589041
2065,340.1733476194617
2066,340.2282055998502
2067,340.2772106431935
2068,340.30563396297083
2069,340.2935400557845
2070,340.2635396879013
2071,340.22004979799874
2072,340.19898046206123
2073,340.1834590546073
2074,340.1604341689855
2075,340.15105189493255
2076,340.1416048232823
2077,340.15412606017225
2078,340.1889278046072
2079,340.2254691346051
2080,340.2526317021618
2081,340.25545729545695
2082,340.25413860164275
2083,340.2256166222977
2084,340.21291119301156
2085,340.17118714215
2086,340.1479915253104
2087,340.14607995438246
2088,340.1493891467787
2089,340.18168251351136
2090,340.23473728127675
2091,340.2743963372218
2092,340.3251362839791
2093,340.3045421861623
2094,340.2610032173052
2095,340.22792592505886
2096,340.18721622832834
2097,340.1742724274936
2098,340.1612844806828
2099,340.1795632558326
2100,340.22174389982877
2101,340.2725385273972
2102,340.26907147969285
2103,340.2670985391696
2104,340.24566842693173
2105,340.2048010421126
2106,340.1813427232716
2107,340.1618996816139
2108,340.1601763999626
2109,340.17245082071383
2110,340.21238687593643
2111,340.2961802025364
2112,340.2989348111088
2113,340.30449787296664
2114,340.2565900410691
2115,340.24253147072983
2116,340.20139703619975
2117,340.17992252715646
2118,340.16624287644476
2119,340.1666841689854
2120,340.2046762962864
2121,340.2637616719285
2122,340.3270372364619
2123,340.28987259538206
2124,340.30003361114086
2125,340.2477207131582
2126,340.20144736930115
2127,340.17960255244
2128,340.16070623528464
2129,340.16579832312175
2130,340.20390767136666
2131,340.3039297443546
2132,340.3185181500161
2133,340.3376556814534
2134,340.3054960904056
2135,340.255893738629
2136,340.19672149240154
2137,340.179119371388
2138,340.1611829783819
2139,340.1527418998823
2140,340.15910301731054
2141,340.19871165654433
2142,340.2403427333048
2143,340.24560346211473
2144,340.2546562299336
2145,340.2478848392016
2146,340.2124989966823
2147,340.20811182309507
2148,340.18424398343853
2149,340.1712328767123
2150,340.1651183245933
2151,340.16622013457834
2152,340.2013759665293
2153,340.26924003705585
2154,340.32048348204734
2155,340.31807936576945
2156,340.3079884986355
2157,340.2765102438731
2158,340.2302924169253
2159,340.192725863522
2160,340.1723091020976
2161,340.17479615930006
2162,340.20935459920804
2163,340.2788015705266
2164,340.3465762621736
2165,340.32557122217463
2166,340.33616725973883
2167,340.2711200034782
2168,340.22444767364084
2169,340.19090241732664
2170,340.17177349769906
2171,340.16692220609474
2172,340.18651875535096
2173,340.2467689827697
2174,340.2817270775364
2175,340.3124504193868
2176,340.31479090860444
2177,340.2831981920216
2178,340.23822723806717
2179,340.21105146016157
2180,340.1805989304634
2181,340.1629706395816
2182,340.1469166376819
2183,340.14063478234686
2184,340.14795415172836
2185,340.1750498314426
2186,340.23896793731274
2187,340.24868431613874
2188,340.26735371628854
2189,340.2807689928029
2190,340.23649684958264
2191,340.19873933138916
2192,340.1736358224529
2193,340.1653331181774
2194,340.16144534594395
2195,340.1779069456336
2196,340.23477607622533
2197,340.2945456308861
2198,340.3291754735659
2199,340.3140611622431
2200,340.28658188075235
2201,340.2373410577643
2202,340.2172717786815
2203,340.20137186964894
2204,340.1744525230094
2205,340.16462711700024
2206,340.1528200750481
2207,340.1648416597549
2208,340.2002853602579
2209,340.2388413520709
2210,340.2695702121683
2211,340.2690854425299
2212,340.26593402183215
2213,340.2356069904484
2214,340.2191172142552
2215,340.17470987398326
2216,340.1492334653253
2217,340.1469707332245
2218,340.1515852418664
2219,340.1861785470623
2220,340.23893240314646
2221,340.27898266936
2222,340.3366628986516
