year,rsdt
1850,340.23665896899075
1851,340.2259034875321
1852,340.2244503491545
1853,340.20519593121253
1854,340.17856102512314
1855,340.1620327048106
1856,340.1573231318225
1857,340.1689759972977
1858,340.2014532219873
1859,340.2283448937821
1860,340.2491039537404
1861,340.245345609482
1862,340.2216191540026
1863,340.2075979572453
1864,340.1941762427761
1865,340.18320454636665
1866,340.17768922570633
1867,340.1693075101669
1868,340.1880173774615
1869,340.22205225278253
1870,340.2242473445527
1871,340.245033577697
1872,340.2345508314159
1873,340.2162518226937
1874,340.2000926396618
1875,340.170005066754
1876,340.1561535142872
1877,340.14738560506737
1878,340.1361348191353
1879,340.13863466863756
1880,340.1655567744006
1881,340.20292826613326
1882,340.19480983786383
1883,340.18917077469496
1884,340.23356298159246
1885,340.20623745852953
1886,340.17410169627567
1887,340.15464628036705
1888,340.1470256648651
1889,340.14444053336365
1890,340.1511703700236
1891,340.2003215633027
1892,340.2403591208262
1893,340.27193310881313
1894,340.3108129213934
1895,340.27461807041954
1896,340.22537866879816
1897,340.19275663192957
1898,340.1784245739244
1899,340.1606664370184
1900,340.1501628718964
1901,340.1326950282267
1902,340.13678572145227
1903,340.17241687513376
1904,340.23678179179154
1905,340.20749837796984
1906,340.254664590914
1907,340.2291207091449
1908,340.24570922851564
1909,340.21258645253636
1910,340.1890799744488
1911,340.1540176182577
1912,340.1405816065122
1913,340.14368628933005
1914,340.1704048052226
1915,340.24733828191887
1916,340.3090845395441
1917,340.3492854706228
1918,340.3571977171179
1919,340.2938074399347
1920,340.23371648919095
1921,340.1968665554098
1922,340.1627927179205
1923,340.15547242883133
1924,340.17036751525035
1925,340.2100671219499
1926,340.26526982555646
1927,340.31171966970777
1928,340.2814315168825
1929,340.2649735960242
1930,340.2672552239405
1931,340.2238425894959
1932,340.19220464000955
1933,340.1784905420591
1934,340.1936381300835
1935,340.24461360565607
1936,340.3559624658872
1937,340.3628402082888
1938,340.341535761585
1939,340.3374687299336
1940,340.2996482535585
1941,340.2694754822613
1942,340.2331354010595
1943,340.19693979759734
1944,340.20762571569986
1945,340.2760027323684
1946,340.30758516494535
1947,340.3951365849743
1948,340.42670463666525
1949,340.39642777116336
1950,340.33251518354024
1951,340.24674523758557
1952,340.2428424155875
1953,340.2178343054366
1954,340.2181082947614
1955,340.27082343950667
1956,340.38566108599105
1957,340.4949629274133
1958,340.50763407668023
1959,340.4464547771297
1960,340.4055278621307
1961,340.3137503846051
1962,340.24847420470354
1963,340.22642914236405
1964,340.21613769531245
1965,340.22175058861296
1966,340.27102393581447
1967,340.3318810867937
1968,340.36463547798047
1969,340.3701739585563
1970,340.3738011190336
1971,340.3189336907374
1972,340.3150903989191
1973,340.25992406557685
1974,340.23266902557793
1975,340.2334317142016
1976,340.2243439138752
1977,340.2830020434236
1978,340.3707869020227
1979,340.4462506856004
1980,340.4306458355629
1981,340.43646875668884
1982,340.3523465927333
1983,340.34948529805223
1984,340.2495337081282
1985,340.21765069830906
1986,340.221875418049
1987,340.2428687526755
1988,340.32969845288426
1989,340.44841149735123
1990,340.42623608732873
1991,340.4214467505886
1992,340.3831884932845
1993,340.28896041243047
1994,340.2321809951573
1995,340.2213898959225
1996,340.1978331683433
1997,340.2296473672945
1998,340.32024444162033
1999,340.3866327991224
2000,340.43673605722927
2001,340.41505712221743
2002,340.4260666938677
2003,340.30646939212323
2004,340.25486140839035
2005,340.2031206522902
2006,340.19171769651643
2007,340.1694538273223
2008,340.1648013598299
2009,340.1647264454462
2010,340.20755105214573
2011,340.27391315616967
2012,340.3017663406998
2013,340.3174742816245
2014,340.33639066513274
