year,rsdt
2015,340.2789684556935
2016,340.20732196128534
2017,340.18856744635593
2018,340.18106137628416
2019,340.17983599101024
2020,340.18982033925516
2021,340.2603166136023
2022,340.33691331001177
2023,340.38002545082406
2024,340.39808257638595
2025,340.3552991057095
2026,340.3074526434075
2027,340.2575020568012
2028,340.2382266527986
2029,340.20557760996365
2030,340.1878171319831
2031,340.17068448001396
2032,340.1744317041684
2033,340.2164743919895
2034,340.29061755872755
2035,340.2984678503585
2036,340.3320831716876
2037,340.298588666524
2038,340.2985407581068
2039,340.25023184998395
2040,340.20633118511876
2041,340.1667360070633
2042,340.15593186469926
2043,340.1612329770441
2044,340.1853036540828
2045,340.25509660276646
2046,340.3022981826573
2047,340.35461559556927
2048,340.3602137735445
2049,340.31726818346
2050,340.25041370130566
2051,340.2177562974903
2052,340.18736998675615
2053,340.1659446402772
2054,340.174256541631
2055,340.2143899995987
2056,340.26489726027404
2057,340.26594765023003
2058,340.27419617535315
2059,340.28065595234904
2060,340.23825834091394
2061,340.2038189613656
2062,340.1747453245398
2063,340.16468564386236
2064,340.16072086700024
2065,340.1733501277558
2066,340.22820819175405
2067,340.2772132350974
2068,340.30563663848454
2069,340.2935400557845
2070,340.26354227980516
2071,340.22005238990266
2072,340.1989829703553
2073,340.1834590546073
2074,340.16043676088935
2075,340.1510493866385
2076,340.14160223137844
2077,340.15412865207617
2078,340.1889327375856
2079,340.225471726509
2080,340.2526340432363
2081,340.255459803751
2082,340.25413860164275
2083,340.2256166222977
2084,340.2129137849155
2085,340.1711872257598
2086,340.14799905019265
2087,340.14607995438246
2088,340.14939165507275
2089,340.18168769731915
2090,340.23472950556504
2091,340.27439892912565
2092,340.3251413005673
2093,340.304552470168
2094,340.2610080666738
2095,340.22792592505886
2096,340.18721622832834
2097,340.17427727686214
2098,340.1612896644906
2099,340.1795658477365
2100,340.22174624090326
