year,rsut
1850,96.29259384364298
1851,95.99645030400526
1852,96.36875925978568
1853,96.37689275872216
1854,96.27121201606644
1855,96.21689929700878
1856,96.3371869857997
1857,95.96737273751873
1858,96.31851739752783
1859,96.53925783340244
1860,96.25311020106487
1861,96.9296755228957
1862,96.8210596581028
1863,96.07056638116705
1864,96.25268675921714
1865,96.28740917885139
1866,96.5352539480549
1867,96.02611761223778
1868,96.29642741582164
1869,96.20605782286759
1870,96.26050149577938
1871,96.03063757909487
1872,95.63472605666068
1873,96.45361800520386
1874,96.55414980535637
1875,96.55394257845944
1876,95.62355881782428
1877,96.50773998939827
1878,96.27716526397288
1879,96.67003779999197
1880,96.50619933245932
1881,96.31602070429555
1882,96.7047118722576
1883,97.6890840295243
1884,99.31702452359133
1885,97.45448577044762
1886,96.94279120458313
1887,96.75274463810332
1888,96.90042521855604
1889,96.54656328175165
1890,96.63061734552252
1891,97.21120337917381
1892,97.13313080252033
1893,97.0686567123622
1894,96.3804295160999
1895,96.8408730493833
1896,96.4130428784514
1897,96.3548206904163
1898,96.35719759170323
1899,96.39818700502997
1900,96.81031364545429
1901,96.48714547353248
1902,96.97129437172248
1903,97.96307820359323
1904,97.53124393828926
1905,96.25922379167113
1906,96.22191582248635
1907,96.95673224044172
1908,96.64383862639127
1909,96.80500289707967
1910,96.70750556841288
1911,97.1368312260876
1912,96.9515683526862
1913,97.39523359324834
1914,97.06036746926503
1915,97.19431620558647
1916,96.93725652825343
1917,97.07422999551851
1918,96.86381328007947
1919,96.5283614067182
1920,97.19064849435468
1921,96.7095363460175
1922,96.676869473392
1923,96.83281396317155
1924,96.76824625093641
1925,96.71885530654696
1926,96.94608396765304
1927,96.75395948854211
1928,96.79577091164785
1929,97.46453125836096
1930,96.94669135106753
1931,96.95409807179071
1932,97.53363785417112
1933,96.38022502742402
1934,96.87504740675836
1935,97.13047897129844
1936,96.72930356378424
1937,96.73154229987156
1938,96.44684310286013
1939,96.62859411370263
1940,96.60710643611543
1941,96.8469507086767
1942,96.95488784999066
1943,96.44921291821622
1944,96.82078932670697
1945,96.72310214107983
1946,97.02396267407562
1947,96.7750429336339
1948,97.0744208976014
1949,96.44023366431668
1950,97.14938789263164
1951,96.93339034825155
1952,97.1445498949861
1953,96.93513354993847
1954,97.19577992060414
1955,96.70901750538448
1956,97.17992741832994
1957,97.17804486000374
1958,97.22139629207246
1959,97.40189060576974
1960,96.69745211666579
1961,97.51421241237693
1962,97.57732215776834
1963,99.08813815182204
1964,98.63143939710643
1965,98.04308923172623
1966,97.60062122083691
1967,97.91775968368738
1968,97.60265467395521
1969,98.04490519484428
1970,98.04914128551746
1971,97.63717112083957
1972,97.83187420988735
1973,97.6262981467051
1974,98.56220573529806
1975,98.43819295804795
1976,97.49466247558595
1977,97.45270561322774
1978,97.29400795714494
1979,97.67103605923587
1980,97.98877155878773
1981,97.91696054118952
1982,98.4291480495505
1983,98.79879978127676
1984,98.10772004846024
1985,98.33413359759605
1986,98.59201858729531
1987,97.61871126775873
1988,98.2580148566259
1989,97.5346701426049
1990,97.69604255989806
1991,99.0626925951814
1992,100.30503266216958
1993,98.83384420316511
1994,98.44893272086364
1995,97.75356882173722
1996,97.56586884799069
1997,97.50986620759312
1998,97.58414388160183
1999,97.03501645440925
2000,97.4383629785825
2001,97.18190913788258
2002,97.4183704532989
2003,97.3966012196998
2004,97.21906769634926
2005,97.3470509568306
2006,97.22448699115071
2007,97.11588979224636
2008,97.1949044632585
2009,96.83380223104399
2010,96.87822591703232
2011,96.39787769056346
2012,96.48175803406596
2013,96.73487713957486
2014,96.06498206151676
