year,rsut
2015,98.02724684623824
2016,98.19035245294442
2017,98.31808889728701
2018,97.90417346693066
2019,98.06209401169869
2020,98.9157862624077
2021,97.70008609719473
2022,98.20254825957832
2023,98.018001441433
2024,98.07649086730122
2025,97.76754735659247
2026,98.23540110130833
2027,98.44487927580533
2028,97.84535898705052
2029,98.37760484251257
2030,97.7519574100024
2031,97.97166398975946
2032,98.15451171038902
2033,98.17670689412991
2034,98.68751632481407
2035,97.37999859117483
2036,97.95789029892175
2037,98.4941063658832
2038,98.04344476151138
2039,98.40419133852603
2040,97.32690787119408
2041,97.61657016701892
2042,97.7850244600479
2043,97.56654717432309
2044,98.01877562640463
2045,97.1875298905046
2046,97.87314798015437
2047,97.55994147731832
2048,97.59648519019558
2049,98.11854850037459
2050,97.10108818158712
2051,97.27254086847176
2052,97.45545811065256
2053,97.68836805787804
2054,97.3488714766829
2055,97.62706779584491
2056,97.73937488712676
2057,97.48252588559502
2058,97.46563668446997
2059,96.99864871926503
2060,97.45996277691566
2061,98.13399054122299
2062,97.43852294503826
2063,97.33453874979932
2064,97.26981217893837
2065,97.07345731552333
2066,97.08609217813569
2067,97.6050253881167
2068,96.9952841353743
2069,97.12363421296419
2070,97.5083947795711
2071,97.36438320630216
2072,97.28001922189372
2073,97.16595820596773
2074,96.78079951038099
2075,97.18771366485178
2076,97.73104089188249
2077,96.58762999234133
2078,97.26805221348592
2079,97.61650741786175
2080,96.72780544333261
2081,96.8912520735231
2082,97.22537158286734
2083,97.61169847462274
2084,96.65933649768567
2085,96.86029736244515
2086,97.36741590107958
2087,97.40299678436698
2088,97.90749881692128
2089,96.37604955385808
2090,96.95143645822185
2091,97.28102782785075
2092,96.90116067128639
2093,96.98648516511263
2094,96.98887816128664
2095,96.97820764829035
2096,96.78009292393514
2097,96.7700988351482
2098,97.04716487518728
2099,96.85865236047196
2100,96.75532851545779
