year,rsut
1850,98.99554983928118
1851,98.83509607880991
1852,98.41305332768893
1853,98.69181364571068
1854,98.78013558868518
1855,98.30985172138014
1856,99.0125136231987
1857,98.2574836964004
1858,97.82138039790881
1859,98.7223582413248
1860,98.41102506373777
1861,98.34357578570979
1862,99.09182073027713
1863,97.81967720461165
1864,98.51720534672899
1865,98.08250626224317
1866,98.64512792378939
1867,97.81189331197632
1868,98.54097276835918
1869,98.41047920974654
1870,98.32966058231953
1871,98.73912083060996
1872,98.28773357495184
1873,98.33757781132326
1874,98.42851341455469
1875,97.8086119303064
1876,98.76418510240958
1877,98.31058876607841
1878,98.55359427035529
1879,98.25336925556581
1880,98.14694719302844
1881,98.6834044874957
1882,97.90470920175228
1883,99.19545620499322
1884,100.91296332173786
1885,99.4336566527562
1886,98.83995361939566
1887,98.71265233291481
1888,98.71576282531686
1889,99.04056345780856
1890,98.84228059697007
1891,99.32517023932586
1892,98.6481726228982
1893,98.84956069033892
1894,98.49424547363142
1895,98.66402266624736
1896,98.75206900578576
1897,98.75387526060032
1898,98.59541036199695
1899,98.23848876126785
1900,98.55750714474719
1901,98.7442739093012
1902,98.92602403115916
1903,100.25526783823207
1904,99.24166588441261
1905,99.51257163467147
1906,98.81026128877357
1907,99.02060455759518
1908,98.55170084147134
1909,98.88708517355035
1910,99.16600153555915
1911,98.77592964456899
1912,99.17797006254715
1913,99.72417563668485
1914,99.34377146223555
1915,98.79678355350413
1916,99.18583766428954
1917,98.81985992389038
1918,98.75319188744481
1919,98.46557649787293
1920,99.25941632226511
1921,98.30582503646306
1922,98.65005693327306
1923,98.8256463685378
1924,98.35423875062199
1925,98.38563317926346
1926,98.38115425274175
1927,98.27109979539084
1928,98.17088837247326
1929,99.06394935433751
1930,98.26210597744914
1931,98.26659660230457
1932,98.5562336730962
1933,98.02941877889499
1934,98.60660182753156
1935,98.29079109569925
1936,98.02863152788464
1937,98.41262128032079
1938,98.82004385740683
1939,98.61943438340889
1940,98.52373586959797
1941,98.49325067611491
1942,98.40095376341421
1943,98.06712148722306
1944,98.76258389650398
1945,98.60997657699136
1946,98.22281519313529
1947,98.78378985461771
1948,97.99290359835211
1949,98.874557907147
1950,98.01619207920861
1951,98.44156847581837
1952,98.34356479929605
1953,97.99074285193431
1954,98.32942909692498
1955,98.49867520805122
1956,98.29132416064827
1957,98.92363024028703
1958,98.10827006412961
1959,98.7433297183557
1960,98.90488309766468
1961,98.57210947603075
1962,98.73101380252153
1963,100.37876664215067
1964,100.00989698745653
1965,99.35714101540393
1966,99.24904649650104
1967,99.04355490472501
1968,99.3199567278113
1969,98.80263849479232
1970,99.84988601626486
1971,99.25982612361676
1972,99.92478968986427
1973,99.02974105314053
1974,99.22161987496303
1975,99.56321826001457
1976,99.45122254075415
1977,99.21250420501269
1978,99.7553474785942
1979,98.89984470000604
1980,98.8018799040785
1981,99.20444218684631
1982,99.2561774456649
1983,100.14783417301277
1984,98.98842643067246
1985,99.09053092712215
1986,99.12976095500528
1987,99.28197046698371
1988,99.27147587416886
1989,98.66744496999989
1990,98.89449860819974
1991,99.7683020420423
1992,101.21711773853556
1993,99.83665273508612
1994,99.04530626042585
1995,98.95325520318262
1996,98.7802337549471
1997,98.64511263624212
1998,98.87241606526703
1999,98.73564564163435
2000,99.18734125969056
2001,98.67954564272057
2002,98.77114981036124
2003,99.26080863031403
2004,98.92385928381896
2005,98.76141643697554
2006,99.11853852009125
2007,98.37981749148949
2008,98.56382180194124
2009,98.71123601032667
2010,98.39976730870924
2011,98.08178850284999
2012,98.96338603235428
2013,98.24809143019871
2014,98.23753434572774
