year,rsut
1850,99.17273628802175
1851,99.50921216768047
1852,99.26555220435351
1853,99.28260651915176
1854,99.23679895710231
1855,99.63906027359707
1856,99.04315463283072
1857,99.03734421356098
1858,99.41140023100509
1859,99.50330667773648
1860,99.01453203559677
1861,99.60254726526689
1862,99.32308289676003
1863,99.18561854816522
1864,99.32308289367946
1865,98.91514622984413
1866,99.7724206367516
1867,98.64377665385508
1868,99.30968968417892
1869,99.17236973630624
1870,99.20784445099018
1871,99.02741782398368
1872,99.22481631442737
1873,99.18744289170813
1874,98.99146589015996
1875,99.49755190313965
1876,98.77314063472058
1877,98.94737913064675
1878,98.75222233339338
1879,99.361285111162
1880,98.83742608074918
1881,98.65613129001139
1882,98.85819950004438
1883,98.82164703331397
1884,98.55724043811406
1885,98.78599820439689
1886,98.5780852479005
1887,98.33505730468963
1888,98.98709540583576
1889,98.30465121670368
1890,98.48169828688012
1891,98.69470794650013
1892,98.70841570097014
1893,98.39182790964472
1894,98.09006763679403
1895,99.1405830204144
1896,98.4707917838751
1897,98.28597579906118
1898,99.13956106693166
1899,98.11564473141577
1900,98.3975900984173
1901,98.190109421556
1902,98.67435747943398
1903,98.50167455629435
1904,98.44198067034178
1905,98.63188343949697
1906,98.48459556691655
1907,98.73888020281677
1908,98.60933869486809
1909,98.5179061349096
1910,99.17421314822272
1911,98.28344737012809
1912,98.77425986720372
1913,98.5057129174382
1914,99.06948236902188
1915,98.51559434532766
1916,98.56913535771264
1917,99.05325455619086
1918,98.58003892231044
1919,98.47868975222588
1920,98.95929717979114
1921,98.33656531765101
1922,98.80590561583622
1923,98.38485450880619
1924,98.88664314136317
1925,98.98464224807356
1926,98.91086738535644
1927,99.01712457763632
1928,99.12247543707755
1929,99.21648694336558
1930,99.24417828098616
1931,98.99196404053555
1932,99.40711044282196
1933,99.11997230957184
1934,99.08754299007808
1935,99.0532185081616
1936,99.0806303594973
1937,99.43564405287073
1938,99.19810108148249
1939,99.42155575657237
1940,99.03006477022996
1941,99.81327093585269
1942,98.66615568622134
1943,99.28467197624279
1944,98.9485906528297
1945,98.92970819668503
1946,99.27284158173751
1947,99.41240541621434
1948,99.26869289010862
1949,98.9047418858383
1950,99.3732863834913
1951,98.96355614410434
1952,99.00849706210062
1953,99.66953206460087
1954,98.89862638069764
1955,98.41364499860452
1956,99.03620213767115
1957,98.81706121387475
1958,98.45479196174172
1959,98.609534491404
1960,98.60312802032253
1961,98.56440584327058
1962,99.19842524201859
1963,98.36632995775457
1964,98.40288736989922
1965,98.57476661020156
1966,98.61844191881148
1967,98.94787950845853
1968,98.66089461395833
1969,98.74535344103793
1970,98.49049735236107
1971,98.74590297580508
1972,98.87183145036609
1973,99.22547539423671
1974,98.54890216231502
1975,99.55762836744027
1976,99.14485158968853
1977,99.60052032770555
1978,98.96287497004934
1979,99.24882133122442
1980,98.63414953797404
1981,99.10446466423399
1982,99.25513449702268
1983,98.91744084975636
1984,99.87446474806876
1985,98.84138292909708
1986,99.01085147733853
1987,99.1018109151471
1988,98.84350728736021
1989,99.61741775938387
1990,99.11463883358334
1991,99.2399732689469
1992,99.08349511481424
1993,99.11731231008883
1994,99.23870796152653
1995,99.16961410860378
1996,99.4247709536711
1997,99.11334916427364
1998,98.84075633034269
1999,99.25806260950331
2000,98.86076235989762
2001,99.32856805506486
2002,98.51018670575337
2003,98.64387816420664
2004,98.6553299491662
2005,98.33006470493311
2006,99.26319871892554
2007,99.0481308126727
2008,98.70223137124272
2009,99.2133460859629
2010,98.55444241127327
2011,98.89964445009153
2012,98.77612224585835
2013,98.6957919506352
2014,98.51243485554289
2015,99.1463646765626
2016,98.81952205772754
2017,99.402972494361
2018,99.0250570845848
2019,98.68918032932059
2020,98.97854550873123
2021,99.13179947149546
2022,99.2133698131863
2023,99.39403619472071
2024,98.99460338702679
2025,99.67375854684262
2026,98.6105564978812
2027,99.02572779141
2028,98.93360498307877
2029,98.98861735186996
2030,99.29671214244405
2031,98.74829706941914
2032,98.83237405122776
2033,99.29987849410755
2034,98.61881694227745
2035,98.95883853192338
2036,99.0346086936203
2037,98.93427420606781
2038,99.48524201908882
2039,98.59927269115428
2040,99.4336805093259
2041,99.1151667187859
2042,99.29699957104408
2043,98.76226753351676
2044,99.43823150911774
2045,99.0453100190601
2046,99.00399275611272
2047,98.61519082527562
2048,99.58995502477566
2049,98.53603718871891
2050,99.0276051863043
2051,98.48173584482649
2052,98.31135098650877
2053,98.90878915590872
2054,98.40581155601382
2055,98.84098674957713
2056,98.33831679096926
2057,98.9206287707167
2058,98.74131971299468
2059,98.74414801756795
2060,98.95929664245199
2061,98.72867235360893
2062,99.04352303659866
2063,98.53766349297126
2064,98.95259412140182
2065,98.9354277799184
2066,98.80440099170256
2067,98.72391795811255
2068,98.26713492524566
2069,99.38227166700177
2070,98.90535600479188
2071,98.8263948239637
2072,98.86888543652337
2073,98.5936577962916
2074,99.11286724461924
2075,99.25666969948371
2076,98.67484936151588
2077,99.26699412192718
2078,98.6511226878756
2079,99.28978559070829
2080,98.47909778790738
2081,99.46773574984445
2082,99.38130662869983
2083,99.33630991152545
2084,99.17840490305566
2085,99.09933004234945
2086,98.7508697444087
2087,99.13210776393771
2088,98.97362243180157
2089,99.42799891829858
2090,98.79931678280424
2091,99.32171734558692
2092,99.22728710055955
2093,99.41011823501746
2094,99.07972278799909
2095,99.39940555400266
2096,99.07701999699424
2097,99.24379580160338
2098,99.8569830699987
2099,98.90026793318648
2100,99.11709409105761
2101,99.08179994218693
2102,98.97054991689359
2103,99.24661970967769
2104,98.45807618380472
2105,99.1843705354776
2106,98.75831630569225
2107,98.74501749075031
2108,98.75998979147577
2109,98.83971394656162
2110,98.87563222596827
2111,98.91778399258871
2112,98.72277653205808
2113,98.77887084402025
2114,98.94439383440734
2115,98.53018666488757
2116,99.26849481880613
2117,99.10058221677804
2118,98.615280761744
2119,99.28391463466954
2120,98.62179611938848
2121,99.01679428100212
2122,98.81968913715612
2123,98.67803131568249
2124,98.7948478455142
2125,98.50013443077435
2126,98.80710311167172
2127,98.65106820810523
2128,99.18985907129301
2129,98.81445741455126
2130,98.40835866715594
2131,99.34212756074852
2132,98.63253932961568
2133,98.41497128031362
2134,98.71688027970075
2135,98.38462198711025
2136,98.79036148599411
2137,98.44882633007737
2138,98.8354184626471
2139,98.94936187316496
2140,98.64067216086413
2141,98.69710180777841
2142,98.56291770989706
2143,99.14932625603855
2144,98.73224399588389
2145,98.30799957405728
2146,98.48578833445114
2147,99.39575986959862
2148,98.12862289872108
2149,98.45178153628044
2150,98.42020998056121
2151,98.52508152991773
2152,98.27061675752283
2153,98.56940115272594
2154,98.10483551976793
2155,98.5876543325474
2156,98.05317329657649
2157,98.86741281925681
2158,98.38497171552541
2159,98.37124138240728
2160,98.56755917082594
2161,97.9604354172782
2162,98.36057915433885
2163,98.65373643976436
2164,98.11080842990904
2165,98.11875536205523
2166,98.70276859688856
2167,97.71899133051313
2168,98.56584461533913
2169,98.01481820046584
2170,98.24540935830453
2171,97.83843333491944
2172,98.57827720122724
2173,97.9423180123067
2174,98.2879216101639
2175,98.49219238905701
2176,98.11135579110342
2177,98.43979247672942
2178,97.82676764107845
2179,98.60121111714624
2180,97.69937806760646
2181,98.8952212813323
2182,97.94310671979281
2183,98.11666943810788
2184,98.26074661570131
2185,98.6845593590515
2186,97.97387228996033
2187,98.39563448812672
2188,98.07994646131505
2189,98.60693663911798
2190,98.11362218154184
2191,98.35518611116568
2192,98.57770641856438
2193,97.9032518385945
2194,98.54450687158999
2195,98.17004585765142
2196,98.91670847867711
2197,98.23713560147655
2198,98.93861697715387
2199,97.89579600371727
2200,98.30895781048437
2201,98.25498071331
2202,98.27656192853368
2203,98.32194734662477
2204,98.74801134729046
2205,98.15338146200928
2206,98.53140210068595
2207,97.87926377259504
2208,98.29748683700926
2209,97.85844680859194
2210,98.06264704498687
2211,98.11858360912055
2212,98.8480615522048
2213,97.86433457948196
2214,98.66486927458756
2215,97.76133662928741
2216,98.41982992666523
2217,98.10518445691564
2218,98.61542486148575
2219,99.03999912255655
2220,98.37640496032907
2221,97.96371289260836
2222,98.32923206134231
2223,98.00060784478538
2224,97.83619653762682
2225,98.3657149979187
2226,98.02109871922451
2227,98.02135930000887
2228,98.48229669733189
2229,98.07349766631702
2230,98.09257906647544
2231,98.59990287179355
2232,98.3911850759545
2233,98.23000671027145
2234,98.88128204801473
2235,98.1132875767003
2236,98.88233357238563
2237,98.66599407060316
2238,99.1224128616116
2239,98.58286186407283
2240,98.30100361842676
2241,99.24805284725566
2242,98.66213505611647
2243,98.6889942785976
2244,98.9767124463703
2245,98.78786133135652
2246,98.95702430761091
2247,98.45837944973886
2248,99.02860467030686
2249,98.5188690813476
2250,99.56467057060173
2251,98.2821248473747
2252,98.99248312821489
2253,99.34500301459181
2254,98.76791693694634
2255,99.15895456346959
2256,99.0037454982136
2257,98.30519854043466
2258,98.88031178739837
2259,99.34636756198645
2260,98.70435826350969
2261,99.3206471472692
2262,98.84966836358501
2263,98.49071498593682
2264,99.12822928139141
2265,99.00350189920178
2266,98.41996725181819
2267,99.01842408966368
2268,99.25062034243605
2269,98.49744695689651
2270,98.49512288017773
2271,99.09044156799138
2272,98.19562544417488
2273,98.79063425008343
2274,98.41782865775974
2275,98.6161319599768
2276,98.35987253151988
2277,98.40206674911883
2278,98.7321062769088
2279,98.72193530379124
2280,98.65648439653165
2281,98.57796797661923
2282,98.2010199550708
2283,98.47210303598902
2284,98.26929922101397
2285,98.55638321053509
2286,98.96541344645517
2287,98.78922317995062
2288,98.73377803386394
2289,99.26716665662806
2290,98.45204696488575
2291,98.97041328714586
2292,98.53261847267419
2293,98.94451219837947
2294,98.64529805933992
2295,98.8505087128313
2296,98.53544140871095
2297,98.8419372979431
2298,98.3593995491934
2299,98.823031622513
2300,98.12973076139411
2301,98.77091972323065
2302,98.62054656240257
2303,98.52751142958861
2304,98.17764600377141
2305,98.84678354037305
2306,98.24241492919256
2307,98.28027239136628
2308,98.53407252159396
2309,98.19543373098625
2310,98.80723896765925
2311,98.66399115644897
