year,rsut
2015,98.66136049325922
2016,98.648480102915
2017,99.02433281780924
2018,98.48176247048981
2019,98.74926762054577
2020,98.12277549013237
2021,98.31374044367574
2022,98.14838076411642
2023,98.5215940749022
2024,98.54635383311438
2025,98.13430697115308
2026,98.15930596310386
2027,98.28933496777438
2028,98.3574864998827
2029,98.22124050933206
2030,98.32634156676997
2031,98.03093597212707
2032,98.21633591457218
2033,98.30385237803138
2034,98.08599392083326
2035,98.62166555192381
2036,97.74599677359
2037,98.02976913070212
2038,97.40786893667371
2039,98.13022151911107
2040,97.31368248373856
2041,97.73673002598655
2042,98.05667562879198
2043,97.52190717632199
2044,97.46885581741435
2045,97.45516940415445
2046,97.56270128345912
2047,97.6347165747593
2048,97.45551970596394
2049,97.47620618839734
2050,96.96975452615922
2051,97.63019329564864
2052,97.47575487149737
2053,97.01974684343762
2054,97.34977480272777
2055,96.60277080560292
2056,97.32220696814007
2057,96.92600746174253
2058,97.00014308663465
2059,96.83473387527543
2060,96.8137430226501
2061,97.22827626934888
2062,96.78717846077079
2063,96.89152216526685
2064,96.48437748605238
2065,96.7378289603043
2066,96.97846257739188
2067,96.82935084352621
2068,96.74470710393436
2069,96.40759183540399
2070,96.849203640004
2071,96.81499607122802
2072,96.36713416964461
2073,96.61724578203031
2074,96.51228558408391
2075,96.38498871685576
2076,96.37664949326752
2077,96.84204946387226
2078,96.08894200273022
2079,96.81671061357653
2080,95.93617878939403
2081,96.29121563492279
2082,96.28757877535135
2083,96.28099435218247
2084,96.26186320795077
2085,96.39831391120472
2086,96.17683004739693
2087,96.44579768657694
2088,95.8066636574991
2089,96.54890335000522
2090,96.08219693654861
2091,96.0621084032125
2092,96.314117664305
2093,95.67766482930597
2094,96.17574725514493
2095,95.85139633406146
2096,96.04872208776358
2097,96.094877879483
2098,95.93899910195744
2099,95.5416529046803
2100,95.57983432212889
