year,rsut
1850,103.84581131608519
1851,103.49002229873449
1852,103.65524584626499
1853,103.64447429082165
1854,103.68428541209599
1855,104.03786995247617
1856,103.35580866565442
1857,103.76724489812982
1858,103.58086796590726
1859,103.52221788380244
1860,103.14707823452883
1861,103.73309248832808
1862,103.76601957556319
1863,103.71126888745454
1864,103.38794024741813
1865,103.31732229990503
1866,103.39027668156037
1867,103.28911159985687
1868,102.91635213355494
1869,103.33722063874545
1870,103.07405328619971
1871,103.39584296239566
1872,103.40838643949324
1873,103.28810966178162
1874,103.19197803654082
1875,103.39423240766132
1876,103.33441529992508
1877,103.21002404199888
1878,103.156616419962
1879,103.28062100345142
1880,103.14652431958343
1881,103.1345641044721
1882,103.47020021203444
1883,103.5222301744435
1884,103.33370842084493
1885,102.95399355953687
1886,102.9758006474743
1887,103.53155586556213
1888,103.04922884588372
1889,103.16362791714603
1890,102.86327065245746
1891,103.24691789182896
1892,102.88100671637547
1893,103.22836153213294
1894,102.79600660768274
1895,102.9545865411628
1896,102.87106557349637
1897,102.78752338984242
1898,102.94458471846906
1899,102.4143068496495
1900,102.79178065469821
1901,102.95421397588024
1902,102.90858925597308
1903,103.0017081691794
1904,102.66563231585776
1905,102.60022338449139
1906,102.3774944775725
1907,102.73311192760728
1908,102.4137249463225
1909,102.77784043403521
1910,102.35568483953605
1911,102.77079668436963
1912,102.7045969714857
1913,102.1788540565804
1914,102.31398304978461
1915,102.06236557633909
1916,102.19141592783471
1917,102.09934207445956
1918,102.03675192218937
1919,102.32197420303135
1920,102.21983745000134
1921,102.05050749060226
1922,102.11207195961312
1923,102.08643738211018
1924,102.01318432533576
1925,102.06531781758346
1926,101.98963809078685
1927,102.08289514829035
1928,101.95855815312633
1929,102.0081996551932
1930,102.08732521370666
1931,102.35904695693762
1932,102.0536702613308
1933,101.97812247080346
1934,101.84563903808592
1935,102.1882316902892
1936,101.78655054797863
1937,101.7165271288728
1938,102.10182756397822
1939,102.28166604238014
1940,101.87448111756207
1941,101.60669415617642
1942,101.56987440553429
1943,101.79992558727527
1944,101.88627415487211
1945,101.69628477749758
1946,101.75211748097043
1947,101.91012993381449
1948,101.66326987906677
1949,101.56656663450475
1950,101.42019260354238
1951,101.61613562596989
1952,101.76421015491225
1953,101.78298818509873
1954,101.2466883829195
1955,101.27471363642444
1956,101.62179168283124
1957,101.7589218348673
1958,101.55322388949457
1959,101.58786351452133
1960,101.51029581566378
1961,101.72043875080266
1962,100.9699975836767
1963,101.47093539303297
1964,101.12112863619032
1965,101.2753151253478
1966,101.14075992531971
1967,101.23164992659059
1968,101.03834274501015
1969,100.84848820934559
1970,100.89298120786063
1971,100.56808266835671
1972,101.02481743799497
1973,100.7658381422905
1974,100.93115591806908
1975,100.81462895641587
1976,101.00851881471397
1977,100.72691002414653
1978,100.30626362839789
1979,100.99827186898008
1980,100.46303205098192
1981,100.44771979345033
1982,100.77560888839093
1983,100.6252471505779
1984,100.67199903514287
1985,100.59564549694322
1986,100.54115098927117
1987,100.7854652718322
1988,100.62841518872405
1989,100.6258424314734
1990,100.46648327553108
1991,100.61864617752703
1992,100.5847109441888
1993,100.10532446038233
1994,100.54742224706362
1995,100.0251821021511
1996,100.83066803396564
1997,100.64147432928215
1998,100.23911582215192
1999,100.31679585077991
2000,100.33018986950182
