year,rsut
1850,103.54278037707822
1851,103.41338362875086
1852,103.45017112954497
1853,103.65295802400338
1854,103.41250272472887
1855,103.88935502161551
1856,103.4618471116771
1857,103.08909755706004
1858,103.22034332187847
1859,103.17787581091659
1860,103.60282794530471
1861,104.29157072544922
1862,103.90174275709798
1863,103.38692190001416
1864,103.4990629153709
1865,103.81268451496186
1866,103.55913630195644
1867,103.29810929172706
1868,103.01999412744279
1869,103.48090034466414
1870,103.43610758230972
1871,103.51403598787954
1872,103.46766970018453
1873,103.95687120421567
1874,103.63136322794453
1875,103.27733828686874
1876,103.35559102363261
1877,103.2801162921149
1878,103.28619809334998
1879,103.68465392489881
1880,103.53189896572877
1881,103.15453810969622
1882,103.62413307222897
1883,105.01757250310361
1884,106.15347623699499
1885,104.4194838795029
1886,103.93250062076856
1887,103.75417757535487
1888,103.79164272617027
1889,103.64675879841994
1890,104.02142104724095
1891,103.80591694672064
1892,104.1016091439659
1893,103.66344859153985
1894,103.63196060222289
1895,103.52941095896688
1896,103.61902632815176
1897,103.67684742326207
1898,103.60699877783478
1899,103.67752439877836
1900,103.67671283038929
1901,103.80984403938021
1902,104.3753097103971
1903,105.32052524344232
1904,104.27667693812516
1905,104.00554536674058
1906,103.96789264789855
1907,103.90447343303805
1908,104.34462668912647
1909,104.05596928049243
1910,104.04236855727842
1911,103.54646529728663
1912,104.82789949138508
1913,104.56936490737033
1914,103.98839466853367
1915,104.14787590041593
1916,103.9945379838562
1917,104.05694619017464
1918,104.17092923236883
1919,103.80180306586682
1920,104.29901104429293
1921,103.59610947541111
1922,103.78275755209661
1923,104.37215785538824
1924,103.8704054492841
1925,103.68897605515949
1926,103.95730584360649
1927,103.8308577295839
1928,103.80506185193391
1929,103.87195271062227
1930,103.8188278236147
1931,103.86878432235135
1932,104.11981346884805
1933,104.1103262417368
1934,103.99824569911927
1935,103.98285233552885
1936,104.1456495265603
1937,104.08116666891537
1938,103.70008534192364
1939,103.83082335838996
1940,104.34380772881721
1941,104.06679248436588
1942,104.24609865691782
1943,104.30654196306536
1944,104.04118301576747
1945,104.09150294952696
1946,104.21016869245773
1947,104.06110197014998
1948,104.36463156072796
1949,104.08759733482438
1950,104.30477113200386
1951,104.30056949170748
1952,104.51227014435132
1953,104.38229123568242
1954,104.51434697191381
1955,104.7049516791831
1956,104.47746621051736
1957,104.62196552077387
1958,104.2263568262687
1959,104.78181923134856
1960,104.64180561830028
1961,104.96048435338918
1962,104.95421433269148
1963,106.94233246098541
1964,105.75567597368719
1965,105.53987632644416
1966,105.2109346421148
1967,105.0443596446212
1968,105.04568196757528
1969,105.19216533957933
1970,104.9376295742048
1971,105.67561637900097
1972,105.3169074072223
1973,105.30687052319192
1974,105.56494914127921
1975,105.67970946823982
1976,105.8161671888938
1977,105.71611027077263
1978,105.5796810999166
1979,105.51036521125154
1980,105.71057480124632
1981,105.44010276028712
1982,105.984040345976
1983,106.20222080055909
1984,105.59948022443591
1985,105.64596268618479
1986,105.75397065078118
1987,105.45654245973512
1988,105.30911618934898
1989,105.25942935951876
1990,104.79540867205498
1991,106.39339532602806
1992,107.78597096596165
1993,106.33738150832106
1994,105.43088722715456
1995,105.04308505596354
1996,104.9482665374165
1997,105.04478191055165
1998,105.01748719701457
1999,104.72512451238161
2000,104.99152669591051
2001,104.66836742663924
2002,104.59610814484925
2003,104.6863325748202
2004,104.98827093405998
2005,105.30277374109332
2006,105.06429000006878
2007,104.64301898424263
2008,104.76520942724031
2009,104.7940793795935
2010,104.7471604537834
2011,104.93518223709982
2012,104.61659545001217
2013,104.66748206761713
2014,104.72642313262978
