year,rsut
2015,106.76692473971434
2016,105.95727715929566
2017,105.87113581102757
2018,106.1083118265593
2019,106.07469205347321
2020,106.6276647784925
2021,105.8698346884159
2022,105.92464740478336
2023,105.53619920666712
2024,105.81567342655806
2025,105.8980437853145
2026,105.60693441292034
2027,106.29537173206924
2028,105.8928605612459
2029,105.16952768479369
2030,105.59517731194855
2031,105.41459724352994
2032,105.67210331504671
2033,107.29382167145633
2034,109.04279510060775
2035,107.2945826462626
2036,105.99375940025776
2037,105.0281243927033
2038,105.6293432229436
2039,105.68380649941065
2040,106.80463277517791
2041,106.91845854071471
2042,105.26770116190664
2043,104.81179762170376
2044,104.85579190575993
2045,104.8377359400252
2046,105.00665037353902
2047,104.94947105836727
2048,105.44773289536639
2049,104.95179777445856
2050,104.92229740131832
2051,105.78589935754259
2052,105.08929895911587
2053,108.2505815758224
2054,105.82048762931356
2055,104.80171990511602
2056,105.45941783521393
2057,104.9724387722895
2058,104.36193154447678
2059,104.71646566594349
2060,105.04419265186297
2061,104.04671321625597
2062,105.26125717759541
2063,104.8482672024173
2064,104.04206510922583
2065,105.196891649979
2066,104.04222410346298
2067,104.03602211676822
2068,104.14378329879709
2069,104.63946885992551
2070,103.86125346764908
2071,104.14971428608078
2072,104.7097707052773
2073,103.97362748888828
2074,104.12853086671176
2075,104.52976430001577
2076,103.7008445908887
2077,103.63299100772667
2078,103.99899727245659
2079,104.18946798773348
2080,104.18308637315067
2081,103.78210520705287
2082,104.64376805471372
2083,103.53151289701039
2084,103.29339961557953
2085,103.78637967583808
2086,103.03716621234057
2087,103.7658970148722
2088,103.73304782250491
2089,103.58356645018567
2090,103.05596030364937
2091,103.52560858129226
2092,103.01820451874804
2093,103.88224902976825
2094,103.13943186272957
2095,103.53202074592396
2096,103.25057877947125
2097,102.90494867544633
2098,103.4664505669253
2099,102.84459207458235
2100,102.87530673441188
