year,rsut
1850,99.56276972522474
1851,98.21774885621788
1852,98.65917862147502
1853,98.53803926232744
1854,99.80544956155018
1855,98.70361357388431
1856,97.68095316429661
1857,99.40021590141401
1858,98.0895366929982
1859,97.40908934710775
1860,99.2207808194095
1861,97.84130146601427
1862,99.06685005083476
1863,99.43803763193627
1864,98.9898793259712
1865,98.19137079944349
1866,98.65382483495425
1867,97.81519881993124
1868,97.8127843987452
1869,98.63919780156384
1870,98.41456865284542
1871,97.9354031497485
1872,98.35362070162002
1873,97.89556117645682
1874,98.44931120153976
1875,98.04630361060575
1876,98.38314106562368
1877,98.71689434312793
1878,98.36190152102954
1879,98.58695473866919
1880,99.11139114588907
1881,98.42988074315736
1882,98.20001423456895
1883,99.13585305409887
1884,100.54721834365637
1885,99.39457364017017
1886,99.62219309349581
1887,98.99462761029805
1888,98.9912741047062
1889,99.02131109368311
1890,98.24712133538235
1891,98.78818551677546
1892,98.87217674777932
1893,98.29917966241706
1894,98.69407248301049
1895,98.48210587174923
1896,98.7711709427507
1897,98.79370021036226
1898,99.09701985398384
1899,98.7241025323737
1900,98.94299866140706
1901,98.59108792657722
1902,98.83787070496442
1903,100.15613700135114
1904,99.1900114294601
1905,98.94560528062793
1906,99.01099429195874
1907,99.04783429707565
1908,98.8097060530153
1909,99.874179474295
1910,98.65429672868284
1911,98.65098425460188
1912,99.75900887267233
1913,99.78202447760597
1914,99.56569930821247
1915,99.27851244782748
1916,99.12080157554313
1917,99.3938123311082
1918,98.26174889133401
1919,99.26963314944751
1920,98.74052065496576
1921,98.07345721101109
1922,98.5255441953058
1923,98.98839374699003
1924,99.36417662738121
1925,99.84456603167808
1926,98.82938399641482
1927,98.95258780701519
1928,99.24904875036786
1929,99.28809423577295
1930,99.20935537259874
1931,99.41208853525657
1932,99.19227071265651
1933,98.83699365903253
1934,99.72068765718642
1935,98.65179424547169
1936,99.12955249107046
1937,100.1024821242241
1938,99.38635807821196
1939,98.69595867836313
1940,99.44169263447802
1941,99.42254178817956
1942,99.09042235073977
1943,98.94862994886425
1944,100.04904868766053
1945,98.91249972826814
1946,98.88776719602818
1947,99.07282938499972
1948,98.94510412346825
1949,99.02537745645601
1950,99.12374106629252
1951,99.30930050366545
1952,101.01436711141507
1953,99.08819753568464
1954,98.96416396049604
1955,99.45430435807737
1956,99.61430143591475
1957,100.1915841507585
1958,99.30530884625159
1959,99.59836509391052
1960,100.57547521721827
1961,99.73440861114084
1962,99.31679833817154
1963,102.01571947907748
1964,101.19087486789651
1965,100.43780235395039
1966,100.466024759371
1967,100.26380161651194
1968,100.04076728298239
1969,100.2662620648946
1970,98.90266836506048
1971,100.23892199372592
1972,100.61562554346372
1973,99.98669525564534
1974,99.96150723810064
1975,101.98398686239163
1976,100.67050528330346
1977,100.21015539299952
1978,101.18769004508239
1979,100.4374096387053
1980,99.73561064837729
1981,101.01869473392016
1982,101.64293923573949
1983,101.03559574492989
1984,101.00982624210724
1985,99.89039887728758
1986,100.08833634886024
1987,100.32853895213506
1988,101.55049283798427
1989,99.86856457435921
1990,99.81700552326359
1991,102.67878378254095
1992,101.68769633672007
1993,100.43951246705774
1994,101.2098269318881
1995,100.07794916858411
1996,99.74300075165213
1997,100.91595333569671
1998,99.85379065944724
1999,99.31081603585856
2000,100.03869900638108
2001,100.1429864543758
2002,99.30611181389796
2003,99.69044229167781
2004,99.49568953840699
2005,98.47030673092358
2006,99.54289933296097
2007,100.314317677119
2008,99.67627316827644
2009,99.10114382391107
2010,99.27366123983306
2011,98.3259596942222
2012,99.35076178981834
2013,99.12245266012948
2014,100.63503384524829
