year,rsut
1850,100.43099988127408
1851,101.11536879866091
1852,100.02317799607367
1853,101.06256751491598
1854,101.30849741060442
1855,100.09579150056186
1856,100.27602850509015
1857,100.49976453389206
1858,100.46452538477232
1859,99.84990259457942
1860,100.77754723535824
1861,100.08642653373823
1862,102.40399688302655
1863,100.1532902129709
1864,100.12293103361782
1865,99.85871582031251
1866,100.40308344592785
1867,100.40240177520333
1868,101.05639341171472
1869,100.02207388681909
1870,100.57011321603434
1871,100.66369390618313
1872,100.17120334154939
1873,100.58295724947159
1874,99.86230594164704
1875,101.15720014180222
1876,100.0512976868512
1877,99.89937921811456
1878,99.43933565322666
1879,100.1642648984308
1880,100.39662751498285
1881,100.0636653325329
1882,100.26026536079301
1883,101.41313923874945
1884,102.02967255474769
1885,100.84766377488228
1886,100.63208333890731
1887,100.55779320703793
1888,101.40387859605762
1889,100.76624197763938
1890,100.32833952185224
1891,100.3813200023076
1892,100.10706312623745
1893,100.70351037848484
1894,100.57982675212702
1895,100.60201942757384
1896,99.90548152139743
1897,99.25152243000188
1898,99.52386052379869
1899,100.08960184593724
1900,100.72703606592466
1901,100.62733768828926
1902,101.33547509598405
1903,100.74662450502997
1904,101.09734668470406
1905,100.0909987358198
1906,100.3879710367281
1907,102.14107107920191
1908,100.81783706456014
1909,100.35743888959492
1910,100.37871582867348
1911,100.01039368093831
1912,101.37071909447239
1913,101.48573859227847
1914,100.69693588883908
1915,99.98932342529297
1916,100.81392895424202
1917,100.46484901741759
1918,100.51296290567475
1919,99.73646888210348
1920,100.08645322616783
1921,100.33564120776035
1922,100.59512895557978
1923,100.08055965475839
1924,101.31168681105521
1925,100.73644860672624
1926,99.76227193335966
1927,99.66452914721344
1928,100.49520943001527
1929,101.15576255484804
1930,101.14807398547865
1931,100.66291614689239
1932,100.46149317075128
1933,100.70002673423454
1934,100.47898789497269
1935,99.77435275561189
1936,100.6984254392859
1937,100.944602151113
1938,100.6578423905046
1939,100.60913769447639
1940,100.82374516317289
1941,100.54087662370237
1942,100.6662111047196
1943,100.64670830295509
1944,101.02818264895923
1945,101.32206207693439
1946,100.8644571173681
1947,101.75075198656893
1948,100.13183940730683
1949,100.30312838619703
1950,99.87542820760646
1951,100.13226972606084
1952,100.29656647982662
1953,100.72382990170829
1954,100.46149501016696
1955,100.55376756223914
1956,101.6091485219459
1957,101.69964110492026
1958,102.44829446452938
1959,101.94936030139662
1960,100.97414688737425
1961,101.08918183209146
1962,100.68743158627862
1963,101.97818998571944
1964,102.05159121996738
1965,102.23580029631314
1966,102.11420022624812
1967,101.44783720251631
1968,101.26777358381716
1969,101.7616937924738
1970,101.22312523828793
1971,101.09621991719284
1972,101.15082541687849
1973,101.71930953770467
1974,101.94264737481942
1975,101.88614652450771
1976,101.29834331355681
1977,101.3215103149414
1978,101.33085481826572
1979,102.20574041915266
1980,101.15196240568812
1981,101.21480528949058
1982,103.41996474592653
1983,102.44721393323924
1984,102.19889258815817
1985,102.0950899725091
1986,101.76722809255939
1987,100.65231034788367
1988,101.02215500923052
1989,101.82930749344499
1990,101.09495519350651
1991,102.60180110147553
1992,102.77367125210696
1993,101.89783036741491
1994,101.0458564444764
1995,102.0027357336593
1996,101.01943242321275
1997,100.86076910985659
1998,100.82775586271939
1999,100.8503188250816
2000,100.34834343897153
2001,100.38499268832271
2002,101.00370399788635
2003,100.3913292244689
2004,101.25908771671664
2005,101.36024339231723
2006,100.5694282009177
2007,100.93598701790589
2008,100.84038119381421
2009,100.56919979983815
2010,100.32198910647878
2011,99.89506608100787
2012,99.92378690536708
2013,100.53526258076707
2014,100.13646231873395
