year,rsut
1850,97.28168502180543
1851,97.48908622428162
1852,97.28147691700558
1853,97.22880372347896
1854,97.18101066693869
1855,97.04521074686966
1856,97.19897090964122
1857,97.4328963606325
1858,97.48775753909595
1859,97.14795425624064
1860,96.97229440767471
1861,97.25471168413554
1862,97.11039844669706
1863,96.89332588927385
1864,97.11950965776836
1865,97.46562671400095
1866,97.16948106321568
1867,97.32686704870773
1868,97.31450625902987
1869,97.34991994361357
1870,97.41755214325369
1871,97.48481154768433
1872,97.21848832221882
1873,97.42059972057604
1874,97.25035304239351
1875,97.27747411858546
1876,97.14513056506848
1877,97.33803267805541
1878,97.40742919085777
1879,97.37841000491625
1880,97.67043262638457
1881,97.57244873046875
1882,97.55422875391292
1883,97.48134117649026
1884,97.56057262681932
1885,97.85074145173373
1886,97.2667931752662
1887,97.3459758810801
1888,97.83501950616706
1889,97.57021724753183
1890,97.46636011829113
1891,97.21543002193921
1892,97.88090926914998
1893,97.57951271370663
1894,97.8340307784407
1895,97.50297126247459
1896,97.90191472719792
1897,97.61029242946677
1898,97.40279223298373
1899,97.75178732676048
1900,97.96215205780447
1901,97.5028848099382
1902,97.52470659229853
1903,97.50765709027853
1904,97.82171509625161
1905,97.98857049811377
1906,97.81124547670966
1907,97.7279028905581
1908,97.66149891892522
1909,97.49877549262897
1910,97.71140159711445
1911,97.41152832867348
1912,97.49016086108062
1913,97.65615652424015
1914,97.49063614100625
1915,97.68727538226403
1916,97.43417218352018
1917,97.76221495327884
1918,97.7636992990154
1919,97.55218777591236
1920,97.50487344820206
1921,97.40918349174603
1922,97.68226266103248
1923,97.66360624130458
1924,97.55625386695338
1925,97.46076369612186
1926,97.61441610675966
1927,97.61895574282293
1928,97.23295913069214
1929,96.97335039948764
1930,96.99026890584867
1931,97.26393562212384
1932,97.17672702319001
1933,97.70079609074003
1934,97.79426217275123
1935,97.23861976519021
1936,97.89100833004467
1937,97.65839036915399
1938,97.61438579820606
1939,97.50674733201117
1940,97.15904528474157
1941,97.30264100375241
1942,97.70829430149027
1943,97.69327467826947
1944,97.13989866073818
1945,97.4198823066607
1946,97.61736504541683
1947,97.69314895002809
1948,97.2072090253438
1949,97.41877784206443
1950,97.83144700559853
1951,97.39425962265223
1952,97.58133193760702
1953,97.10704013354159
1954,97.48444872294387
1955,97.3296591771792
1956,97.57611656711525
1957,97.31461043684449
1958,97.41612688874545
1959,97.44271480612558
1960,97.00616101826706
1961,97.36908981114217
1962,97.16658040921982
1963,97.33969525898972
1964,97.2847473980629
1965,96.92987660447211
1966,97.35819461770254
1967,97.36282204405902
1968,97.38883230130965
1969,97.33479685326145
1970,97.11644893280447
1971,97.3091693198844
1972,97.56650516039704
1973,97.51426180486808
1974,96.8287977662805
1975,97.52066424644158
1976,97.04426748197372
1977,97.05677323014767
1978,96.66552778270146
1979,97.00900141049738
1980,97.3931100505672
1981,97.3407930975091
1982,97.36708888223725
1983,97.1971437219071
1984,96.92941681326252
1985,97.00057644778735
1986,97.36981138464523
1987,97.44210855144343
1988,97.24454268364057
1989,97.28848247789355
1990,97.25699985451894
1991,97.37139273865583
1992,97.5642996801089
1993,97.26153806921553
1994,97.42936087830427
1995,97.12314074790639
1996,97.15039723017446
1997,96.95092583225198
1998,97.23961645675031
1999,97.07844662601
2000,96.73363354826628
2001,97.00567455553029
2002,96.96732439015008
2003,97.14954181827912
2004,97.12573181570393
2005,97.22220139176878
2006,97.02086681209198
2007,97.00977076700288
2008,97.21302586385649
2009,97.59648859729505
2010,97.02748038932069
2011,97.22922352830025
2012,97.19490120247619
2013,97.14559321991385
2014,97.37443701339095
2015,97.30926831389125
2016,97.39515907601134
2017,97.68320362665882
2018,97.12903492548695
2019,97.45690075599984
2020,97.37873512163553
2021,97.55256732261343
2022,97.09689590245077
2023,97.33946186222443
2024,97.6447576444443
2025,97.52198388086607
2026,97.01780109144238
2027,97.53438691439692
2028,97.44292928617294
2029,97.63924869903144
2030,97.70407604060762
2031,97.23112903751739
2032,97.31314818499837
2033,97.49404263431079
2034,97.25427392410904
2035,97.45325219141296
2036,97.32528615455107
2037,97.29666024822077
2038,97.08725958001124
2039,97.03368133126874
2040,97.1677714308647
2041,97.17470924690977
2042,97.23563290948739
2043,97.27767532557657
2044,96.99100544550649
2045,96.83089311155553
2046,97.19269793784781
2047,96.99333757374384
2048,96.79717931878078
2049,96.81739811309396
2050,96.94435493782774
2051,97.05511564489912
2052,96.92864089338747
2053,96.9794406002515
2054,97.0286375698978
2055,97.14212581686776
2056,96.96701670607476
2057,96.85511602114323
2058,97.27634597151247
2059,96.98154048135837
2060,97.16454921356619
2061,97.05963527731699
2062,97.47131420814826
2063,97.27683786888645
2064,97.47376109084037
2065,97.21563572295724
2066,97.33441906236624
2067,97.47495539417005
2068,97.54735153407266
2069,97.59318032460669
2070,97.58989121946568
2071,97.77939348612745
2072,97.32255767404217
2073,97.19524745157321
2074,97.40826140103275
2075,97.69525386862558
2076,97.68494979649374
2077,97.84171941051744
2078,97.57939582720195
2079,97.47933974592654
2080,97.38137564463158
2081,97.54371124685626
2082,97.45194171226186
2083,97.60258523601372
2084,97.50303723060921
2085,97.688674425099
2086,97.47783884544896
2087,97.68329363261184
2088,97.47577585716772
2089,97.46252775845463
2090,97.6074777472509
2091,97.74354373461578
2092,97.7257417234656
2093,97.66089734639206
2094,97.36101849699673
2095,97.85716772210107
2096,97.69702344920537
2097,97.47696997237533
2098,97.63328951482904
2099,97.52399969231591
2100,97.77755093509202
2101,97.70954938914679
2102,97.38880009063303
2103,97.53571307038608
2104,97.89388354575797
2105,97.80519212696649
2106,97.5220432229238
2107,97.85083622344551
2108,97.44376927205961
2109,97.45321256036627
2110,97.45649727599259
2111,97.28394796293074
2112,97.02647748973271
2113,97.15999477856779
2114,97.23181817041686
2115,97.19797906744968
2116,96.84290079613254
2117,96.72901492184155
2118,97.27048024216744
2119,96.82320780296848
2120,97.08726047881662
2121,97.15433665236381
2122,96.90678886518086
2123,96.92654983311483
2124,97.26804615177521
2125,96.9529818600171
2126,97.12312160126149
2127,96.9563855314908
2128,97.16433883039919
2129,97.38437487458529
2130,96.89162422075664
2131,96.84873464924016
2132,96.96676552132385
2133,97.18751584405769
2134,97.07874603271486
2135,96.91721137059878
2136,97.3220078141722
2137,97.22748862488628
2138,97.10342390504603
2139,97.08337462960856
2140,96.72970666754736
2141,97.09196235970275
2142,97.45754448877621
2143,97.35294009692049
2144,97.08866777811964
2145,97.12111580208555
2146,97.08671181038633
2147,97.25601654052736
2148,97.4497516579824
2149,97.08826862491972
2150,97.14135702472844
2151,97.23627367411574
2152,97.81920082405823
2153,97.34172959001096
2154,97.1314252252448
2155,97.2657343616224
2156,97.34362228602578
2157,97.36076603719633
2158,97.35047034694723
2159,97.43954762497994
2160,97.52514909718134
2161,97.41592687319402
2162,97.38620958720168
2163,97.4082369242629
2164,97.18183871752595
2165,97.3916015625
2166,97.09538919109187
2167,97.30387928583852
2168,97.23886572432845
2169,97.59817879036682
2170,97.528047514615
2171,97.58215229609243
2172,97.6374724505699
2173,97.3858942737318
2174,97.4175740072172
2175,97.40474836793663
2176,98.06338726723031
2177,97.20355774343831
2178,97.16310280577777
2179,97.5699996948242
2180,97.5583959710108
2181,97.41552289152797
2182,97.31265131284113
2183,97.62588856318226
2184,97.42922304754387
2185,97.28678509437876
2186,96.90799428861436
2187,97.05044258849261
2188,97.2001594020896
2189,97.34341079502889
2190,96.88493501846105
2191,96.74480695332568
2192,97.0204533825182
2193,96.78805489736061
2194,96.9473296910116
2195,96.62106822810762
2196,96.70003097743205
2197,96.8444282009177
2198,97.0191717487492
2199,96.97117397360606
2200,96.77438515441058
2201,96.64932875959842
2202,96.55588585840513
2203,97.00202655530956
2204,96.71705000367884
2205,96.44538317118607
2206,96.7911850811684
2207,97.07876373709065
2208,96.68982280574431
2209,96.94116664520683
2210,96.39232115027022
2211,97.56348379474797
2212,97.02173974024106
2213,96.96712232615849
2214,96.85482265524666
2215,96.6292764951105
2216,96.92033279627971
2217,97.38094572302413
2218,97.07386633467999
2219,96.87439389163501
2220,97.08736714402289
2221,97.03699181961684
2222,97.16793865047089
2223,97.67370193690469
2224,97.26300443884443
2225,97.14966094134604
2226,96.98260855478782
2227,97.43286644922543
2228,97.42345618679099
2229,97.32888697794039
2230,97.48312804339682
2231,97.46210021972655
2232,97.5877531495813
2233,97.3039564785892
2234,97.45716515109963
2235,97.4296957773705
2236,97.61421561045188
2237,97.38780904273465
2238,97.40877486973592
2239,97.69846910450556
2240,97.48941349395334
2241,97.41097012872565
2242,97.36259667383482
2243,97.49465194075076
2244,97.12802539982209
2245,97.48391290952081
2246,97.33691617364754
2247,97.30361463990928
2248,97.20342313165534
2249,97.24494794035611
2250,97.39832780393834
2251,97.5186441499893
2252,97.15637652253452
2253,97.26977089659808
2254,97.42550822218806
2255,97.0962744934918
2256,97.17851583402448
2257,97.33145285828472
2258,97.66140598662912
2259,97.06121395581388
2260,96.99888886752191
2261,96.89578788443787
2262,97.07659801326388
2263,97.11597843954007
2264,96.71575469970702
2265,96.9153711397354
2266,96.82558520591422
2267,96.63548703128345
2268,96.78110686001712
2269,96.93585389019691
2270,96.77723911233146
2271,96.67074100024078
2272,96.54525184108785
2273,96.510472775812
2274,96.51950531005859
2275,96.53787641133347
2276,96.52728503501578
2277,96.95222761598352
2278,96.61979827880859
2279,96.54458076790586
2280,97.32313144631581
2281,96.95232437342813
2282,96.49691076409327
2283,96.84386910216449
2284,96.87920080733626
2285,96.90499342826948
2286,97.43212696232206
2287,97.06353993873071
2288,96.90591424393327
2289,96.85468624585295
2290,96.90895059663954
2291,96.96378033781704
2292,97.03402931526915
2293,97.15651790671153
2294,97.57660660417112
2295,97.20568051272876
2296,97.14485952298935
2297,97.49833468084466
2298,97.22687559781009
2299,97.29551905801851
2300,97.25270272868954
2301,97.06765297667621
2302,97.23487208118178
2303,97.45285554650712
2304,97.18158420928536
2305,97.33524564978194
2306,97.25201664754789
2307,97.43432148972603
2308,97.29889982040613
2309,97.21183425694296
2310,97.24381548737827
2311,97.32947212114725
2312,97.05052498595354
2313,97.42692285825127
2314,97.42599368160715
2315,97.11132091365447
2316,97.01109934767632
2317,97.38768212305357
2318,97.70768622829489
2319,97.61360235344874
2320,97.76644834753587
2321,97.12555527360473
2322,97.41765698994675
2323,97.66245403551076
2324,97.4131716166457
2325,97.20414437071918
2326,97.29615904925619
2327,97.48140325676904
2328,97.03557814506634
2329,97.2470015225345
2330,97.22367261076626
2331,96.65954508324192
2332,97.09770284156278
2333,96.98958437148838
2334,97.2550671721158
2335,96.81559448242187
2336,96.91499577352445
2337,97.38406217392176
2338,97.28175776233412
2339,97.5162068197172
2340,97.23897050831417
2341,96.93836504792513
2342,96.54099062566888
2343,96.71757603475493
2344,96.59002503695552
2345,96.67932089191595
2346,96.76618980512225
2347,96.72856138046474
2348,97.41118387718726
2349,97.06272938349477
