year,rsut
2015,96.08631713031092
2016,96.73013765517979
2017,96.47253856920214
2018,96.52932431991786
2019,96.2107585750214
2020,97.08116586763563
2021,95.99903777658123
2022,96.07349832613174
2023,95.81245338753477
2024,96.254401533571
2025,96.07507802884872
2026,95.95839609642553
2027,95.61085121468321
2028,95.70593792641
2029,95.46997429834653
2030,96.52234497070312
2031,95.65852608876683
2032,95.70271355615903
2033,95.21107597873636
2034,95.33343073178645
2035,95.30435523464253
2036,95.03894703486195
2037,94.84751996602097
2038,95.19845712740127
2039,95.13980790229692
2040,95.29319773634818
2041,94.64193228107608
2042,94.72259640628346
2043,95.00314770006153
2044,94.97042041935333
2045,94.29462616802894
2046,94.69977201696945
2047,94.0200182143956
2048,94.10211643584788
2049,94.57357397210109
2050,95.12191174650845
2051,94.0735198347536
2052,94.12509934934852
2053,93.94150455422597
2054,93.73294646380698
2055,93.83907288851803
2056,94.15472437192315
2057,93.592053118144
2058,93.29362611117428
2059,93.58629777464148
2060,94.28150298236167
2061,93.27345735732823
2062,93.3184801284581
2063,93.59152654360419
2064,93.41192852699594
2065,92.9398045160999
2066,92.71555869742615
2067,92.70295949439479
2068,92.94965943636959
2069,93.16878235699379
2070,93.44873395945926
2071,92.44103111371601
2072,92.56731958258642
2073,93.07666807827883
2074,92.9622389492923
2075,92.40864769922544
2076,92.32633328372485
2077,92.28982516772126
2078,91.94405185229157
2079,92.41150895210161
2080,92.92067839740074
2081,92.16220583981033
2082,92.00692211830453
2083,91.84711949596667
2084,91.91840469151327
2085,91.88220647524481
2086,91.60880076787242
2087,91.1788690645401
2088,91.16362292146027
2089,91.14189070610152
2090,92.12072432008507
2091,91.0312541177828
2092,90.50158800098993
2093,90.99014303129013
2094,90.84173094867027
2095,90.74959911189669
2096,90.71444583004467
2097,90.81983475358518
2098,90.72758130635297
2099,90.45967848268273
2100,90.56088409423829
