year,rsut
1850,97.08629656229934
1851,97.63360365776165
1852,97.41150339204971
1853,97.08619368043665
1854,96.84948007243953
1855,97.10876920517175
1856,97.28887607104157
1857,97.39670186500027
1858,97.08063373304392
1859,96.97491557500132
1860,97.24389761310734
1861,97.02077601184583
1862,97.15890695232234
1863,97.02330936797676
1864,96.86672979903548
1865,96.89583280380458
1866,96.4828285530822
1867,96.93603323322452
1868,96.71310930643996
1869,96.54872545216183
1870,96.31388510090031
1871,96.93256478505592
1872,97.12966632581737
1873,96.86926911236489
1874,96.86453098662912
1875,96.71117156564372
1876,96.28665418232957
1877,97.00150852987211
1878,96.86052609796393
1879,96.58455789644422
1880,96.69951380899506
1881,96.39031982421876
1882,96.6461836305383
1883,96.5108302495251
1884,96.32247130511557
1885,96.4798756847643
1886,96.45153831586445
1887,96.44195790748074
1888,96.72036107729559
1889,96.3068375469887
1890,96.37646929597202
1891,96.01681752662135
1892,96.10089514745425
1893,96.53100437530101
1894,96.33491455496174
1895,96.0424347341877
1896,95.59464999682284
1897,96.02745547359937
1898,96.40475557928214
1899,95.91947560767605
1900,95.98953930580451
1901,95.93862967295189
1902,95.9838986540494
1903,96.18566783748263
1904,96.82815545487077
1905,95.98717488328072
1906,95.89056768548
1907,95.89601440429689
1908,95.8189514578205
1909,96.2632280114579
1910,96.00669131344313
1911,95.61429746444914
1912,96.29830646253612
1913,95.65793057794441
1914,95.88384654423962
1915,96.37101404895522
1916,95.95433046523837
1917,95.90776607565682
1918,95.66384009792381
1919,95.45666441198898
1920,95.93962561202375
1921,95.33386050707674
1922,95.39480434051931
1923,95.83727093004201
1924,95.5393102985539
1925,95.4100855579115
1926,95.21305050784594
1927,95.36474506952992
1928,95.04302949252195
1929,95.25434614207647
1930,95.36414360150897
1931,95.09071521497752
1932,95.11383196687045
1933,95.14154324466236
1934,94.75329038019049
1935,94.92953244562018
1936,94.98206316804232
1937,94.36957527056133
1938,94.82863299226108
1939,95.13193649919064
1940,94.96256268644984
1941,94.7433072233853
1942,94.58245481726242
1943,94.41177568827588
1944,94.35199233799764
1945,94.5809215388886
1946,94.8514674774588
1947,94.3030965099596
1948,94.13313019634926
1949,93.99932025230095
1950,94.50586825854157
1951,93.88659950151836
1952,93.68851974696331
1953,94.23597476906973
1954,94.30882741849717
1955,93.81568423754548
1956,93.39134573740502
1957,94.01468380444669
1958,93.94895326797275
1959,93.3682007463011
1960,93.73202238736087
1961,93.19908696004788
1962,93.22559488374893
1963,93.52005886966235
1964,93.71764018437634
1965,93.03734824820742
1966,93.48566704318947
1967,93.36166151908978
1968,93.14781494140625
1969,92.97091982070714
1970,93.08855634715458
1971,93.32196952088239
1972,93.20638889678537
1973,92.7265359120826
1974,92.79760959572988
1975,92.62236754534997
1976,92.77830509551585
1977,92.67919677316327
1978,92.85181307857984
1979,92.92020635735499
1980,92.50279403059449
1981,92.34782240358118
1982,92.41643099850172
1983,92.69829691011611
1984,92.5962088179915
1985,92.75122643039651
1986,92.33044726228061
1987,92.30844101579223
1988,92.3468723244863
1989,92.51956348157908
1990,92.52457287932094
1991,92.20888897621468
1992,92.23775808255967
1993,92.32451025557845
1994,91.86219377909622
1995,92.0124119797798
1996,91.71070485572292
1997,91.93240839291926
1998,92.13212917798184
1999,91.80584250672224
2000,91.71415077104959
2001,91.77470893337302
2002,92.00975078425995
2003,91.5753635772287
2004,91.70944080091503
2005,91.52042570767337
2006,91.40957127401275
2007,91.53448402718323
2008,91.5315333745251
2009,91.31935288938757
2010,91.52835822954569
2011,91.60415475923722
2012,91.28321205034649
2013,91.43106957004494
2014,91.29514950268887
