year,rsut
2015,96.73666653567797
2016,96.64764276791925
2017,96.87332276644771
2018,96.47027650597977
2019,96.6751526296955
2020,97.34387645982716
2021,96.1995578295564
2022,96.39355010986327
2023,96.34470657975704
2024,96.64346052195927
2025,96.03479553640707
2026,96.00796598669601
2027,95.75385775631422
2028,96.01552554613923
2029,96.21000805162403
2030,96.32478706673399
2031,95.79901906888779
2032,96.10805034898732
2033,95.79550206432604
2034,95.59679168283121
2035,95.53449794821543
2036,95.45654106662698
2037,95.60564426787911
2038,95.39151343776757
2039,95.18322498896349
2040,96.19624500013379
2041,95.73234779671446
2042,94.83106486699351
2043,94.59444383595088
2044,94.72578246234214
2045,95.02019222729827
2046,94.76853754749035
2047,94.47793349174603
2048,94.38053760267283
2049,94.28746260551559
2050,94.84947087536119
2051,94.26952002538394
2052,94.41990185045216
2053,93.87448506812528
2054,93.72113308841234
2055,93.97405688142122
2056,93.86240177938383
2057,93.65583481462036
2058,93.96192221445581
2059,93.53490880678777
2060,94.01593017578125
2061,93.27739811727444
2062,93.57190852753102
2063,93.29972042972094
2064,93.14257739341423
2065,92.95644577235393
2066,93.823885021471
2067,93.07381583435894
2068,92.73691393708529
2069,92.87016348642844
2070,93.48084858933541
2071,93.15348429222631
2072,92.73686991652397
2073,92.61108703613282
2074,92.52319655744998
2075,92.64002131631928
2076,92.6601410539183
2077,92.69272431674068
2078,91.935687841128
2079,92.14671421834868
2080,92.8917769131595
2081,92.4411875476576
2082,91.70130935041871
2083,92.20542481304848
2084,91.64540041570793
2085,91.46401824951171
2086,91.70806217977443
2087,91.67264115843054
2088,91.70102969652986
2089,91.54500554751044
2090,91.72958796252942
2091,91.18780141334011
2092,91.26116197141882
2093,91.0940372414785
2094,90.9290787997311
2095,90.85710524467572
2096,91.00580461057899
2097,90.86182050313035
2098,90.6401338760167
2099,90.57417109241224
2100,90.82361609053939
