year,rsut
1850,98.26551580559719
1851,98.00414163249813
1852,97.61041560760916
1853,97.39213449138485
1854,97.08272717619596
1855,97.24926228980493
1856,96.7322415077523
1857,96.54533260815764
1858,96.54273830048025
1859,96.49630260728807
1860,96.0990521365649
1861,96.24641479074138
1862,96.05817645347281
1863,95.951018806353
1864,96.2265233915146
1865,95.9520319690443
1866,95.99875099495664
1867,95.91297275072908
1868,95.89427851846773
1869,95.61282384166978
1870,95.72811902189909
1871,95.75951770103141
1872,95.60870789828365
1873,95.7867538243124
1874,95.59966664771511
1875,95.81858746254281
1876,95.62231313627059
1877,95.71895384069991
1878,95.41639425199327
1879,95.29649187897984
1880,95.49093964459144
1881,95.52316102328366
1882,95.52621957439266
1883,95.40443940881178
1884,95.58520424202698
1885,95.52147047487023
1886,95.45868271083049
1887,95.44909291724636
1888,95.17614867327966
1889,95.05141944362693
1890,95.28611318509873
1891,95.4785183423186
1892,95.28256871471667
1893,95.36071913209679
1894,95.35782539681212
1895,95.23091589522689
1896,95.16976374795992
1897,95.24813305580453
1898,95.41223909560946
1899,95.3775744712516
1900,95.11315021253611
1901,95.32150910259926
1902,95.00720325626739
1903,95.1187563752475
1904,95.23520114846424
1905,95.24624778015972
1906,95.03221280868739
1907,95.13439153383855
1908,95.41513571543236
1909,95.3116154918932
1910,95.21325485020469
1911,95.163287834272
1912,95.37999643822238
1913,95.10152893066407
1914,95.05035343954007
1915,95.29136680707539
1916,95.34410598963905
1917,95.09141226990582
1918,95.30155347014127
1919,95.40271807108839
1920,95.02386125538447
1921,95.02238899126445
1922,95.32929070877701
1923,95.04448365511959
1924,95.1590265770481
1925,95.09578679751041
1926,95.36254744856323
1927,95.23902727937043
1928,95.21189748685654
1929,95.07029410584333
1930,95.04524147347229
1931,95.13073360495372
1932,94.92893091489191
1933,95.24793078278842
1934,95.35525859675994
1935,95.24304715509284
1936,95.34307882230576
1937,95.15169698636826
1938,95.13150039045777
1939,95.1349989381555
1940,95.098951888411
1941,94.9821394410852
1942,95.18955347766614
1943,95.06673408403788
1944,94.93814870755965
1945,95.2181010625134
1946,95.15219851977204
1947,95.08920171032214
1948,94.93580857368366
1949,95.0579816635341
1950,94.96459914952106
1951,95.03364978947052
1952,95.22378841034354
1953,95.10376908811804
1954,94.97262527256794
1955,94.78521613552147
1956,94.98642438078579
1957,94.94840439051798
1958,95.00723776621362
1959,94.79851030323604
1960,94.94644181761024
1961,94.82358028464121
1962,95.14147161196355
1963,95.02167759725494
1964,95.08386084151596
1965,95.1289608053965
1966,94.9859510447881
1967,94.9894712056199
1968,94.93638867939987
1969,94.94829287594311
1970,94.89166732161011
1971,95.15921706108196
1972,94.89377217750027
1973,94.53286741073818
1974,94.8929595738241
1975,94.7498035378652
1976,94.80171767979452
1977,94.98632820860979
1978,94.9343948782307
1979,94.77895777454115
1980,94.89892216512601
1981,94.80504631146992
1982,94.8870810103743
1983,94.89917357980387
1984,95.12732583659968
1985,94.9676839332058
1986,94.9166708959292
1987,94.77769842278468
1988,94.82365879424631
1989,94.8464311364579
1990,95.0537639252127
1991,94.98430712974235
1992,94.84260776467518
1993,94.80938509588373
1994,94.89972147484347
1995,94.77128534186376
1996,94.80142899604694
1997,94.748822606753
1998,94.86983922670963
1999,94.79337321242241
