year,rsut
1850,100.9300528121321
1851,100.85439833549603
1852,100.98581576412673
1853,100.91160269959333
1854,100.94412350589282
1855,100.6758476570861
1856,100.6433894327242
1857,100.44948947854238
1858,100.56492673272955
1859,100.7790273797022
1860,100.7062525082941
1861,100.7406544306507
1862,100.59552087653174
1863,100.6707493194162
1864,100.68082848117776
1865,101.03149781945632
1866,100.88860383752271
1867,100.70735051403307
1868,100.78900698309076
1869,100.66603830415907
1870,100.82211027798587
1871,100.52613023731806
1872,100.8481295441928
1873,100.55521254866092
1874,100.48095117856379
1875,100.70087248919762
1876,100.64760867602203
1877,100.79878059282694
1878,100.60371793982101
1879,100.7016669913514
1880,101.0285698877622
1881,100.56278327001284
1882,100.76636544841608
1883,100.78144389113335
1884,100.84568052945069
1885,100.75424551767844
1886,100.89332442610231
1887,100.73033861134147
1888,100.4978042602539
1889,100.69971357371709
1890,100.51804960067957
1891,100.8751519608171
1892,100.53071953760436
1893,100.73448248040185
1894,100.92095700616706
1895,100.77018085636504
1896,100.84714286490663
1897,100.7211117470101
1898,100.59633241418288
1899,100.43379947192048
1900,100.65508828359107
1901,100.6023106823229
1902,100.42736379545029
1903,100.65578719883747
1904,100.75761010156918
1905,100.57806743465059
1906,100.51883833375695
1907,100.82451044370052
1908,100.62150619715861
1909,100.87534106528922
1910,100.73044523474287
1911,100.53759092566085
1912,100.7726071710456
1913,100.82182813670536
1914,100.67261816573469
1915,101.2383950847469
1916,100.89892352378533
1917,100.80983961967571
1918,100.80862094408846
1919,100.59324094171394
1920,100.82999336556213
1921,100.51807970020867
1922,100.55689047199407
1923,100.43474819235605
1924,100.69320843840299
1925,100.75755598512413
1926,100.46735116618953
1927,100.65798753712274
1928,100.57771039988896
1929,100.4927412477258
1930,100.53571432453313
1931,100.6850231013886
1932,100.62443454690175
1933,100.82568442984802
1934,100.60107622538527
1935,100.58886116759417
1936,100.5311024077951
1937,100.55002786296687
1938,100.61057641016295
1939,100.7071361175955
1940,100.82142122869621
1941,100.83183131805836
1942,100.76113201820687
1943,100.73646068834277
1944,100.91374311055222
1945,100.73881484776327
1946,100.83079612418395
1947,100.87653733344926
1948,100.65798112007036
1949,100.76227260223807
1950,100.53919301490262
1951,100.54998919343294
1952,100.68497960338853
1953,100.53981496732527
1954,100.72952625849476
1955,100.59808723763244
1956,100.42105399353864
1957,100.7176083081389
1958,100.73211287407027
1959,100.69864853114296
1960,100.68578888357503
1961,100.80835038276567
1962,100.57797734508775
1963,100.8919457840593
1964,100.62138705318921
1965,100.54191269547972
1966,100.52263202405955
1967,100.67541869699139
1968,100.46878760350894
1969,100.56887054443358
1970,100.35834963027744
1971,100.46840172336529
1972,100.40268381197158
1973,100.52100393216904
1974,100.60331437620398
1975,100.57939697683673
1976,100.58138247973298
1977,100.70093630437984
1978,100.6864492128973
1979,100.31287795811483
1980,100.2039335067958
1981,100.1645875486609
1982,100.11684229602552
1983,100.25017430553699
1984,100.07589633889393
1985,100.09116957154991
1986,99.86849488558835
1987,99.86841913510673
1988,99.92727349686294
1989,100.01205005384472
1990,99.69305336312073
1991,100.09098941332672
1992,99.9896729769772
1993,100.02142505384471
1994,99.9999933739231
1995,100.24792342512573
1996,100.24686237491974
1997,100.21446639805623
1998,100.34947035279991
1999,100.0603770007826
2000,100.38974247762602
2001,100.46932711666578
2002,100.48928170400123
2003,100.41544935670616
2004,100.47727138571543
2005,100.56027411891989
2006,100.4696110764595
2007,100.45820835061271
2008,100.50201029320284
2009,100.63041367204221
2010,100.9079024223432
2011,100.58073947854238
2012,100.81618909443895
2013,101.05615579265438
2014,100.81943570489753
2015,100.48402383882706
2016,100.65942455971077
2017,100.65745569516534
2018,100.7292358607462
2019,100.65825324907695
2020,100.9955042381809
2021,100.56981936938142
2022,100.53539474696329
2023,100.87693029952376
2024,100.830705888304
2025,100.6045915368485
2026,100.58186235819777
2027,100.40500906330263
2028,100.8238537723071
2029,100.99078603248073
2030,100.81218420577373
2031,100.76698928205936
2032,100.89517629963078
2033,100.7454834820473
2034,100.59617779875452
2035,100.81533867822934
2036,100.84460965509284
2037,100.63828070653626
2038,100.65221214816994
2039,100.62225607258
2040,100.6934599575931
2041,100.13887115896566
2042,100.24019608171018
2043,100.05038688346131
2044,99.93210039530713
2045,100.0355481082446
2046,99.81660147889019
2047,100.0049857779725
2048,99.86959669557336
2049,99.8947604871776
2050,100.00498195282398
2051,99.82017663407
2052,99.90461753949727
2053,99.90962179523623
2054,99.86321294079087
2055,100.03473241100572
2056,100.07966509257277
2057,100.26589796510461
2058,100.01557546119167
2059,100.02825150163206
2060,100.15193144915857
2061,100.3091087027772
2062,100.30240687540132
2063,100.35453487030446
2064,100.32841357923533
2065,100.10353023581308
2066,100.46092075713692
2067,100.44904210338854
2068,100.37747763019718
2069,100.58213304493525
2070,100.38180512728756
2071,100.58092820677038
2072,100.71025656086124
2073,100.59927982696115
2074,100.66557972529162
2075,100.78549679272795
2076,100.63862191814265
2077,100.72799034641214
2078,100.38743373923107
2079,100.46220581890785
2080,100.45874915972146
2081,100.3887057578727
2082,100.54081297573978
2083,100.58102563309342
2084,100.67742088004334
2085,100.72130338067876
2086,100.65944094723217
2087,100.48720134578339
2088,100.6451541639354
2089,100.66247813603648
2090,100.71949174436804
2091,100.59831066392873
2092,100.62728737609027
2093,100.42765293905178
2094,100.47485807235927
2095,100.37740346830185
2096,100.58831718131287
2097,100.31458600187955
2098,100.53106250501659
2099,100.42883725101001
2100,100.41784858181052
2101,100.33555116000241
2102,100.41006900317049
2103,100.20772498143862
2104,100.1981092061082
2105,100.49063173058913
2106,100.45098899945822
2107,100.4100585519451
2108,100.25112189724021
2109,100.05296068583448
2110,100.35085762755511
2111,100.06363167958717
2112,99.80257480569082
2113,99.98093880431291
2114,100.01498820683729
2115,99.81837858435225
2116,99.7657903383856
2117,99.69879796276354
2118,99.82675605669412
2119,99.73420569014876
2120,99.70178684600411
2121,99.53717749608705
2122,99.67861522517791
2123,99.65414140257118
2124,99.79092720763325
2125,99.7602012947814
2126,99.7441268711874
2127,100.12929449212061
2128,100.10709525330425
2129,100.29823593766723
2130,100.137841796875
2131,100.16533556376417
2132,100.52580969823548
2133,100.44937714877193
2134,100.35040839208315
2135,100.75310777638057
2136,100.50261213746789
2137,100.52265461960884
2138,100.52059965786867
2139,100.3804496033551
2140,100.77800430924927
2141,100.77232087017738
2142,100.72711702111648
2143,100.80411997755913
2144,100.69913940429687
2145,100.61828847388699
2146,100.33108909293395
2147,100.48767133738897
2148,100.59457911661228
2149,100.47322801563837
