year,rsut
2015,100.46103135790041
2016,100.43251624275642
2017,100.33266320045857
2018,100.29023968172693
2019,100.22133233061183
2020,100.19452862831913
2021,100.27950708064472
2022,99.9442800403942
2023,99.9801521936318
2024,99.86925289224772
2025,99.57766011188302
2026,99.69708875287434
2027,99.79978773383657
2028,99.51820146504154
2029,99.45107638709517
2030,99.33822650744396
2031,99.42938658045661
2032,99.34187946687395
2033,99.4865238708177
2034,99.66092324678857
2035,99.28145348205533
2036,99.17771813711565
2037,99.21589450320077
2038,99.11947738165179
2039,99.14497969940017
2040,99.33723036472409
2041,99.05511780979855
2042,99.28627133806782
2043,99.22433940183613
2044,99.0691358568795
2045,99.18584662827189
2046,98.89251023977117
2047,98.92502565426277
2048,98.8153623206788
2049,98.67239162590562
2050,98.88370633414206
2051,98.56952791040098
2052,98.5697893420615
2053,98.48755616291379
2054,98.44793618493651
2055,98.12678502123278
2056,98.33967381548841
2057,98.23744473527533
2058,98.07941501594406
2059,98.13518050134343
2060,98.05230042156008
2061,97.80592771400794
2062,97.90966292191776
2063,97.65160758854975
2064,97.7438648459259
2065,97.95214516504771
2066,97.5451333603206
2067,97.60958820893777
2068,97.41274777600586
2069,97.13896296927133
2070,97.55225055863306
2071,97.32739453650312
2072,97.43147017831116
2073,97.13602450761279
2074,97.0777341980444
2075,97.2194755628097
2076,97.24028154856254
2077,97.04579671284867
2078,97.1429884817065
2079,96.93778626771376
2080,96.81205470881862
2081,96.78681227589075
2082,96.85978119567528
2083,96.82084503676623
2084,96.72791238322675
2085,96.20813140096426
2086,96.35885721529701
2087,96.16043718438371
2088,96.47933261551972
2089,96.23539053454344
2090,96.12454930825403
2091,96.34179728541255
2092,95.95854127500431
2093,96.19528213360722
2094,95.94341743430624
2095,95.93855203460328
2096,95.86924623712545
2097,95.74935512497254
2098,95.57152258627903
2099,95.62904027330926
2100,95.3807258240406
