year,rsut
1850,100.73643297169305
1851,100.55759003521645
1852,100.93603916952054
1853,100.8210966763431
1854,100.53568934610445
1855,100.3660713718362
1856,100.37011779367108
1857,100.34959660360258
1858,100.39335001070205
1859,100.38563456078099
1860,100.4535010141869
1861,100.34613254494863
1862,100.30825009280689
1863,100.34512763872537
1864,100.39936903862103
1865,100.40550545470354
1866,100.27896672079007
1867,100.24008352201278
1868,100.54602638140118
1869,100.52430547426825
1870,100.04339365501926
1871,100.07491827141749
1872,100.18119118050352
1873,100.2029369406504
1874,100.39232675212703
1875,100.25972250324406
1876,100.01157191028335
1877,100.20152188653815
1878,100.1479316397889
1879,99.90314801359831
1880,99.67240402012654
1881,100.2231569682082
1882,99.80606444894451
1883,99.93526678215966
1884,100.00964798600707
1885,99.84257294119222
1886,99.85981583268673
1887,99.78575447814106
1888,99.6909846266655
1889,99.82100328419307
1890,99.93613314693921
1891,99.49555335894021
1892,99.80668608783043
1893,99.63493744314533
1894,99.75648417015597
1895,99.99577423513753
1896,99.37354671530528
1897,99.6960203405929
1898,99.62592683556963
1899,99.58889402624679
1900,99.12195024882278
1901,99.36734606599155
1902,99.30322606334948
1903,99.41780420590753
1904,99.29205092338665
1905,99.18335038276567
1906,99.36103110117455
1907,99.2850857251311
1908,99.22739650778576
1909,99.57808108395093
1910,99.42505486893327
1911,99.19839667751364
1912,99.06766432670696
1913,99.08730778106272
1914,99.15800915025685
1915,99.08289121862961
1916,99.3352308508468
1917,98.76729905637977
1918,98.95985627892897
1919,98.85424833950931
1920,98.79244182011854
1921,98.31360346127865
1922,98.904028529337
1923,98.88854978378504
1924,98.79737364886557
1925,98.47133124364565
1926,98.62998441931319
1927,98.42501576044788
1928,98.61037254856058
1929,98.60282467358732
1930,98.44940400842117
1931,98.53127694325903
1932,98.3646592231646
1933,98.15571491816272
1934,98.19539855538983
1935,98.1699652684878
1936,98.4065413174564
1937,98.22517545517178
1938,98.07440120749277
1939,98.2339545263003
1940,98.10703296400098
1941,97.90314763735417
1942,98.04831352756447
1943,98.07871998826118
1944,98.09671988291282
1945,97.87839301122378
1946,98.02373469104504
1947,97.54570207987744
1948,97.8602267748689
1949,97.64873983304793
1950,97.49172616200903
1951,97.52125066469793
1952,97.55399286975599
1953,97.36296190235714
1954,97.52639939817664
1955,97.28733526778548
1956,97.33756692964737
1957,97.3042305097188
1958,97.21375099077616
1959,96.82017243267738
1960,96.65070397363951
1961,96.82055406962357
1962,96.69828599903681
1963,97.06839691580159
1964,96.37414302042086
1965,96.67200267216931
1966,96.70481258026543
1967,96.71739272026166
1968,96.78885389354132
1969,96.66918232538929
1970,96.217055250194
1971,96.80451472034193
1972,96.49303375662188
1973,96.37763657243283
1974,96.46740605602524
1975,96.45668957853972
1976,96.28653014718668
1977,96.1725979112599
1978,96.09266907156331
1979,96.16208914142767
1980,95.84285067205562
1981,95.69515853254762
1982,95.63442190509953
1983,95.68140026771859
1984,95.52045858722843
1985,95.86059990451761
1986,95.39762447827484
1987,95.5901079778802
1988,95.50276999277611
1989,95.44617261494673
1990,95.63882784908763
1991,95.519859878331
1992,95.3219159269986
1993,95.32108666406918
1994,94.96429656564372
1995,95.25959487287963
1996,95.22953374157214
1997,95.1082310506742
1998,94.75710990592223
1999,95.31575279758401
