year,rsut
1850,100.73643297169305
1851,100.69940620317851
1852,100.78042861729452
1853,100.8264392382478
1854,100.71750137120078
1855,101.07635828305595
1856,101.06233704449377
1857,100.65730843739968
1858,100.71375197319135
1859,101.15183897671635
1860,100.6701508195433
1861,100.85362335623125
1862,100.58792969168047
1863,100.67591607080746
1864,100.56805685382999
1865,100.64548285497378
1866,100.92466048149213
1867,100.60019056764366
1868,100.81580028795216
1869,100.75333026206658
1870,100.98349571750589
1871,100.62515277601267
1872,100.86786185486677
1873,100.72243060804392
1874,100.81770851448789
1875,100.90134461285317
1876,100.93331514123366
1877,100.60233952770494
1878,101.0466862299671
1879,101.04957580566403
1880,100.93237154189855
1881,101.00452188988254
1882,100.89089154805222
1883,100.97108035152905
1884,101.03938211937472
1885,100.88092061918076
1886,101.29505349773248
1887,101.02777668156037
1888,100.96800047992025
1889,100.90628352753103
1890,100.89104352977179
1891,101.23396416233011
1892,101.08437267982796
1893,100.94479798617428
1894,100.99918574503023
1895,101.06953706088132
1896,100.94692493595487
1897,101.12004304650712
1898,101.22377630782455
1899,101.08251687663876
1900,101.14085028661441
1901,101.08239946757278
1902,101.06119687851161
1903,101.06406070238923
1904,101.04170829041364
1905,101.05411090589547
1906,100.93195506056695
1907,100.79726631478088
1908,101.21507582991092
1909,101.08126573954543
1910,100.93233178543716
1911,101.14827713639768
1912,100.96603694549978
1913,100.98085492277798
1914,100.98482254237342
1915,100.93118553684181
1916,100.96420582810494
1917,101.03016332338933
1918,100.74322277748419
1919,100.8328353881836
1920,100.94137554429982
1921,101.09872304837997
1922,101.00381024504361
1923,101.2567490251097
1924,101.27342228301583
1925,100.98961925767871
1926,101.06304342191511
1927,100.87738614017016
1928,100.90340950325744
1929,101.00290985107421
1930,101.09920334489377
1931,101.23915894390784
1932,101.02534428426665
1933,100.91750030517578
1934,100.96650323737158
1935,100.90938402985871
1936,101.1997234187714
1937,101.31873687326092
1938,100.98006748565254
1939,100.9771361259565
1940,101.20694525731751
1941,101.04655565235713
1942,101.29009211292004
1943,100.99221851923696
1944,101.12307120545269
1945,100.84594479913582
1946,100.89341708666657
1947,100.97270286246521
1948,101.12548573115099
1949,101.00785932148973
1950,100.86465176098966
1951,100.88865651169867
1952,101.06959991455078
1953,100.8416339612987
1954,100.98260318285797
1955,100.73746172761263
1956,101.01664761059902
1957,100.8300234441888
1958,100.4197701650123
1959,100.52494582084759
1960,100.75638895949272
1961,100.6114923555557
1962,100.69121980013912
1963,100.78110274223432
1964,100.67123105819911
1965,100.67816045055649
1966,100.54209692968082
1967,100.93869129337676
1968,100.6980813849462
1969,100.67984660945527
1970,100.81204606147661
1971,100.68311660975627
1972,100.4200330760381
1973,100.38287708857287
1974,101.01017842750025
1975,100.57575000083608
1976,100.75745605050699
1977,100.51971314312661
1978,100.7509656096158
1979,100.86379973529137
1980,100.74018471077697
1981,100.59151730472094
1982,100.52986496180705
1983,100.55211570426209
1984,100.54936111659218
1985,100.64263040202937
1986,100.58710780731617
1987,100.59194032851966
1988,100.547321037397
1989,100.58467455302198
1990,100.58710598880296
1991,100.73915524417407
1992,100.81779760073309
1993,100.59562994551986
1994,100.76793313222387
1995,100.70521798329811
1996,100.63365325927734
1997,100.71190509534863
1998,100.46020881966368
1999,100.74360525052843
2000,100.82609706512869
2001,100.50908380795832
2002,100.70544347893703
2003,101.20220617006905
2004,100.67116364779538
2005,100.95595055149026
2006,100.6404641138364
2007,100.99170655551023
2008,100.80912371073683
2009,100.67863708914142
2010,100.53453114130726
2011,100.56109585696704
2012,100.66130220596104
2013,100.6143421329864
2014,100.88960682072052
2015,100.64447201245451
2016,100.79381053349742
2017,101.04855068677092
2018,100.97446439560146
2019,100.97762720813488
2020,100.8627865098927
2021,100.73790782771698
2022,101.13609788450475
2023,100.57867991826306
2024,101.0863675261197
2025,101.31854147715113
2026,100.90383321683699
2027,100.79635352565818
2028,100.946712378933
2029,100.75015499167246
2030,100.75838704566434
2031,100.97931830001204
2032,100.57352510217116
2033,101.13265359956924
2034,100.80515439804287
2035,100.96870345024213
2036,100.94403454506232
2037,101.16328367468428
2038,101.1258313113696
2039,101.11678945462998
2040,101.28045010501391
2041,101.21648885648546
2042,101.11606470395441
2043,101.20732952797248
2044,101.20258667828286
2045,100.99004616933325
2046,101.00518324342492
2047,101.24184492973431
2048,100.96580835629814
2049,101.27493574586634
2050,101.05599137397662
2051,101.18017408815149
2052,100.94660997782668
2053,101.05138733746256
2054,100.98892314336071
2055,100.92874484127513
2056,100.91621998826116
2057,101.20217278885517
2058,101.20216806490127
2059,100.98745980458717
2060,100.87398675369889
2061,100.76090223756555
2062,101.09529607067368
2063,101.03510257250642
2064,101.01519840188222
2065,100.99107770527878
2066,101.24327998749196
2067,100.91634669891775
2068,100.89539144855657
2069,101.21882817516588
2070,100.86852099274937
2071,101.06343099515732
2072,101.35111596094418
2073,100.99193997317798
2074,101.05605481291471
2075,101.06130348101055
2076,101.13144422557255
2077,101.07123824864217
2078,101.04624211559555
2079,100.89425976896938
2080,101.03604753050085
2081,100.93355685717438
2082,100.73550009531516
2083,100.81489009073334
2084,101.17983166420296
2085,100.87793411881955
2086,100.71200916865098
2087,100.95719408009148
2088,100.83919959917459
2089,100.65711044938597
2090,101.33643857354986
2091,101.0647679159086
2092,100.79477376023382
2093,100.71523853458771
2094,100.73493800751147
2095,100.81045502963131
2096,100.65881692546687
2097,100.65856120488415
2098,100.88838862588959
2099,100.9139839067851
2100,100.7459647609763
2101,100.93276350465541
2102,101.10952112903334
2103,100.60393655855361
2104,100.71922751648783
2105,100.7949612343148
2106,100.80138420209492
2107,100.72977462141483
2108,100.52754100642792
2109,100.69406038049149
2110,100.85348903708262
2111,100.75224977258134
2112,100.72476576713666
2113,100.37878440961445
2114,100.56816128247404
2115,100.52126218194829
2116,100.64687617053724
2117,100.54218396748581
2118,100.2937536997338
2119,100.6415011471265
2120,100.2970752454784
2121,100.51586362237799
2122,101.00483498769263
2123,100.57963860916766
2124,100.74257739341422
2125,100.74215359622482
2126,100.85606865033712
2127,100.92095106987104
2128,100.71451158915481
2129,100.64484125424737
2130,100.6243699583289
2131,100.57210567944668
2132,100.69454147129844
2133,100.80888784748234
2134,100.8666249105375
2135,100.69815216064454
2136,100.43579488257839
2137,100.54555975509015
2138,100.684757974703
2139,100.51445947934502
2140,100.55747615866466
2141,100.50473954710245
2142,100.66703896718484
2143,100.91706317222281
2144,100.60596430530285
2145,100.69985349472253
2146,100.77878378254093
2147,100.59802584713451
2148,100.7702150527745
2149,100.7742648608064
2150,100.71798570188757
2151,100.71508172440203
2152,101.11990193406197
2153,100.92070130648676
2154,100.62090583696758
2155,100.7438124983278
2156,100.7295844927226
2157,100.51676058834546
2158,100.62026998441513
2159,100.74684974983946
2160,100.60731242976775
2161,100.63963767273785
2162,101.05138265531357
2163,100.84437345739914
2164,101.05827227030714
2165,101.00331015390893
2166,100.99071446248931
2167,100.80896930433299
2168,100.76373681891454
2169,100.77692950523063
2170,100.8223622988348
2171,100.6735823748863
2172,100.71565104445367
2173,100.99525294891774
2174,101.07502654611248
2175,100.77353321232208
2176,100.88857177316326
2177,100.90490576339094
2178,100.78585468449003
2179,100.70320087589631
2180,101.1581272909086
2181,100.88400975057525
2182,100.96375149243498
2183,100.56771800420056
2184,100.7152167960389
2185,100.6592623148879
2186,100.57956191807575
2187,100.94118221753263
2188,100.5266429117281
2189,100.6925956203513
2190,100.66539835472628
2191,100.85931772728489
2192,100.73493169497135
2193,100.91868998906382
2194,100.82553441295885
2195,100.62125793875079
2196,100.8747750060199
2197,100.66541961251873
2198,100.72278122575315
2199,100.65764697349235
2200,100.53748783477364
2201,100.68193231870052
2202,100.64975811683966
2203,100.734696207961
2204,100.63858989558808
2205,100.73617275708344
2206,101.01794278915614
2207,100.66240915794896
2208,100.99451699452857
2209,100.90829279651382
2210,100.87500238287937
2211,100.85231872976644
2212,100.76340936112078
2213,100.92092074041499
2214,100.71011580375776
2215,100.89560235428483
2216,100.61933514320688
2217,100.58757324218749
2218,100.54923530474102
2219,100.42571154032669
2220,100.51972225659514
2221,100.57489091010943
2222,100.39385493030287
2223,100.58826879213933
2224,100.97701424376605
2225,100.77818308791069
2226,100.56978180767739
2227,100.67970252886211
2228,100.98313420961983
