year,rsut
2015,100.87375504392158
2016,100.90984037955788
2017,100.80386641716758
2018,100.89676312447392
2019,100.91217864839294
2020,100.52277528719519
2021,100.51084847526627
2022,100.81474009447099
2023,100.53892303845456
2024,100.13855083101848
2025,100.27752130190837
2026,100.16993061011974
2027,99.93658929074475
2028,100.29559145066114
2029,100.64680940741422
2030,100.21381321381938
2031,99.91415693954906
2032,99.892045486675
2033,99.93243193839976
2034,99.86938259770331
2035,100.28589974618762
2036,100.04136093741377
2037,100.17224399802404
2038,99.8250690557252
2039,99.85356482156487
2040,100.078901611584
2041,99.81502527292699
2042,99.72110274766217
2043,99.70346139971865
2044,99.6359439205161
2045,99.68793640155215
2046,99.7519651725986
2047,99.36247217682943
2048,99.29093947002553
2049,99.41423823794418
2050,99.61229448301918
2051,99.11700711290287
2052,99.0617110982281
2053,98.92012503794433
2054,99.20374558007609
2055,99.06867356692834
2056,98.99324161445449
2057,98.75731009785439
2058,98.83533930635485
2059,98.91538376095838
2060,98.6975452371667
2061,98.71278199739879
2062,98.80673078963386
2063,98.44291184616876
2064,98.46787435816583
2065,98.37176638498765
2066,98.3223579623654
2067,98.45023969455188
2068,98.15742001838025
2069,98.2542098988402
2070,98.24931942340855
2071,98.28352110194993
2072,98.02156086601944
2073,97.73113546306148
2074,97.68710002575281
2075,97.7815619014111
2076,97.60392022562493
2077,97.34433973389199
2078,97.43136193471682
2079,97.48958073475129
2080,97.24037132443328
2081,97.27400386631986
2082,97.41849924118478
2083,97.09372835580871
2084,96.72403431824686
2085,96.96154003632158
2086,96.70446274184867
2087,96.56466901362137
2088,96.50481578800915
2089,96.58619016265024
2090,96.57894245063487
2091,96.28964089986258
2092,96.28100792435637
2093,96.24605936085
2094,96.14626138331315
2095,96.30140562236552
2096,95.52581343920966
2097,95.73572163384377
2098,95.38597297588467
2099,95.69781465039675
2100,95.50493001813041
