year,rsut
1850,98.27463832489431
1851,98.07078165550753
1852,97.26661343509204
1853,97.08246474592652
1854,96.92065945978034
1855,96.3227186229131
1856,96.70501445613496
1857,96.3943166236355
1858,96.13845200212035
1859,96.09714844586098
1860,96.05934245488416
1861,95.6894315536708
1862,95.89781260033176
1863,95.52889013421046
1864,95.45505281213211
1865,95.54909076429394
1866,95.69126275467546
1867,95.65153355010568
1868,95.76421295584065
1869,95.2423980085817
1870,95.56835130665401
1871,95.21961327121682
1872,95.33740815463133
1873,95.21643465643058
1874,95.34857503812607
1875,94.9897801020374
1876,95.40197791530662
1877,95.34411708884042
1878,95.56713553650738
1879,95.09147654494194
1880,95.37704200222066
1881,95.46009439964817
1882,95.37846435128826
1883,95.29312018825583
1884,95.21120916915267
1885,95.24359607435252
1886,95.07602718823576
1887,95.21244134772314
1888,95.10131104351723
1889,95.38868615137388
1890,94.97513231251338
1891,95.57172013374222
1892,95.072268175099
1893,95.10625988685922
1894,94.98354972943868
1895,95.1555635635167
1896,94.99167998849529
1897,95.35241640691888
1898,95.26147525735097
1899,95.50003455175113
1900,95.19473494438274
1901,95.32290212552842
1902,94.910217180644
1903,95.12874885454569
1904,94.95664574610043
1905,94.87486428038713
1906,95.07162895725199
1907,94.99103960011104
1908,94.92884778584518
1909,94.93349448426127
1910,94.77487358197773
1911,94.92910471877006
1912,94.88353120986729
1913,94.8015542226295
1914,94.9436651569523
1915,94.70306022330507
1916,94.98185623377971
1917,94.70296231622564
1918,94.85128098579303
1919,94.64999646748582
1920,94.58865975157855
1921,95.11337286544173
1922,94.60912734776325
1923,94.74196973826787
1924,94.40863998622112
1925,94.90082230241332
1926,94.70702226194616
1927,94.7158208141588
1928,94.93904011347523
1929,94.62139227880189
1930,94.61706925483598
1931,94.79253619468375
1932,94.66256329262094
1933,94.60827881277424
1934,94.65854839168182
1935,94.2735349890304
1936,94.56386120939906
1937,94.64599782865339
1938,94.63848883223861
1939,94.40862416306587
1940,94.4033398771939
1941,94.28425652490903
1942,94.02095731970383
1943,94.49341294798133
1944,94.43993998488335
1945,94.49876897106432
1946,94.70109194402826
1947,94.30436846589387
1948,94.36866149902343
1949,94.30391496632195
1950,94.58521172510434
1951,94.49749597000748
1952,94.55907130829276
1953,94.72266893778762
1954,94.44843239980199
1955,94.68449347509096
1956,94.66701739585564
1957,94.56185645534569
1958,94.36142651283578
1959,94.80631613535425
1960,94.70602444165372
1961,94.68844468626256
1962,94.80550902902263
1963,94.80309780591156
1964,94.68069903230015
1965,94.77757547456925
1966,94.6317995045283
1967,94.70674873247538
1968,94.83406459860606
1969,94.65762644728568
1970,94.91028655587809
1971,94.9850734135876
1972,94.40809620896431
1973,94.73589759722148
1974,94.86094364532052
1975,94.57112357779724
1976,94.55379176727713
1977,94.3803301249465
1978,94.37226332573039
1979,94.16327159306773
1980,94.5321948325797
1981,94.42724400350491
1982,94.62155011320768
1983,94.74820249374599
1984,94.60190149594659
1985,94.36779755892817
1986,94.01390637959521
1987,94.6035754060092
1988,94.7192370898103
1989,94.30444287861863
1990,94.57633056640626
1991,94.48931159450582
1992,94.39126806389795
1993,94.76630136150203
1994,94.63766297640865
1995,94.43345035918772
1996,94.72662575081604
1997,94.84685560252566
1998,94.57492650698309
1999,94.69718174346507
