year,rsut
2015,99.70100403317737
2016,99.36997704933954
2017,99.38598770524673
2018,99.47696198167968
2019,99.44098791734741
2020,99.49671415467392
2021,99.26452376288358
2022,99.0905021967944
2023,99.44539547392888
2024,99.39520090523888
2025,99.20829510443579
2026,99.11594027404219
2027,99.24113301415193
2028,99.09186996704517
2029,99.00435803350805
2030,99.25956996723605
2031,98.99679577999217
2032,99.20246530617521
2033,99.08076908868509
2034,98.98476800076196
2035,98.82211896567307
2036,99.03712768863348
2037,98.96370557742394
2038,98.97222485348863
2039,99.05718604594405
2040,98.95593026521576
2041,99.02421878071723
2042,99.08218428039049
2043,98.84035938281465
2044,98.9658976847808
2045,98.62533280904186
2046,98.95900593768627
2047,98.87708005618316
2048,98.84368801189702
2049,98.6908877219005
2050,99.05626598141359
2051,99.15136075029028
2052,98.91649612418867
2053,98.46284737449214
2054,98.87534851957422
2055,98.60702485006011
2056,98.50711523641095
2057,98.18932661092757
2058,98.32776021846524
2059,98.20456490093379
2060,97.96058114637192
2061,98.23677384234664
2062,98.49106477901042
2063,98.01876251112938
2064,98.04104046639621
2065,98.28070936934516
2066,98.09435618950351
2067,97.91986069401587
2068,98.04369014745826
2069,98.17336866509032
2070,97.71608142299766
2071,97.58136434633424
2072,98.05409326136464
2073,97.79037238560392
2074,97.61357971201433
2075,97.73740331198886
2076,97.836500851741
2077,97.68724936123077
2078,97.70924931151049
2079,97.67287625355027
2080,97.55126355428644
2081,97.66987163163655
2082,97.50230873400396
2083,97.67005040388514
2084,97.51338672808855
2085,97.39409418143033
2086,97.58832787903117
2087,97.24191386864636
2088,97.31010723737626
2089,97.28946279273731
2090,97.45164162717538
2091,97.03693841196495
2092,97.39405958987027
2093,96.98425099565671
2094,96.9306211038906
2095,96.91581301886006
2096,97.22369831450729
2097,96.77578507352598
2098,97.13755899183163
2099,96.67779511503711
2100,96.99530316987702
