year,rsut
1850,97.80685408082728
1851,97.53020634063301
1852,97.17527668574084
1853,96.598929815423
1854,96.5377520835563
1855,96.77035064697266
1856,95.80518027527691
1857,95.9707929219285
1858,95.58249043503852
1859,95.34443580940977
1860,95.36991004421287
1861,95.78928924978597
1862,95.27042957462677
1863,95.07187859522153
1864,95.28555120180731
1865,95.34594634591718
1866,94.82026755973084
1867,95.27292436573603
1868,94.78199331205185
1869,94.68533438068546
1870,94.67025345057657
1871,94.59574047767953
1872,94.3533336900685
1873,94.5050416502234
1874,94.21507350973887
1875,94.37167164005646
1876,94.35807085429151
1877,94.43851004822614
1878,94.5427410805062
1879,94.42442365672488
1880,94.4739833884043
1881,94.3052018048012
1882,94.39454945603461
1883,94.45727037403681
1884,94.1309312167233
1885,94.3489571558286
1886,94.38382296627516
1887,94.32987593559369
1888,94.2390887743806
1889,94.24378998638832
1890,93.87056391467787
1891,94.29201415597575
1892,94.0766937882933
1893,94.21459921222845
1894,93.92646306704168
1895,94.28119136862557
1896,94.02817821763966
1897,94.00126292607555
1898,94.0880382172049
1899,94.2485770656638
1900,94.25530033895414
1901,94.02239072616786
1902,94.36415572493044
1903,93.97731316971452
1904,93.58172017972763
1905,93.63739469345302
1906,94.20822841696543
1907,93.78034726495612
1908,93.8355278537698
1909,93.72439328546395
1910,93.71088273557898
1911,93.58930325442799
1912,93.73794720793424
1913,93.88805617241009
1914,93.7804249802681
1915,93.85912241478489
1916,93.33300545052305
1917,93.60316615692555
1918,93.65142420938571
1919,93.74675242802869
1920,93.47715759277344
1921,93.35127716064451
1922,93.63044490030366
1923,93.45791301988575
1924,93.51780667239672
1925,93.664980681955
1926,93.62065565553429
1927,93.70546425597308
1928,93.56446804934986
1929,93.48248401798614
1930,93.45851578385862
1931,93.24015160129495
1932,93.16789429547036
1933,93.64683133478033
1934,93.57748833225199
1935,93.74546632113521
1936,93.54713914427039
1937,93.55412971810121
1938,93.37776073299041
1939,93.7183946583369
1940,93.46386881789115
1941,93.35339273949191
1942,93.23593191904563
1943,93.27421856187794
1944,93.25594058102125
1945,93.77725710934155
1946,93.28156938944777
1947,93.14137385120131
1948,93.58200083693413
1949,93.39663685837836
1950,93.1229537127769
1951,93.36726013601641
1952,93.27429452138405
1953,93.43389179804552
1954,93.16615460539515
1955,93.35181794885088
1956,93.6081055105549
1957,92.83481125505004
1958,93.1514691287524
1959,93.13976137344152
1960,93.24514331556345
1961,93.242341404745
1962,93.20388630906197
1963,93.24494603823308
1964,92.7613078287203
1965,93.04145881966369
1966,93.0768829345703
1967,93.37401691593534
1968,93.28153051088933
1969,93.28205417998846
1970,93.17101051644102
1971,93.24561941068468
1972,93.05861479876792
1973,92.80656614956791
1974,93.17533502448094
1975,92.9462607814841
1976,92.93044661430463
1977,93.32484442305892
1978,93.3642168018916
1979,93.26942452208635
1980,93.045161981452
1981,92.89732377561805
1982,92.50789144855655
1983,93.11995914406971
1984,93.20053825900978
1985,93.04122092887147
1986,92.7894076412671
1987,93.09560404738336
1988,92.63870504718938
1989,92.39627773337168
1990,92.8440658151287
1991,92.95727988465191
1992,92.96066541279832
1993,92.68758047443548
1994,92.95149122264287
1995,93.05242575031437
1996,93.1435615644063
1997,92.90636508889395
1998,93.02466671042248
1999,93.04463116371468
