year,rsut
2015,99.22790236799685
2016,99.20314502454784
2017,98.79174229870104
2018,98.93510159009125
2019,99.08353478418637
2020,98.5235025902317
2021,98.68534278347067
2022,98.8638631115221
2023,98.4493133544922
2024,98.73241598050889
2025,98.53379125725733
2026,98.0423775032775
2027,98.02435856649322
2028,98.26072245558649
2029,97.77578066473136
2030,97.78398176219366
2031,97.88210223472282
2032,97.97276258076707
2033,98.41688556409862
2034,98.10377933031893
2035,97.96694975552495
2036,97.93373229144368
2037,98.12378165885193
2038,97.46686037664544
2039,97.91657112853166
2040,97.75629949700344
2041,97.28298716087865
2042,97.31152441991517
2043,97.49811058566993
2044,97.64813991180837
2045,97.28397753989859
2046,98.05005660383668
2047,97.16656525494301
2048,97.21663927052118
2049,97.47208561309395
2050,97.22231905166416
2051,97.0458608966984
2052,97.30488467281812
2053,97.0487156489124
2054,97.39107064025042
2055,96.58321393156706
2056,97.36538100569216
2057,96.6575903487532
2058,96.94188075653493
2059,96.3979881600158
2060,96.58883261484642
2061,96.62528059449915
2062,96.46977091750053
2063,96.7545910769946
2064,96.33564726947105
2065,96.56218577345756
2066,96.23828563951466
2067,96.14726000224074
2068,96.04386763899292
2069,96.14944978478836
2070,95.99800766200235
2071,96.10961604706229
2072,96.40351909480684
2073,95.80586117261075
2074,95.5113946156959
2075,95.88435643862373
2076,95.58526816172143
2077,95.45122500902986
2078,95.87702981609188
2079,95.80383169095809
2080,95.53361636645172
2081,95.40489518675085
2082,95.75763990846399
2083,95.38857024728435
2084,95.490580624097
2085,95.8759400877234
2086,95.60218487047169
2087,95.18149056630591
2088,95.53086677446758
2089,95.65470305142338
2090,95.1936699227111
2091,95.33548838994273
2092,95.53590376344445
2093,95.09910171717812
2094,94.88993287805008
2095,95.29602941225653
2096,94.88061788898625
2097,95.14718717810226
2098,94.88733267588157
2099,94.97133314576867
2100,95.34535399136476
