year,rsut
1850,99.73742636066594
1851,100.02172034276674
1852,100.07481158530875
1853,99.77202198603382
1854,100.16077671834867
1855,100.10864828449404
1856,100.15883364742749
1857,99.70917015598245
1858,99.96236315165477
1859,100.13065367398195
1860,99.77820451292271
1861,100.06473190098593
1862,99.83528904326974
1863,99.50939400032773
1864,99.9210546833195
1865,99.83223030403869
1866,99.48186292256395
1867,99.91464091261773
1868,99.31985235344874
1869,99.3511690740716
1870,99.87710786584306
1871,99.54486184316139
1872,99.25951546446916
1873,99.28973618598832
1874,99.80100578412618
1875,99.33102866394877
1876,99.59434101679554
1877,99.46070817921262
1878,98.52550692623609
1879,98.85322995120534
1880,99.4333100410357
1881,98.7185326981218
1882,98.90353932837917
1883,98.84465223338506
1884,99.10293664801608
1885,99.16531252926345
1886,98.8472060530153
1887,98.45008858458637
1888,99.11422355338318
1889,98.78438235766265
1890,98.72412955924254
1891,98.49247988348137
1892,98.46151049888299
1893,98.68956043818224
1894,98.55444668286466
1895,98.49585893186803
1896,98.5489316339362
1897,98.68718088228408
1898,98.49219717783473
1899,97.90201980381794
1900,98.22141773798695
1901,98.18397072569964
1902,98.33192682135595
1903,98.20138196553268
1904,98.45663847204757
1905,98.01632907815177
1906,97.69757456322237
1907,97.41759539042432
1908,98.147789565831
1909,97.96766114953446
1910,97.75551417102551
1911,97.32042861311402
1912,97.76345967331979
1913,98.02286435479985
1914,97.21555445422862
1915,97.68585936663902
1916,97.01521050440121
1917,97.32632774457538
1918,97.26444392792166
1919,97.43351423707726
1920,97.27003836435814
1921,96.91426882809155
1922,97.3640382531571
1923,97.1531234741211
1924,97.04519396220168
1925,96.93096179700879
1926,97.22310565269157
1927,96.39943561292675
1928,96.92087851746442
1929,97.00467320272367
1930,97.13166832074725
1931,96.788585255244
1932,97.01562930590485
1933,96.52790322499732
1934,96.31898103478838
1935,96.80635702054795
1936,96.61532057670696
1937,96.48630231047329
1938,96.39010751802627
1939,96.68086761056558
1940,96.32649657367025
1941,96.15351903209947
1942,96.25195755631957
1943,96.16199472505753
1944,96.36122037286628
1945,96.28405755448014
1946,96.2427147225158
1947,95.7109985978636
1948,95.70208188409674
1949,95.82382946275686
1950,95.94396627765812
1951,95.78780312734108
1952,95.65193573416094
1953,95.52086206723567
1954,95.68027803603917
1955,95.49256930416577
1956,95.45472560516777
1957,95.1925504501552
1958,95.23470615752755
1959,95.16822449148519
1960,95.06137091231675
1961,95.20177369836257
1962,95.14181418222923
1963,94.90600238956819
1964,94.88243073763911
1965,94.92881858512146
1966,95.08596509123501
1967,94.71313236184317
1968,94.81681142310575
1969,94.46445111836472
1970,94.77456012882598
1971,94.5464549443493
1972,94.75813767942665
1973,94.7533729657735
1974,94.43908279627969
1975,94.24323617595516
1976,94.19420057322881
1977,94.03114904116278
1978,94.4499512972897
1979,94.44707137852498
1980,94.29181635608411
1981,93.86130970994087
1982,94.43483575272232
1983,93.73984046831524
1984,93.6283979651046
1985,94.04204569777396
1986,94.05597734843215
1987,94.15543934025176
1988,93.77378115719311
1989,93.97839238415025
1990,93.46614350619382
1991,93.50646884865955
1992,93.43920624615394
1993,93.84560084930838
1994,93.62152918985444
1995,93.77163236435143
1996,93.17036394093134
1997,93.13822878484858
1998,93.53735052657454
1999,93.33978442884472
2000,93.16970179309584
