year,rsut
2015,98.27872594545964
2016,98.66809403928991
2017,97.95965469569374
2018,98.34394468542648
2019,98.42547615782854
2020,98.09785626555143
2021,98.33858151370531
2022,98.32414920754627
2023,97.85780771333877
2024,98.16369286106057
2025,98.25118399842145
2026,97.8473226886906
2027,97.89560985826465
2028,97.9111270434236
2029,97.8485976963827
2030,97.7198096497418
2031,97.69694328830666
2032,97.74362412544147
2033,97.5310301898277
2034,97.30187781346984
2035,97.62919334516134
2036,97.38709424162562
2037,97.01173185583663
2038,96.84351221372005
2039,96.84014716997538
2040,97.30817469766697
2041,96.73636982538929
2042,97.06371301102311
2043,97.24636853361783
2044,96.94399898999359
2045,96.79728322486353
2046,96.95932163604317
2047,96.29473483987051
2048,96.57489674189318
2049,96.13603114297945
2050,96.40336650691619
2051,96.50247416039036
2052,96.13670029313596
2053,95.6243477808286
2054,96.06639126294279
2055,96.39576432737584
2056,95.96760579984482
2057,95.8002879939667
2058,95.68040508113494
2059,95.70710426226053
2060,95.68905298938489
2061,95.43244143969392
2062,95.72058845415505
2063,95.80259265638378
2064,95.36612960606405
2065,95.16725994789437
2066,95.4147153880498
2067,95.30651776039437
2068,95.03043557781061
2069,94.90718565640385
2070,94.58933515156784
2071,95.07642312245825
2072,94.93993779012601
2073,94.67839307393115
2074,94.58920344522554
2075,94.69255933369678
2076,94.1063234930169
2077,94.45656094485766
2078,94.35589480465406
2079,94.05521315483199
2080,94.0211875392966
2081,94.70394910002408
2082,94.31415610117455
2083,94.34062293065739
2084,93.93576582817182
2085,94.0357316944697
2086,93.84639576951118
2087,93.81541160688008
2088,93.68527008474689
2089,93.62555462562875
2090,93.50333567580131
2091,93.10439229468776
2092,93.5016981569055
2093,93.35979085425808
2094,93.30056248495023
2095,93.07561156390464
2096,93.25878224830103
2097,93.18868069583421
2098,93.25610562677254
2099,92.71825289791576
2100,92.43181543219579
