year,rsut
1850,98.60057166112612
1851,98.64993952920992
1852,98.79698532313515
1853,99.17715487545482
1854,98.5752303450075
1855,98.93867032821862
1856,98.79733293089149
1857,98.65736734050594
1858,99.33851138598297
1859,99.30225727656116
1860,98.32101064185574
1861,99.26475629414597
1862,99.07900332098139
1863,98.95268855682792
1864,99.34159251173881
1865,98.91368974659541
1866,98.82091929814587
1867,98.81253246150604
1868,98.85270373200719
1869,98.79499810623795
1870,98.70861630374438
1871,98.83602493495157
1872,98.69340243404858
1873,99.55444952559797
1874,98.71731577834036
1875,98.6969270889073
1876,98.4574449722081
1877,98.363872705747
1878,98.93104783149613
1879,99.18569467622942
1880,98.88010356328259
1881,98.96750120398116
1882,98.69177530367081
1883,99.70491502317665
1884,102.83654745441595
1885,99.97726720522529
1886,99.24526636829115
1887,99.27707423379977
1888,99.49357303985175
1889,98.92999955268755
1890,99.571590099596
1891,99.32936800603997
1892,99.05514752113658
1893,99.31909896641561
1894,99.45543171085724
1895,99.56540832519532
1896,99.08793707024563
1897,99.7768570782387
1898,99.21363711422437
1899,99.70394101077564
1900,99.62994754739003
1901,99.48933251785905
1902,99.40824175272903
1903,100.3923373287671
1904,99.90700654330318
1905,99.71047373732475
1906,99.07349569242295
1907,99.74803523233491
1908,99.92416626394612
1909,99.09569969699808
1910,99.929718707359
1911,99.85498757558327
1912,100.47195486826438
1913,100.56522258601777
1914,100.30989133233894
1915,99.81907198135167
1916,99.59976591345382
1917,100.24882177065497
1918,100.13992763153495
1919,99.87100476826707
1920,99.53182561168931
1921,99.57214800690952
1922,99.77807360087354
1923,99.72646986033818
1924,99.15046850753157
1925,99.70842124207378
1926,99.54691864431722
1927,99.27051257825877
1928,99.8765535328486
1929,100.06567851027395
1930,99.88562252096933
1931,99.44259808684049
1932,99.47765831098164
1933,99.67446646494409
1934,99.6045577793905
1935,99.55196290734696
1936,99.76866120638913
1937,99.78736641243712
1938,99.34351129401219
1939,100.37089843749999
1940,99.55528129682149
1941,100.10030241665773
1942,100.20224084723486
1943,100.2268499923079
1944,100.63622449064908
1945,99.9471905224944
1946,100.35415590887197
1947,99.6909710400725
1948,100.14813006675408
1949,100.18947714191593
1950,99.8131345147956
1951,99.8140397372311
1952,100.23513618364726
1953,99.59285140364138
1954,99.2152722084359
1955,100.12217729124305
1956,99.9926582022889
1957,100.51402019343963
1958,100.86737466054419
1959,100.80396494408177
1960,100.14070185831147
1961,100.91230788557496
1962,100.88372244638938
1963,102.89520527042755
1964,101.70255070516508
1965,101.33443764464496
1966,100.92685093291817
1967,101.50232771782025
1968,101.43110217786814
1969,101.00481387621737
1970,101.0654826752127
1971,101.84937744140625
1972,101.323810504234
1973,101.36650240127355
1974,102.1063038029083
1975,101.34366912841796
1976,101.12276419025577
1977,101.3456908552614
1978,100.83568004451386
1979,100.88833785383669
1980,101.29310091619622
1981,101.09978271902425
1982,101.40553444640277
1983,102.546816619455
1984,102.35394684255938
1985,101.43950682339602
1986,101.36083959292058
1987,100.85232414350116
1988,101.32759167396858
1989,100.77858872087036
1990,100.66971912122753
1991,102.52871200352499
1992,104.81974453860765
1993,102.45753993204197
1994,101.52912948817422
1995,100.7509718385461
1996,101.4995861941821
1997,101.67084011966236
1998,101.39783166336684
1999,101.18729153985846
2000,101.08021988542112
2001,100.85384343813544
2002,100.69648092609562
2003,100.33765127103624
2004,100.54133658213158
2005,100.66580342331976
2006,101.38347811764233
2007,100.77596569322559
2008,100.01127703941032
2009,100.55913909494059
2010,100.1648078395896
2011,100.54779021380699
2012,100.44854002652104
2013,99.88689535480657
2014,100.6822389576533
