year,rsut
1850,97.9204020460991
1851,97.8911143054701
1852,97.65851459241892
1853,97.83110374555196
1854,98.27592800610685
1855,98.51945836315417
1856,98.43993417400203
1857,98.04575972883669
1858,98.23480611304713
1859,98.30828376665507
1860,98.22932149808702
1861,98.82744755157051
1862,98.5221614680878
1863,98.36860504150391
1864,98.22568340562795
1865,98.22628136203714
1866,98.47102857615852
1867,98.16357967428965
1868,98.2985034890371
1869,98.51190839793584
1870,98.628700967031
1871,98.32864662065899
1872,98.24078147574647
1873,98.19753760768941
1874,98.57842768838961
1875,98.63980917734644
1876,98.61533867822934
1877,99.12796196088397
1878,97.99389196944563
1879,98.66837519815523
1880,98.83945377297596
1881,98.35930771501094
1882,98.72206247408094
1883,98.57689944750642
1884,98.22371092495851
1885,98.87258014417675
1886,98.81994037366894
1887,98.64347463111355
1888,98.37522580917566
1889,98.82591740856431
1890,99.20912868552013
1891,98.53979015611623
1892,98.73748747943198
1893,98.77982169373394
1894,98.76889481217894
1895,98.63433938222389
1896,98.88016430580451
1897,98.96651243444991
1898,99.02225463031088
1899,98.56216439025043
1900,98.82991383173695
1901,98.68218927252784
1902,98.66371792309904
1903,99.0145858973673
1904,98.7455778148076
1905,99.18933525608011
1906,99.04654802296258
1907,98.80217650949139
1908,98.77587322078338
1909,98.39662120244276
1910,98.8055248730803
1911,97.9915212343817
1912,98.34606423573952
1913,98.78545743341314
1914,98.64808491746041
1915,98.65621946151941
1916,98.49081502417995
1917,98.58679832563007
1918,98.85786818412886
1919,98.69835961746841
1920,98.48610530487478
1921,98.71057597121145
1922,98.54770714746763
1923,98.8805339656464
1924,98.62561739568841
1925,98.80053742291175
1926,98.67803773226804
1927,99.12728741789518
1928,98.56319172480336
1929,98.50346508287404
1930,98.9721198513083
1931,98.65516392956042
1932,98.42922455252032
1933,98.69964449111728
1934,98.61067272865608
1935,98.28618895648277
1936,98.4930380416243
1937,98.54369276908979
1938,98.49060275979238
1939,98.3625529877127
1940,98.25977848000721
1941,98.61689375785934
1942,98.5841234808099
1943,98.67798286333475
1944,98.602543514722
1945,98.34573928623982
1946,98.1767663406999
1947,98.31890045584065
1948,98.63997474565898
1949,98.59626257909487
1950,98.53003790868473
1951,98.6348600413701
1952,98.16634059540213
1953,98.10128282520868
1954,98.24802616067126
1955,98.36005002374519
1956,98.39112086883964
1957,97.81133964225037
1958,98.62611665072507
1959,98.47007366859751
1960,97.80455052624012
1961,98.28316756993124
1962,98.17713721288393
1963,98.10504792095864
1964,98.023118842138
1965,98.05317322195393
1966,98.8069963011023
1967,97.89261783965645
1968,97.70793339977524
1969,98.27982898868926
1970,97.9920683560306
1971,98.29274452941057
1972,98.07375818539971
1973,98.55764394263697
1974,98.30909398745185
1975,98.48577502525015
1976,98.79830564734053
1977,98.46738352318332
1978,98.17832499464897
1979,98.31023045370023
1980,98.62355566155422
1981,98.02923657142952
1982,98.56571937456522
1983,98.82594552236058
1984,98.87040572493044
1985,98.70363727726348
1986,97.9958074073269
1987,98.70048596107796
1988,98.20188515023008
1989,98.46588803644048
1990,98.41475207185091
1991,98.5388280372097
1992,98.49425567208904
1993,98.31728421563972
1994,98.3279667893501
1995,98.64339194101831
1996,98.5241799341489
1997,98.52145122371309
1998,98.7181247031852
1999,98.47010098810065
2000,98.77581295901781
2001,98.2589236951854
2002,98.53104582486087
2003,98.82186661811726
2004,99.0170224960536
2005,99.19622850810012
2006,98.44593167239671
2007,98.77727592154724
2008,98.89367025715029
2009,98.62602146096427
2010,98.63630136986303
2011,98.9102717360405
2012,98.53666425731085
2013,98.22804362675915
2014,98.22967696516483
2015,98.33493464221692
2016,98.70350118140651
2017,98.38780697339203
2018,98.65866145303805
2019,98.87782218619567
2020,98.90009554510249
2021,98.54489394932577
2022,98.6894772464282
2023,98.74820865996895
2024,98.96995042774775
2025,98.76479007250643
2026,98.4163380662056
2027,98.65445243103862
2028,98.61777676098967
2029,98.27985248304392
2030,98.05329752882868
2031,98.3875476366853
2032,98.03689773768595
2033,98.89786824265569
2034,98.42072354669438
2035,98.19639911390333
2036,98.59364601030741
2037,98.38057238435093
2038,98.27249187312714
2039,98.58302394919201
2040,98.30082249053537
2041,98.51642249120424
2042,98.67140891715272
2043,98.53028357518863
2044,98.70372561102046
2045,98.59199854184503
2046,98.17244202078207
2047,98.62794515531358
2048,98.53849800841449
2049,99.03584348077644
2050,98.85218085720113
2051,98.57034491970114
2052,99.08635120130565
2053,99.43272679995184
2054,98.86688769614858
2055,99.08931082111515
2056,98.80770629464762
2057,98.58167557389768
2058,98.4960975751485
2059,98.8313127491572
2060,98.25803736856537
2061,97.93845710231832
2062,98.605499957359
2063,98.73086152795243
2064,98.9956114886558
2065,98.76430856365046
2066,98.93309081613201
2067,99.14685050232771
2068,98.86492031567718
2069,98.42135705817236
2070,98.62564638738762
2071,99.08873855381795
2072,98.84458522012788
2073,99.14805088827055
2074,98.62320017357393
2075,98.5572291962088
2076,98.79032151731727
2077,98.20997266377488
2078,98.20754404982475
2079,98.55315643728596
2080,98.92707172550567
2081,99.0233208225198
2082,98.05268464806962
2083,98.51729790674496
2084,98.7936902189908
2085,98.48131028266802
2086,98.22973766588186
2087,98.48367106816539
2088,98.59325611689319
2089,98.35470999103704
2090,98.40448884310787
2091,98.55158825181934
2092,98.38126030490821
2093,98.28081786273276
2094,98.56064697683672
2095,98.44071184968296
2096,98.87576308577029
2097,98.93258146521164
2098,98.12640224090995
2099,98.3957469365368
2100,98.37046874581952
2101,98.31186370849609
2102,98.44572799891641
2103,98.25418765969471
2104,98.66663759832514
2105,98.70296486632465
2106,98.35330695583396
2107,98.38674728184532
2108,98.58011388909327
2109,98.13405684379681
2110,98.32034830589816
2111,98.48889686898009
2112,98.61893701422704
2113,98.39812645063009
2114,98.59303517798854
2115,98.51066516196892
2116,98.25079571449594
2117,97.816652940724
2118,97.69546452352444
2119,97.89372247147234
2120,98.31781850318386
2121,98.25339528959091
2122,98.04313369123905
2123,98.18800792955372
2124,98.22789465499253
2125,98.08496827426022
2126,98.3487532733238
2127,98.13482649293664
2128,97.96430239742747
2129,98.32409854000562
2130,98.46231735438516
2131,98.8106943417902
2132,97.80402629277478
2133,98.40234059372995
2134,98.11995492177466
2135,98.57898822941192
2136,98.31245591673132
2137,98.24559760942851
2138,98.24660734411789
2139,98.13103253090217
2140,98.29834764036413
2141,98.39257427894907
2142,98.45174625344472
2143,98.22439863649132
2144,98.6791414234736
2145,98.54778877153788
2146,98.82495355475439
2147,99.04142754959734
2148,98.37639137163553
2149,98.67051803379842
