year,rsut
1850,97.87244210439185
1851,98.04252551353142
1852,98.20877246595407
1853,98.11003443051692
1854,98.32278202004628
1855,98.08115777838721
1856,98.19016090288554
1857,98.11946383959625
1858,97.86886360481994
1859,97.98956785855229
1860,98.05309634274
1861,98.27219087783604
1862,98.09528302754441
1863,97.59806959596399
1864,98.23193902838722
1865,98.24990073426129
1866,97.76881488120718
1867,98.35889181894798
1868,98.55034810941513
1869,98.40371973743177
1870,98.41658185148891
1871,98.56062063974878
1872,98.6425062832767
1873,98.25508546176022
1874,98.44196319580078
1875,98.6217625657173
1876,99.20861795503798
1877,98.61529035176315
1878,98.6275732798119
1879,98.41437068573416
1880,98.80152065329357
1881,98.29905303537029
1882,98.63755881949646
1883,98.8246363809664
1884,99.03497747133856
1885,98.41919515949407
1886,99.36019734421822
1887,98.59311128381178
1888,98.46968231201171
1889,98.75505649096343
1890,98.69894359013804
1891,98.5510008511478
1892,98.75810214526034
1893,98.8116808329543
1894,98.7884342350372
1895,98.77177870240929
1896,98.85108377117001
1897,98.9896270333904
1898,98.62987760778975
1899,98.69147564613657
1900,98.53454422624144
1901,98.60835922450235
1902,98.18891440613628
1903,98.36803923306398
1904,98.57812332780394
1905,98.25186669336607
1906,98.35272151999276
1907,98.38195566673801
1908,98.8037688163862
1909,98.30154809821143
1910,98.43809362960188
1911,99.0376000809343
1912,98.22820612241145
1913,98.11088906902157
1914,98.77266879147047
1915,98.09891765019664
1916,99.03165126434743
1917,98.76512156447319
1918,98.67517286326786
1919,98.85726282825206
1920,98.68944886090004
1921,99.07540920727874
1922,98.76428469305168
1923,98.87141683918155
1924,98.338696498087
1925,99.31845554717597
1926,98.89940363217706
1927,98.58329164687902
1928,98.33252502859455
1929,98.40625209024506
1930,97.89634359699404
1931,97.85966497969953
1932,98.35593872070314
1933,98.11156733264662
1934,98.4080455623261
1935,98.18488855231297
1936,98.2824554652384
1937,98.36263325312365
1938,98.58841899715058
1939,98.2695724696329
1940,98.3878726697948
1941,98.07484609525497
1942,98.65967620431562
1943,98.40607032253317
1944,98.42851506063383
1945,98.47327308132223
1946,98.28982008842571
1947,98.25804633571677
1948,97.99505527444083
1949,98.35700595803458
1950,98.35609655510892
1951,98.58749646748583
1952,98.4755550645802
1953,98.38809904333664
1954,98.29382403648063
1955,98.40152067419601
1956,98.2697386232141
1957,98.60851917005564
1958,98.13999566901221
1959,98.12825689446434
1960,97.94274335887334
1961,98.385705879943
1962,98.17248255063409
1963,98.27639651363843
1964,98.28136055306211
1965,97.52006127344418
1966,98.37494860087355
1967,98.68562212382277
1968,97.96876233244596
1969,97.86887942797517
1970,98.29463578315631
1971,98.61547195225545
1972,98.32158449773918
1973,98.5792372194055
1974,98.65459329265435
1975,98.70863611926771
1976,98.28743814964814
1977,98.45922669711179
1978,98.65393415477176
1979,98.56829493274428
1980,98.5477067294186
1981,98.74608752106965
1982,98.4327367077135
1983,98.49921711960883
1984,98.38490550420055
1985,98.16361504123635
1986,98.52283189329383
1987,98.73353008113494
1988,97.92167109659273
1989,98.23764322359268
1990,98.76183099616064
1991,98.4662060881314
1992,98.41518310128826
1993,98.05549239067183
1994,98.27723215181534
1995,98.3183138076573
1996,98.21501172209439
1997,98.56089826609991
1998,98.76485355324941
1999,98.33832163353487
2000,98.22251336084653
2001,98.56306808680704
2002,98.71438709415801
2003,98.32813020471025
2004,98.54529845355309
2005,98.81204618689134
2006,98.01398175383267
2007,98.3084891332339
2008,98.78605965392231
2009,98.44910926296286
2010,98.32425677155796
2011,98.66956977321678
