year,rsut
1850,100.05501464425701
1851,99.66314266675138
1852,99.80242384819135
1853,99.90417028975811
1854,100.05618628933004
1855,100.29653926483572
1856,99.76708652026032
1857,100.05808548600704
1858,99.96890028862104
1859,99.88860714010997
1860,100.12802082218536
1861,99.80607055246011
1862,99.98495349622752
1863,100.09477804523624
1864,100.08943968472414
1865,99.89766567700528
1866,100.02045777203286
1867,100.47808275614697
1868,100.42123275129762
1869,100.21483770919171
1870,99.82215187386291
1871,99.84082338516026
1872,100.00808189078553
1873,99.72579560998369
1874,99.95500172654242
1875,100.29532997444883
1876,99.75304431654003
1877,99.9885227569162
1878,100.13244054088855
1879,99.75356142226964
1880,99.80914375618713
1881,99.95292013507998
1882,99.44615626923026
1883,99.66149559543557
1884,99.54677333047944
1885,99.55937441473138
1886,99.51373316098567
1887,99.78305262735444
1888,99.76944736846504
1889,99.48913183342921
1890,99.71204163015703
1891,99.5766480119261
1892,99.70787802918316
1893,99.32613241117295
1894,99.18370716669787
1895,99.54757949620075
1896,98.92696878093564
1897,99.10671238311352
1898,99.37743187473245
1899,98.60394163784915
1900,99.01670824860874
1901,98.90715191984829
1902,98.8528454924283
1903,98.27585131501499
1904,98.52888085352231
1905,98.98572772300406
1906,99.03760229659406
1907,98.39568090569482
1908,98.56116280751684
1909,98.38126007498127
1910,98.39734271323844
1911,98.25067088505993
1912,98.52673007494784
1913,98.25263389691915
1914,98.28604056998476
1915,98.21439976104317
1916,98.57193580522929
1917,98.15910713509338
1918,98.28529408076037
1919,97.78817115679178
1920,97.81808753862772
1921,98.11679022802068
1922,97.81596593987452
1923,97.34488918356699
1924,98.1645606263043
1925,98.28573106739618
1926,98.07289562486622
1927,97.71274798667592
1928,98.05831808847924
1929,98.01844076914331
1930,97.85732612087301
1931,97.95820688744114
1932,97.84966386768915
1933,97.40170426042113
1934,97.53612461873928
1935,97.73890564800942
1936,97.09336721341904
1937,97.6197088581242
1938,97.75522565449754
1939,97.65468095753292
1940,97.29492726783229
1941,97.08623889243765
1942,97.3609871851255
1943,97.3317192600198
1944,97.34794311523437
1945,97.08231997555251
1946,97.14074711211742
1947,96.93309248832809
1948,96.85511731709518
1949,96.73212654427306
1950,96.81434115057121
1951,96.96030074864218
1952,97.3441083934209
1953,96.7697430754361
1954,97.04899664055812
1955,97.03044412691301
1956,96.41792048624116
1957,96.56802771581363
1958,97.0191736926771
1959,96.69459728084199
1960,96.34451214516
1961,96.49378848141185
1962,96.52350898638163
1963,96.33578449406036
1964,96.19729110508749
1965,96.63789179553724
1966,96.31158572680329
1967,96.32489720174709
1968,96.48291080422598
1969,95.93693613548801
1970,96.36188946031544
1971,96.44882049560547
1972,96.0565540470489
1973,96.82514560647206
1974,95.89424170925192
1975,95.91169099154538
1976,95.83554319616866
1977,95.96778794380081
1978,95.779930156551
1979,95.38056661527452
1980,95.59353832088104
1981,96.06241189617
1982,95.65506600157855
1983,95.52994595880376
1984,95.5376250384605
1985,95.69168398086337
1986,95.22357551888243
1987,95.07160828472816
1988,95.71640418065738
1989,95.40276353391883
1990,94.95174815556774
1991,95.31152943650336
1992,95.43155406795135
1993,94.93414235572291
1994,94.92942306309531
1995,95.05304214268514
1996,94.6013467240007
1997,95.1594705660049
1998,95.09755242752702
1999,94.7601293694483
2000,94.90890195663661
