year,rsut
1850,99.8958874846158
1851,99.70671765053109
1852,100.154025561189
1853,99.63270627374519
1854,99.68128097743204
1855,99.69666185770949
1856,99.6891765019665
1857,99.68352289069188
1858,99.61091344127917
1859,99.27322153587862
1860,99.57404822780661
1861,100.50728841285182
1862,100.16213343372084
1863,100.0928810224141
1864,99.98643445576707
1865,99.55446860953553
1866,99.53321426600625
1867,99.97237502842734
1868,99.399955854024
1869,99.5304755432965
1870,99.90735469452322
1871,99.39854303647394
1872,99.71254468943975
1873,99.74048723194696
1874,99.84031236204382
1875,99.66163110602389
1876,99.41222856077428
1877,99.2446073349208
1878,99.56308842489165
1879,99.22489473525792
1880,99.06147437944804
1881,99.75019435098724
1882,99.66749846576009
1883,101.06114303379843
1884,103.77379010344205
1885,100.86099588054499
1886,100.16599334298749
1887,99.83542010163606
1888,99.43959639039758
1889,99.49674486134148
1890,99.96299196008134
1891,100.04883483468669
1892,99.68057595867002
1893,99.584376484074
1894,99.350301455145
1895,99.88007045380054
1896,99.88966045640917
1897,99.63213770618178
1898,99.73210731401835
1899,99.85232842850358
1900,99.26122106264714
1901,99.38959135290696
1902,99.97730763056508
1903,101.35795085332164
1904,100.11907237849825
1905,99.55074078285531
1906,100.1481659771645
1907,99.43223686740824
1908,99.82342573192021
1909,99.79814183483384
1910,99.53719436436481
1911,99.62217480385141
1912,100.70597343967385
1913,99.9392491170805
1914,99.95786728532346
1915,99.6576907641267
1916,99.92041396049603
1917,99.97413835917433
1918,99.69426779551048
1919,99.72031084870639
1920,100.01697458763644
1921,99.58010264357476
1922,100.21424625344471
1923,99.98594953981166
1924,99.84812994133937
1925,99.71820442513243
1926,99.78750332348967
1927,100.20814846509124
1928,100.18271668316567
1929,100.07972489448443
1930,99.71745469602818
1931,100.03492490167487
1932,100.27110541356753
1933,99.5842442551704
1934,99.75783074783953
1935,99.83595369939935
1936,99.62531347405421
1937,100.4133072735512
1938,99.70480702021351
1939,99.14341271805435
1940,99.08066086442503
1941,99.51935683995077
1942,99.74037872732501
1943,99.440768516227
1944,100.09575928988522
1945,99.50798404641347
1946,99.2612741548721
1947,99.60102670747939
1948,99.61134804503558
1949,99.6379896817142
1950,99.49333993572077
1951,99.63119044891775
1952,99.59184917293183
1953,99.44380710549551
1954,99.67048632478058
1955,99.73141786758212
1956,99.75822239705961
1957,99.73727563309343
1958,99.73672654661414
1959,99.98976720522529
1960,99.94656909263296
1961,100.18801300884927
1962,99.98420347448898
1963,102.1163961332138
1964,101.5462264387575
1965,100.88397900307015
1966,100.27574642651702
1967,100.7160553605589
1968,100.30469320636905
1969,99.93452110813088
1970,100.19218177272849
1971,100.63485331078098
1972,100.89144109438543
1973,100.43897364368179
1974,100.33618345913821
1975,100.12056117645682
1976,100.20388908908791
1977,100.22742719258346
1978,100.34582339770172
1979,100.01255606037296
1980,99.96372969117883
1981,100.20222103171152
1982,100.86701628802575
1983,101.45420018026273
1984,100.36728553249412
1985,100.03249106211203
1986,100.72246430279456
1987,100.1245917960389
1988,99.7237118237639
1989,99.95287613542112
1990,100.24671887959519
1991,101.73122719542621
1992,103.25341667279805
1993,101.63502855692823
1994,100.53634950820714
1995,99.89640872903067
1996,99.56712838786922
1997,99.60770855211233
1998,99.84638053162458
1999,100.05838698295696
2000,100.32067083071357
2001,99.80472136197022
2002,99.60127726515677
2003,99.74024340485873
2004,100.05582321376016
2005,99.75171375013376
2006,99.88308019768702
2007,99.67232793520573
2008,99.50963055336314
2009,99.52438461094687
2010,99.61023624367911
2011,99.75876287172919
2012,99.56750565620318
2013,99.56185125063543
2014,99.67130858538901
